vrai_hop;rmdc;rdrg;SI;ATC1;ATC4;Nfarm;Sum
0;05;160;1;A;A02BA;2;3.95
0;05;160;1;A;A03FA;1;5.24
0;05;160;1;B;B01AB;4;59.73
0;05;160;1;B;B02AA;3;3.32
0;05;160;1;B;B05AA;3;264.45
0;05;160;1;B;B05BA;4;46.72
0;05;160;1;B;B05BB;4;90.36
0;05;160;1;B;B05BC;4;19.52
0;05;160;1;B;B05CB;3;18.09
0;05;160;1;B;B05XA;2;10.16
0;05;160;1;C;C01BD;1;1.83
0;05;160;1;C;C01CA;2;11.18
0;05;160;1;C;C01CE;1;18.2
0;05;160;1;C;C01DA;1;5.2
0;05;160;1;C;C02AC;1;0.44
0;05;160;1;C;C03CA;2;1.32
0;05;160;1;C;C03DA;2;2.14
0;05;160;1;C;C07AB;1;0.66
0;05;160;1;D;D03AX;1;2.55
0;05;160;1;J;J01CF;1;2.76
0;05;160;1;J;J01DB;4;41.72
0;05;160;1;J;J04AB;2;9.02
0;05;160;1;M;M01AB;3;8.82
0;05;160;1;M;M03AC;4;66.22
0;05;160;1;N;N01AB;4;265.47
0;05;160;1;N;N01AH;4;33.67
0;05;160;1;N;N01AX;4;161.16
0;05;160;1;N;N02AC;2;4.34
0;05;160;1;N;N02AX;1;7.71
0;05;160;1;N;N02BE;4;33.08
0;05;160;1;N;N05CD;4;6.58
0;05;160;1;R;R03BB;1;4.48
0;05;160;1;S;S03AA;1;2.14
0;05;160;1;V;V03AK;1;138.58
0;05;160;1;V;V07AB;1;4.08
0;05;160;2;A;A02BA;5;19.78
0;05;160;2;B;B01AB;5;59.24
0;05;160;2;B;B02AA;1;5.52
0;05;160;2;B;B02AB;3;116.05
0;05;160;2;B;B05AA;6;96.5
0;05;160;2;B;B05BA;6;83.4
0;05;160;2;B;B05BB;6;108.61
0;05;160;2;B;B05BC;5;24.2
0;05;160;2;B;B05CB;2;12.06
0;05;160;2;B;B05XA;2;6.72
0;05;160;2;C;C01AA;1;2.46
0;05;160;2;C;C01CA;5;25.6
0;05;160;2;C;C01CE;3;65.24
0;05;160;2;C;C02AC;1;1.77
0;05;160;2;C;C03CA;5;18.73
0;05;160;2;C;C03DA;1;0.2
0;05;160;2;C;C07AG;1;2.97
0;05;160;2;C;C09AA;2;0.83
0;05;160;2;H;H02AB;4;249.12
0;05;160;2;J;J01CR;2;38.5
0;05;160;2;J;J01DB;6;68.88
0;05;160;2;J;J01DC;1;21.52
0;05;160;2;J;J01DD;1;100.28
0;05;160;2;J;J01FA;1;3.36
0;05;160;2;J;J04AB;2;4.48
0;05;160;2;J;J06BB;1;1009.06
0;05;160;2;M;M03AC;6;74.75
0;05;160;2;N;N01AB;6;291.5
0;05;160;2;N;N01AH;6;25.31
0;05;160;2;N;N01AX;5;108.4
0;05;160;2;N;N02BE;5;58.15
0;05;160;2;N;N05CD;6;4.1
0;05;160;2;R;R03AC;1;1.85
0;05;160;2;R;R03BA;2;27.42
0;05;160;2;R;R03BB;3;19.63
0;05;160;2;R;R03CC;1;4.92
0;05;160;2;R;R06AE;1;0.32
0;05;160;2;S;S01AA;1;0.52
0;05;160;2;S;S03AA;1;4.32
0;05;160;2;V;V07AB;2;5.48
0;05;160;3;A;A02BA;15;83.8
0;05;160;3;A;A02BC;1;14.93
0;05;160;3;A;A03FA;7;6.72
0;05;160;3;A;A10AB;5;48.55
0;05;160;3;A;A10BB;1;0.44
0;05;160;3;B;B01AA;5;2.56
0;05;160;3;B;B01AB;15;276.05
0;05;160;3;B;B02AA;6;12.1
0;05;160;3;B;B02AB;12;858.85
0;05;160;3;B;B05AA;21;755.19
0;05;160;3;B;B05BA;21;343.21
0;05;160;3;B;B05BB;20;497.03
0;05;160;3;B;B05BC;13;63.08
0;05;160;3;B;B05CB;6;54.27
0;05;160;3;B;B05XA;12;64.36
0;05;160;3;C;C01AA;3;7.38
0;05;160;3;C;C01BD;1;3.04
0;05;160;3;C;C01CA;14;79.21
0;05;160;3;C;C01CE;8;181.19
0;05;160;3;C;C01EB;1;4.39
0;05;160;3;C;C03CA;14;24.26
0;05;160;3;C;C03DA;3;1.31
0;05;160;3;C;C03EA;2;1.35
0;05;160;3;C;C07AB;1;1.04
0;05;160;3;C;C08CA;1;3.72
0;05;160;3;C;C09AA;8;12.94
0;05;160;3;D;D03AX;1;3.36
0;05;160;3;H;H02AB;10;577.48
0;05;160;3;J;J01CA;1;1.77
0;05;160;3;J;J01CR;3;12.27
