vrai_hop;rdrg;N;moy_gemid
0;001;206;1125.47
0;002;155;3075.93
0;003;723;59.99
0;004;2357;1139.02
0;005;455;197.78
0;020;777;341.88
0;021;4480;1320.74
0;022;735;984.87
0;023;1236;962.51
0;024;4256;193.56
0;025;2319;385.83
0;026;1313;1241.7
0;040;540;30.25
0;041;2930;10.1
0;042;11812;5.44
0;043;2039;1.97
0;044;3179;11.43
0;045;14824;6.82
0;046;1345;17.23
0;047;7230;2.04
0;048;4828;6.47
0;049;693;5.31
0;050;668;1.03
0;051;997;0.09
0;052;2408;14.09
0;053;14556;2.37
0;054;5414;0.49
0;055;2306;8.03
0;056;1531;2.19
0;057;9004;0.45
0;058;14630;7.7
0;070;515;122.29
0;071;5769;250.98
0;072;1783;78.02
0;073;4899;212.98
0;080;390;1.09
0;081;772;1.06
0;082;2223;6.91
0;090;306;274.43
0;091;572;5277.84
0;092;3805;233.51
0;093;6736;31.77
0;094;1716;7.45
0;095;780;8.83
0;096;1078;1.81
0;097;7890;1.93
0;098;12770;34.27
0;110;1967;44.42
0;111;4638;1.84
0;112;1121;9.03
0;113;15690;0.75
0;114;4290;7.9
0;115;28516;0.39
0;120;1777;374.2
0;121;4521;225.95
0;122;643;154.2
0;130;1828;52.57
0;131;815;13.7
0;132;100;4.72
0;133;1691;15.67
0;134;4664;3.93
0;135;1817;9.04
0;136;8159;32.89
0;137;6966;13.4
0;138;543;5.75
0;139;35230;4.52
0;140;24443;4
0;141;12933;1.55
0;142;1379;8.86
0;143;3598;50.15
0;144;25950;3.78
0;160;120;1992.46
0;161;1373;14283.54
0;162;823;4695.77
0;163;3428;4198.78
0;165;2145;1863.8
0;166;3719;1459.34
0;167;1191;3178.23
0;168;3598;2123.41
0;169;783;1220.05
0;170;464;4930.92
0;171;7511;4882.03
0;172;767;596.23
0;173;18287;1243.05
0;174;6328;1901.97
0;175;21706;1775.6
0;176;2867;4647.96
0;177;888;1567.33
0;178;417;44.95
0;179;5011;17.9
0;180;921;77.56
0;190;9729;87.61
0;191;9597;124.92
0;192;22016;70.3
0;193;228;41.12
0;194;19791;15.09
0;195;1019;14.56
0;196;767;24.87
0;197;5716;58.89
0;198;3272;86.46
0;199;2993;13.61
0;200;1247;42.62
0;201;18940;78.84
0;202;2495;18.81
0;203;6626;1.95
0;204;8905;5.15
0;205;363;44.71
0;206;1385;81.32
0;207;5352;52.94
0;220;4512;400.19
0;221;14554;711.93
0;222;638;92.3
0;223;2252;230.41
0;224;2126;107.91
0;225;13642;49.05
0;226;9141;95.22
0;227;8723;80.54
0;228;16177;104.71
0;229;2033;149.05
0;240;6955;142.19
0;241;8971;13.09
0;242;850;26.57
0;243;9474;30.48
0;244;8959;3.46
0;245;2926;6.77
0;246;1492;16.55
0;247;7960;19.57
0;248;794;17.48
0;249;27165;2.15
0;250;29574;15.77
0;260;1948;467.61
0;261;601;353.31
0;262;738;112.86
0;263;17399;219.61
0;264;899;189.65
0;280;3806;38.3
0;281;4611;199.88
0;282;5989;51.76
0;283;3884;52.03
0;284;9223;123.64
0;300;618;2844.26
0;301;5911;1560.1
0;302;37487;2079.26
0;303;214;4948.18
0;304;8350;2370.55
0;305;251;95.97
0;306;2458;1683
0;307;294;199.02
0;308;9854;374.24
0;309;2378;203.73
0;310;23554;347.87
0;311;61;0.94
0;312;861;98.66
0;313;22204;97.16
0;314;12318;68.37
0;315;30965;99.44
0;316;5672;72.9
0;317;7592;16.18
0;318;4190;17.71
0;319;2979;28.11
0;320;4967;754.31
0;340;1387;75.28
0;341;3602;3.63
0;342;8809;6.33
0;343;5534;15.31
0;344;414;15.09
0;345;392;10.39
0;346;2876;8.22
0;347;19386;5.69
0;348;3452;33.29
0;349;2150;6.61
0;350;4622;3.16
0;351;4210;10.53
0;360;1015;72.69
0;361;2936;26.91
0;362;5811;36.17
0;363;12856;33.3
0;364;7531;36.01
0;380;1213;22.44
0;381;1260;2.47
0;382;1124;6.69
0;383;9739;1.78
0;384;7297;1.87
0;385;3426;3.87
0;400;1039;354.09
0;401;514;163.88
0;402;432;280.86
0;403;9887;771.32
0;404;6911;175.83
0;405;1169;709.76
0;420;13444;3.52
0;421;5864;8.76
0;422;11319;3.14
0;423;525;8.62
0;424;2856;5.56
0;440;450;105
0;441;1141;766.88
0;442;1761;294.15
0;443;2844;191.32
0;444;601;265.69
0;445;1688;145.22
0;446;15761;68.19
0;447;2532;494.62
0;460;4771;30.39
0;461;1289;26.55
0;462;740;8.29
