vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3049;74069169;20759613;50162398;4493608;16009142
0;01;119070;473231619;28116072;119458443;6672798;71784133
0;02;15215;19644827;842078;15504488;165166;7744537
0;03;107942;123320197;6640242;58210624;1308887;35630430
0;04;142542;573740962;38403838;117750743;11127631;63921941
0;05;201295;585973179;40106052;299440162;14528562;292174369
0;06;185108;490044795;42183359;148110674;8710819;101408627
0;07;53856;169204918;16498285;54794690;3864668;33429444
0;08;245121;848063602;39204787;277411007;7415048;297644533
0;09;59936;171367550;8682813;51211964;1817161;24455816
0;10;49731;143397282;7679312;45072185;2571244;33600639
0;11;78820;217883035;17043656;61641361;3907633;35889493
0;12;22163;51628178;4262263;20671939;535255;11846976
0;13;37709;66613709;4169125;31807021;592432;19861285
0;14;142370;291793039;10136329;104981457;3083684;41948356
0;15;4764;53958125;2454461;20645713;900091;4440167
0;16;16464;56690887;9906314;10457894;1371930;11985110
0;17;37322;108839104;49908364;21361962;2701637;24814581
0;18;30445;128209170;15268315;26469777;3407363;16430066
0;19;23173;110604407;1719212;13603357;864116;10314097
0;20;12638;41985347;800071;5718472;532421;4613847
0;21;25566;67664118;3949603;14363279;1269945;11636224
0;22;974;12407577;367143;985388;143490;742926
0;23;60172;158379858;6675465;30741948;1615960;26076256
0;24;749;5052742;1009237;827364;136331;541558
0;25;2019;20772189;1685625;7053200;503206;3857349
0;FF;11704;100427086;7775195;25871890;1840907;17070546
