vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3909;76569090;28491214;38669858;5417646;14635968
0;01;131371;410709235;28999814;108337637;6606752;61040071
0;02;16701;19777774;1293462;15867811;184304;7456698
0;03;67972;78750749;7418373;40908193;1044835;21985866
0;04;134909;456758331;49062751;98279835;10517067;54909656
0;05;202327;505993159;55158085;269865981;15322748;248448353
0;06;181270;406069421;51778495;130685060;8669208;79273929
0;07;48929;135887714;19610330;44857339;3657189;26104604
0;08;236222;688200229;42954556;236696469;6866641;215343679
0;09;53625;129907823;9930812;36727711;1551783;18724518
0;10;52397;137234901;10417808;37210352;2875323;26294364
0;11;70768;162942561;17470747;51664923;3511879;29159955
0;12;24562;49690173;4961911;22177373;625350;13807627
0;13;43796;68657170;5795750;31696530;690534;18108012
0;14;142997;251873350;10244450;92534536;3036778;39285458
0;15;9388;49631969;1815495;15744544;1104449;5033953
0;16;16873;44862646;10122735;9138732;1248014;10434600
0;17;38440;89259879;47394839;17042775;2396317;21209068
0;18;22740;76805490;13053430;15920690;2395613;10807496
0;19;29190;107536513;2497960;15189714;1073226;11481765
0;20;13013;34246947;951047;5271592;558335;4376888
0;21;27738;61153232;5745173;13810949;1343655;11239381
0;22;963;8847183;568125;872867;152132;587598
0;23;43892;118488831;6392727;25477882;1530069;19567734
0;24;1057;5793122;1156565;883535;166320;639393
0;25;1848;14832654;1952115;5143546;490379;2662504
0;FF;17761;110845388;10478431;24596769;1851065;16731582
