vrai_hop;rdrg;N;NAB
0;001;257;256
0;002;199;199
0;003;905;894
0;004;1415;1382
0;005;346;344
0;006;11;11
0;020;763;718
0;021;4674;4395
0;022;530;500
0;023;1456;1123
0;024;4991;3665
0;026;3284;1889
0;040;491;129
0;041;2835;938
0;042;11918;3712
0;043;3205;265
0;044;3392;1115
0;045;15025;4209
0;046;723;103
0;047;7880;1068
0;048;3934;603
0;049;648;382
0;050;922;406
0;051;1596;898
0;052;2490;608
0;053;16206;2242
0;054;6737;383
0;055;3125;1161
0;056;319;87
0;057;8682;685
0;058;18605;2207
0;070;536;379
0;073;10745;4391
0;080;662;416
0;082;2883;677
0;089;1905;1697
0;090;300;235
0;091;666;588
0;092;4643;4411
0;093;5311;3585
0;095;178;155
0;097;7779;1994
0;098;13706;8819
0;110;1580;734
0;111;5805;393
0;113;19409;10420
0;114;4362;2720
0;115;56461;1697
0;120;3083;2857
0;121;3792;2852
0;130;935;918
0;131;771;716
0;132;104;54
0;133;1345;758
0;134;5391;1829
0;135;3502;1129
0;136;7576;3188
0;137;8126;7773
0;138;10952;3734
0;139;31497;30266
0;140;28113;20590
0;141;5932;2038
0;142;1970;907
0;143;6002;2011
0;144;23444;9396
0;160;87;86
0;161;1659;1541
0;162;488;486
0;163;3447;3421
0;165;1009;999
0;166;4445;4419
0;167;3684;1856
0;169;2330;2186
0;170;296;277
0;171;6108;5532
0;174;8503;1273
0;175;24674;2496
0;176;2768;2459
0;177;791;702
0;180;3079;812
0;181;19190;12218
0;182;4565;2527
0;190;6997;1654
0;191;14876;355
0;192;14352;1579
0;193;195;182
0;194;21929;9238
0;196;1008;331
0;197;5422;1629
0;198;4809;513
0;199;2622;289
0;200;1260;325
0;201;20345;3509
0;203;5103;301
0;204;10652;1481
0;205;398;107
0;206;1251;542
0;207;5584;1343
0;220;3645;2970
0;221;15671;15338
0;222;4817;2951
0;223;4288;3285
0;224;1612;1178
0;225;12833;11939
0;226;6788;2187
0;227;8133;6953
0;228;15038;12601
0;229;2946;1920
0;240;6612;2303
0;241;7755;1655
0;242;674;280
0;243;6902;1093
0;244;9655;6751
0;245;3227;1473
0;246;1539;856
0;247;7932;2053
0;248;5131;3742
0;249;30148;7000
0;251;6484;928
0;252;2432;1001
0;253;2600;664
0;254;20745;4063
0;260;2503;2152
0;261;1249;1067
0;262;678;631
0;263;19892;14442
0;264;2745;1759
0;279;1305;642
0;280;3579;1511
0;281;4359;1677
0;282;6538;2193
0;283;2423;663
0;284;10204;7237
0;301;28810;28392
0;302;24796;24454
0;303;360;358
0;304;8609;8413
0;305;1120;1048
0;308;10530;10094
0;309;3852;2879
0;310;17761;16319
0;312;657;521
0;313;17593;14738
0;314;16454;14203
0;315;34191;26421
0;316;4938;3481
0;317;9341;6785
0;320;9072;7157
0;321;6994;6699
0;322;1311;1270
0;340;1658;533
0;341;3452;1254
0;342;8825;2008
0;343;2187;878
0;344;1510;1321
0;346;3480;1030
0;347;19876;3781
0;349;2350;801
0;351;13497;4436
0;361;5266;3128
0;362;4715;3084
0;363;14744;9124
0;364;6994;5095
0;380;2031;1476
0;381;737;340
0;382;1029;444
0;383;12357;11057
0;384;7342;2226
0;385;4901;1886
0;401;560;499
0;403;14429;13359
0;404;7014;1883
0;405;307;207
0;420;11132;2025
0;421;6414;1501
0;422;4654;1880
0;423;524;90
0;424;3254;584
0;425;3956;1330
0;440;474;473
0;441;1581;1483
0;442;2145;1995
0;443;7677;6437
0;444;1036;440
0;445;1408;1122
0;446;13726;10207
0;447;546;395
0;461;1830;1127
0;462;791;253
0;463;21757;20726
0;465;11731;4674
0;466;2376;1644
0;468;10594;5409
0;469;2752;1599
