vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;001;1;5;2629;467.31;492.68;523.23;542.12;603.22
0;001;2;18;11580;512.84;572.67;602.62;668.72;904.33
0;001;3;84;71344;542.12;679.08;800.73;965.93;1382.45
0;001;4;114;244390;446.26;1061.48;1575.23;2772.27;5632.09
0;002;2;10;10141;758.71;847.62;988.12;1113.79;1439.73
0;002;3;62;69781;775.71;896.45;1004.31;1114.29;1824.23
0;002;4;106;213763;763.03;1090.07;1439.39;2341.2;5326.89
0;003;1;290;220511;241.4;522.17;722.75;1022.87;1371.49
0;003;2;434;421483;533.92;722.52;941.76;1122.34;1508.24
0;003;3;81;124038;752.12;1067.02;1389.58;1764.12;2607.64
0;003;4;74;145651;590.81;1057.42;1448.23;2407.09;5563.98
0;004;1;2;1405;237.9;237.9;702.49;1167.08;1167.08
0;004;2;18;13658;249.23;350.3;574.33;896.45;2340.88
0;004;3;117;164749;288.62;695.21;1023.85;1742.91;4135.69
0;004;4;890;1607134;296.62;883.2;1491.83;2349.78;4360.18
0;005;2;17;15202;274.94;734.62;844.93;1032.78;1567.94
0;005;3;123;141999;410.93;665.71;961.75;1373.15;2463.48
0;005;4;439;688679;578.1;917.64;1340.3;1923.79;3461.48
0;006;3;5;8702;692.03;779.78;1171.49;1211.69;4846.53
0;006;4;3;3680;1171.65;1171.65;1172.05;1335.88;1335.88
0;020;1;267;118412;238.02;315.29;380.55;509.89;852.46
0;020;2;92;45580;235.27;342.86;401.15;519.83;1277.6
0;020;3;261;193621;232.53;394.81;591.99;920.84;1702.26
0;020;4;202;218041;285.63;522.63;932.62;1387.17;2559.3
0;021;1;1161;489134;260.65;329.14;378.18;451.8;717.04
0;021;2;1397;677155;277.79;355.6;415.07;519.68;931.22
0;021;3;938;729734;293.09;430.29;589.66;859.32;2048.56
0;021;4;469;583887;313.62;560.86;908.83;1586.13;3201.29
0;022;1;208;70927;232.05;281.24;318.22;362;547.96
0;022;2;317;142314;243.83;305.07;353.1;476.43;945.15
0;022;3;219;183200;246.82;377.46;662.85;1045.08;2300.77
0;022;4;142;192393;283.32;571.84;971.22;1672.47;3924.46
0;023;1;912;252397;204.33;231.06;257.06;300.49;412.02
0;023;2;542;227821;204.99;253.92;324.62;439.05;891.33
0;023;3;216;201612;284.95;432.08;641.91;1047.17;2959.18
0;023;4;44;69498;423.11;701.8;1218.34;1904.59;3383.75
0;024;1;1643;473234;216.97;247.4;272.7;307.06;379.75
0;024;2;1850;597728;221.79;257.2;291.51;335.09;494.59
0;024;3;815;519682;244.58;315.66;437.31;718.43;1753.75
0;024;4;132;164383;298.28;557.32;914.31;1514.55;3715.6
0;026;1;2081;540891;192.25;218.08;242.14;275.12;367.41
0;026;2;771;261105;203.92;240.4;278.83;340.83;611.31
0;026;3;260;189602;256.54;361.1;517.3;780.08;2014.84
0;026;4;40;61277;292.5;722.83;1145.04;2212.09;3840.66
0;040;1;123;37996;205.51;230.92;263.23;326.96;538.1
0;040;2;182;80434;217.58;266.76;324.86;469.5;1062.73
0;040;3;111;80860;238.52;316.84;542.5;884.39;2125.88
0;040;4;23;19307;269.4;335.68;611.05;1324.19;1738.3
0;041;1;309;101038;204.33;239.83;271.83;342.55;677.23
0;041;2;1071;425734;213.99;266.92;330.24;443.89;757.6
0;041;3;1354;762604;247.44;341.33;451.8;659.71;1193.44
0;041;4;148;123947;239.34;410.59;682.16;1027.52;1869.47
0;042;1;1839;676243;206.32;246.43;297.8;398.74;739.41
0;042;2;6063;3161554;236.84;322.59;432.77;602.08;1094.12
0;042;3;3408;2282873;276.33;424.74;570.94;779.08;1362.07
0;042;4;336;299832;311.82;557.66;794.28;1069.66;1841.9
0;043;1;1902;523195;199.76;226.36;255.68;297.72;393.93
0;043;2;946;315712;203.42;249.11;289.34;360.54;573.75
0;043;3;141;74888;229.76;308.56;381.5;600.63;1335.03
0;043;4;16;14623;240.91;513.34;691.56;1107.55;3241.83
0;044;1;419;150800;198.81;225.92;288.01;404.23;805.32
0;044;2;896;441848;205.92;255.27;355.85;502.14;1373.06
0;044;3;1522;872005;206.66;250.94;380.55;638.29;1679.57
0;044;4;308;286505;216.43;288.39;607.99;1199.66;3048.8
0;045;1;1273;406421;212.44;251.66;292.2;346.64;497.3
0;045;2;8062;3691077;228.63;287.68;352.02;469.4;1074.16
0;045;3;5142;3530591;244.07;353.66;491.37;756.19;1888.65
0;045;4;1048;994097;238.64;409.55;714.57;1124.12;2717.07
0;046;1;156;42229;194.89;224.98;255.76;297.33;381.61
0;046;2;530;179134;214.4;253.45;296.49;362.83;560.85
0;046;3;264;132460;228.33;297.76;385.05;555.34;1212.29
0;046;4;30;26964;233.55;374.7;724.33;854.88;1712.9
0;047;1;1935;527925;203.61;232.05;260.87;299.31;377.96
0;047;2;4098;1346509;216;253.47;295;359.52;534.28
0;047;3;1172;522668;233.79;307.97;384.94;509.45;864.26
0;047;4;74;53388;244.02;429.55;688.37;877.95;1533.97
0;048;1;1536;435508;200.73;227.14;258.64;302.12;457.51
0;048;2;1153;416242;215.88;258.49;313.97;404.42;631.24
0;048;3;1203;549195;215.38;267.73;349.99;509.21;969.73
0;048;4;50;43060;360.13;515.35;673.46;1044.76;1555.64
0;049;1;98;37922;218.29;290.83;354.6;421.66;705.3
0;049;2;323;154395;223.59;300.02;380.25;520.08;1062.74
0;049;3;159;123250;251.24;408.93;597.8;890.58;1859.14
0;049;4;84;86703;235.86;455.07;823.2;1287.59;2566.44
0;050;1;206;75837;209.92;266.08;313.26;394.39;673.22
0;050;2;284;120435;212.73;256.31;327.84;459.56;873.85
0;050;3;194;129012;237.9;358.26;544.56;799.64;1505.24
0;050;4;41;52670;307.61;534.13;938.01;1468.15;3877.99
0;051;1;847;225835;208.83;234.53;256.07;288.74;355.39
0;051;2;423;135878;219.89;256.03;286.11;347.86;512.88
