vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;003;1;7;178;24974;18.86;65.1;125.64;199.12;293.53
0;003;1;8;24;77108;2549.86;2677.34;2996.07;3671.49;4185.33
0;003;1;9;23;3158;62.22;65.33;124.44;193.88;310.47
0;003;1;10;10;3592;187.72;301.39;301.39;469.29;489.11
0;003;1;12;270;76131;166.68;209.38;243.61;308.36;569.51
0;003;1;13;66;22692;66.04;172.46;344.92;410.96;609.08
0;003;2;1;70;63894;7.48;14.96;28.7;166.89;3622.01
0;003;2;2;18;1499;48.02;48.02;52.82;57.62;299.16
0;003;2;3;165;7946;30.58;30.58;30.58;30.58;141.84
0;003;2;4;366;2821397;2418.59;2895.19;3041.74;8384.43;30234.94
0;003;2;5;1;389;389.11;389.11;389.11;389.11;389.11
0;003;2;6;345;61548;12.72;29.89;122.2;243.19;498.1
0;003;2;7;268;50136;20.27;83.76;163.89;230.88;391.64
0;003;2;8;35;108087;446.21;2677.34;2996.07;4305.11;4381.54
0;003;2;9;40;6006;62.22;63.61;134.5;202.94;272.11
0;003;2;10;13;4970;118.89;301.39;301.39;469.29;904.17
0;003;2;12;392;129364;172.78;223.51;281.11;376.81;661.19
0;003;2;13;99;29640;66.04;172.46;238.5;388.04;609.08
0;003;3;1;44;54190;7.48;18.48;116.07;3622.01;3708.02
0;003;3;2;23;6057;48.02;57.62;109.32;206.39;1094.08
0;003;3;3;73;94409;30.58;30.58;53.52;885.83;8328.07
0;003;3;4;144;1228797;2418.59;2895.19;3141.24;8589.25;29682.95
0;003;3;6;144;63692;24.17;96.13;279.23;586.67;1757.29
0;003;3;7;116;41609;31.4;131.78;222.56;330.38;1215.79
0;003;3;8;18;58572;1548.49;2677.34;2996.07;3866.59;4381.54
0;003;3;9;47;8794;61.89;62.22;123.78;216.07;558.95
0;003;3;10;13;6210;187.72;301.39;375.44;602.78;1259.79
0;003;3;12;149;82491;196.19;275.72;414.38;641.97;1390.31
0;003;3;13;55;23386;66.04;172.46;344.92;520.12;1164.12
0;003;4;1;34;8765;7.48;14.96;86.36;235.5;1465.93
0;003;4;2;39;8045;48.02;57.62;109.32;229.58;776.62
0;003;4;3;55;233812;30.58;53.52;1016.18;5251.3;17133.99
0;003;4;4;94;1668977;6089.15;8537.73;13913.94;28232.9;42815.03
0;003;4;5;1;389;389.11;389.11;389.11;389.11;389.11
0;003;4;6;93;84510;35.33;278.26;590.69;1135.29;2713.49
0;003;4;7;74;48266;34.24;173.71;325.81;710.05;2488.34
0;003;4;8;25;87895;2549.86;2741.1;3547.86;4285.36;4381.54
0;003;4;9;56;18263;62.22;88.85;189.61;374.33;931.98
0;003;4;10;21;11344;301.39;301.39;469.29;489.11;1407.87
0;003;4;12;95;98801;236.77;485.37;779.84;1321.52;2774.75
0;003;4;13;79;44041;129.35;172.46;474.27;692.58;1666.49
0;004;1;1;5;23987;844.85;3301.5;4362.31;4560.9;10917.55
0;004;1;2;5;10948;481.81;1557.04;1849.36;2250.28;4809.86
0;004;1;3;8;12895;53.52;301.27;877.4;1924.34;6635.66
0;004;1;4;4;662;51.04;56.54;84.41;274.22;441.67
0;004;1;6;7;3022;24.17;123.4;292.74;810.77;1223.78
0;004;1;7;7;1927;20.27;22.24;129.28;608.38;738.36
0;004;1;9;3;1510;259.49;259.49;324.49;926.05;926.05
0;004;1;12;11;5028;29.77;29.77;430.55;745.98;1024.84
0;004;2;1;30;62183;81.81;844.85;1347.42;3216.93;4277.61
0;004;2;2;29;30495;142.61;481.81;1012.35;1562.34;2203
0;004;2;3;34;153396;146.8;432.02;1405.91;6980.49;17461.33
0;004;2;4;22;8656;58.4;106.77;261.8;364.06;1844.54
0;004;2;6;34;33193;88.47;427.11;839.04;1321.07;2518.4
0;004;2;7;25;16497;37.72;161.47;280.2;673.58;2871.83
0;004;2;8;1;3388;3388.49;3388.49;3388.49;3388.49;3388.49
0;004;2;9;12;3466;61.89;65.33;297.04;493.29;588.55
0;004;2;10;2;4644;1828.15;1828.15;2321.94;2815.74;2815.74
0;004;2;12;34;23180;93.78;416.86;569.27;784.9;1590.15
0;004;2;13;5;660;66.04;132.08;132.08;132.08;198.12
0;004;3;1;185;364031;111.01;727.32;1254.4;2964.1;5718.99
0;004;3;2;191;187121;102.02;274.21;720.46;1571.65;2553.65
0;004;3;3;218;1440082;433.54;2923.53;6253.67;8822.06;15702.4
0;004;3;4;159;74072;60.84;160.04;318.65;547.44;1446.37
0;004;3;5;2;759;11.02;11.02;379.45;747.88;747.88
0;004;3;6;224;255891;183.34;589.5;944.78;1504.65;2792.02
0;004;3;7;190;145492;40.54;264.88;521.94;923.75;2208.26
0;004;3;8;1;4281;4280.94;4280.94;4280.94;4280.94;4280.94
0;004;3;9;68;15728;62.22;65.33;160.99;339.38;698.53
0;004;3;10;1;1408;1407.87;1407.87;1407.87;1407.87;1407.87
0;004;3;12;224;247448;117.22;594.09;980.79;1416.46;2537.02
0;004;3;13;24;5276;66.04;66.04;198.12;329.39;474.28
0;004;4;1;978;2001817;86.01;614.31;1429.75;3269.47;5716.55
0;004;4;2;1007;1100307;139.16;372.19;867.39;1662.86;2748.63
0;004;4;3;1134;12914943;960.73;5857.66;9650.16;14805.72;28258.03
0;004;4;4;953;983334;106.77;241.92;480.7;991.02;4345.19
0;004;4;5;8;1660;11.02;14.35;151.53;409.76;497.61
0;004;4;6;1138;2136440;365.39;1028.29;1618.32;2526.47;4285.45
0;004;4;7;1026;1389807;71.64;463.03;961.08;1767.32;3917.2
0;004;4;8;5;18321;2039.88;3319.22;3866.58;4071.47;5024.34
0;004;4;9;497;125484;62.22;91.63;183.92;321.99;778.33
0;004;4;10;20;18013;261.76;365;536.03;1407.87;2667.66
0;004;4;12;1144;2167880;348.06;964.23;1582.47;2429.79;4452.32
0;004;4;13;188;38466;66.04;66.04;132.08;259.81;603.63
0;005;1;1;2;182;81.81;81.81;91.13;100.46;100.46
0;005;1;2;2;372;142.61;142.61;186.09;229.58;229.58
0;005;1;3;2;8355;1871.38;1871.38;4177.63;6483.88;6483.88
0;005;1;4;2;258;128.97;128.97;128.97;128.97;128.97
0;005;1;6;2;1724;708.74;708.74;862.11;1015.48;1015.48
0;005;1;7;1;385;384.72;384.72;384.72;384.72;384.72
0;005;1;9;1;172;171.85;171.85;171.85;171.85;171.85
0;005;1;12;2;2726;1350.21;1350.21;1362.98;1375.75;1375.75
0;005;2;1;4;1235;53.35;62.55;78.25;555.02;1025.31
0;005;2;2;8;1876;48.02;142.61;142.61;285.72;686.2
0;005;2;3;10;78632;2277.79;6199.74;7730.77;9930.35;13167.7
0;005;2;4;7;3895;62.05;114.98;128.97;433.84;2867.07
0;005;2;6;10;5561;24.17;402.76;525.07;734.16;1080.25
0;005;2;7;10;8275;299.12;389.83;687.37;1233.12;2082.39
0;005;2;9;1;92;91.96;91.96;91.96;91.96;91.96
0;005;2;12;10;9756;356.05;634.78;951.31;1149.55;2013.9
0;005;2;13;2;198;66.04;66.04;99.06;132.08;132.08
0;005;3;1;15;2857;9.69;21.53;71.76;102.95;1025.31
0;005;3;2;50;10665;86.97;142.61;142.61;238.65;502.4
0;005;3;3;61;516396;2282.76;5439.46;8590.34;11056.38;16611.2
0;005;3;4;44;22395;106.77;141.7;312.37;693.5;1242.49
0;005;3;6;60;56222;218.2;544.66;952.49;1178.33;1745.24
0;005;3;7;61;56901;160.48;319.78;769.11;1306.89;2271.4
0;005;3;9;12;1483;61.89;62.22;111.66;130.35;280.73
0;005;3;10;2;1773;365;365;886.43;1407.87;1407.87
0;005;3;12;61;64221;405.27;626.11;1015.03;1376.29;1863.2
0;005;3;13;8;1054;66.04;97.69;132.08;165.1;198.12
0;005;4;1;81;16857;14.74;57.41;86.01;215.14;512.2
0;005;4;2;219;50746;48.02;140.5;142.61;248.25;689.65
0;005;4;3;262;2678489;3149.82;6252.28;8745.87;13156.44;21631.64
0;005;4;4;219;200840;73;209.87;446.18;931.88;4020.73
0;005;4;6;264;330087;404.8;754.55;1127.23;1639.79;2541.88
0;005;4;7;263;327682;187.06;498.37;840.28;1694.48;3573.12
0;005;4;8;2;6002;1699.19;1699.19;3000.76;4302.34;4302.34
0;005;4;9;76;12924;62.22;64.68;117.71;213.14;627.88
0;005;4;10;3;3083;187.72;187.72;958.4;1936.62;1936.62
0;005;4;12;264;362708;406.66;866.39;1164;1725.64;2982.9
0;005;4;13;51;11594;66.04;66.04;132.08;298.08;849.52
0;006;2;1;3;59161;16959.12;16959.12;20591.7;21610.54;21610.54
0;006;2;2;3;4047;1163.1;1163.1;1417.38;1466.67;1466.67
0;006;2;3;2;345;148.73;148.73;172.43;196.13;196.13
0;006;2;4;2;278;139.19;139.19;139.19;139.19;139.19
0;006;2;6;3;901;149.76;149.76;279.43;472.03;472.03
0;006;2;7;2;299;66.03;66.03;149.69;233.36;233.36
0;006;2;9;3;423;65.33;65.33;138.95;218.84;218.84
0;006;2;12;3;1326;338.37;338.37;375.97;611.69;611.69
0;006;3;1;12;206148;13039.64;16293.14;16959.12;18068.32;21610.54
0;006;3;2;12;17204;873.19;1163.1;1287.34;1833.82;1997.21
0;006;3;3;9;6947;76.85;219.07;730.22;1060.92;2188.76
0;006;3;4;4;1047;71.18;100.07;128.97;423.53;718.1
0;006;3;6;12;9575;224.11;482.78;657.58;1048.63;1821.46
0;006;3;7;9;2123;75.44;94.04;198.5;314.23;463.09
0;006;3;9;7;1648;65.33;130.66;192.21;366.01;529.31
0;006;3;12;12;9922;194.62;431.3;699.45;1125.61;2059.5
0;006;4;1;1;18024;18023.98;18023.98;18023.98;18023.98;18023.98
0;006;4;2;1;1163;1163.1;1163.1;1163.1;1163.1;1163.1
0;006;4;3;1;31;30.58;30.58;30.58;30.58;30.58
0;006;4;4;1;5657;5656.62;5656.62;5656.62;5656.62;5656.62
0;006;4;6;1;3061;3061.32;3061.32;3061.32;3061.32;3061.32
0;006;4;7;1;44;44.02;44.02;44.02;44.02;44.02
0;006;4;9;1;1097;1097.12;1097.12;1097.12;1097.12;1097.12
0;006;4;12;1;2724;2724;2724;2724;2724;2724
0;020;1;1;191;190229;335.56;553.68;1025.31;1025.31;1957.41
0;020;1;2;186;97553;142.61;535.55;547.04;547.04;996.58
0;020;1;3;167;72520;30.58;148.73;148.73;448.06;1584.65
0;020;1;4;57;8111;25.52;71.18;106.77;142.36;502.51
0;020;1;6;185;52975;93.46;107.71;202.19;368.42;860.37
0;020;1;7;137;33769;17.12;50.53;94.04;228.69;931.63
0;020;1;9;13;1528;65;65.33;112.32;153.25;218.84
0;020;1;12;198;69526;12.96;72.63;220.44;561.11;985.06
0;020;2;1;102;113250;310.1;704.68;1025.31;1377.48;2539.97
0;020;2;2;93;54059;139.16;538.95;547.04;728.23;1090.63
0;020;2;3;89;81762;53.52;148.73;487.84;1311.34;2980.12
0;020;2;4;35;10219;70.13;77.87;177.95;316.3;1356.92
0;020;2;6;100;42968;93.46;177.51;331.73;550.34;988.41
0;020;2;7;74;29844;18.78;62.42;172.57;428.8;1574.94
0;020;2;9;10;1750;61.29;112.32;138.84;153.58;562.43
0;020;2;12;105;63957;10.18;182.45;553.76;922.52;1568.2
0;020;2;13;2;273;77.61;77.61;136.65;195.69;195.69
0;020;3;1;252;294333;335.56;932.1;1025.31;1537.95;2514.57
0;020;3;2;242;152021;142.61;543.59;547.04;776.25;1160.21
0;020;3;3;240;297999;143.56;325.35;730.03;1695.14;3819.42
0;020;3;4;127;32718;71.18;105.19;142.36;284.72;765.94
0;020;3;6;256;135076;107.71;259.43;446.95;685.94;1273.27
0;020;3;7;208;99937;23.12;93.98;239.09;479.58;1986.59
0;020;3;9;27;3971;62.22;65.33;144.89;206.84;286.73
0;020;3;12;258;166197;53.67;305.66;608.71;937.76;1372.69
0;020;3;13;2;260;66.04;66.04;130.03;194.02;194.02
0;020;4;1;177;255474;335.56;932.1;1291.92;1864.2;3323.73
0;020;4;2;169;131952;142.61;547.04;728.23;996.58;1743.13
0;020;4;3;176;844287;630.82;2458.22;4393.24;6332.17;11586.17
0;020;4;4;132;68731;71.18;144.48;321.08;565.3;1948.83
0;020;4;6;178;181804;246.71;618.08;922.21;1274.09;2245.77
