vrai_hop;rdrg;N;NAB
0;001;243;243
0;002;165;164
0;003;866;848
0;004;1088;1069
0;005;678;675
0;006;9;9
0;020;843;774
0;021;3946;3689
0;022;929;863
0;023;1710;1441
0;024;4438;3434
0;026;3305;1880
0;040;431;124
0;041;2737;966
0;042;11654;3560
0;043;2925;247
0;044;3199;1026
0;045;15294;4789
0;046;1072;232
0;047;7259;988
0;048;3974;628
0;049;676;454
0;050;710;350
0;051;1408;765
0;052;2737;755
0;053;15253;2270
0;054;6118;293
0;055;2743;1028
0;056;830;257
0;057;8840;676
0;058;16039;1456
0;070;530;349
0;073;11343;5224
0;080;676;448
0;082;2666;659
0;089;1702;1647
0;090;263;240
0;091;628;584
0;092;3366;3153
0;093;6384;4589
0;095;839;566
0;097;7500;1937
0;098;14165;8976
0;110;1782;869
0;111;5082;381
0;113;16548;9467
0;114;3960;2473
0;115;45723;1902
0;120;2386;2302
0;121;4198;2728
0;130;1409;1388
0;131;762;698
0;132;115;61
0;133;1163;591
0;134;5141;1818
0;135;2744;947
0;136;7888;3284
0;137;7083;6717
0;138;10186;3985
0;139;31861;30688
0;140;28223;20489
0;141;5454;2086
0;142;1779;926
0;143;5745;1970
0;144;26405;11472
0;160;146;145
0;161;1764;1607
0;162;916;909
0;163;3789;3743
0;165;1884;1865
0;166;3392;3345
0;167;791;471
0;169;2458;2346
0;170;422;388
0;171;7324;6551
0;173;21073;13203
0;174;7516;1089
0;175;22455;1945
0;176;2837;2444
0;177;920;770
0;180;3675;764
0;190;8117;1937
0;191;12102;1403
0;192;20100;486
0;193;234;221
0;194;21632;9010
0;196;868;278
0;197;6153;1881
0;198;5527;650
0;199;2592;266
0;200;1137;306
0;201;19929;2961
0;203;5393;321
0;204;9813;1289
0;205;272;60
0;206;974;415
0;207;5090;1231
0;220;3216;2941
0;221;15428;15102
0;222;2299;1554
0;223;2895;2513
0;224;1628;1185
0;225;12713;11624
0;226;7827;2510
0;227;6557;5660
0;228;17466;14496
0;229;2306;1626
