vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;225;2531315;38.06;68.57;109.48;201.95;559.49
0;226;966348;10.14;26.89;43.67;66.95;242
0;227;1078715;27.4;55.3;80.31;118.63;280.93
0;228;1538980;21;43.92;63.88;85.99;146.39
0;229;2053410;34.8;95.9;262.59;826.68;3351.51
0;240;3128136;2.3;40.9;125.84;431.38;1961.16
0;241;2046796;4.01;25.58;65.39;158.79;917.92
0;242;377008;4.53;23.11;81.87;420.82;2204.78
0;243;1008233;0;1.93;21.26;75.77;379.21
0;244;2014255;5.01;33.27;160.98;391.78;1134.24
0;245;1056276;2.93;35.5;131.32;441.89;1510.24
0;246;388304;8.82;50.66;156.71;437.81;1526.78
0;247;1467579;0;16.86;61.1;170.79;926.25
0;248;368225;12.65;131.68;419.16;999.4;2522.12
0;249;1755206;0;4.41;14.87;50.02;263.38
0;250;3531820;0;8.03;26.58;89.48;531.93
0;260;2997719;85.91;330.07;802.84;2120.84;8754.09
0;261;940303;56.46;207.91;580.25;1291.24;3796.12
0;262;948977;67.44;130.46;316.04;688.4;2524.1
0;263;3198638;52.05;75.32;100.78;171.88;648.9
0;264;1038903;9.44;98.37;281.29;947.85;3630.28
0;280;2115817;1.24;32.27;122.6;424.98;2476.03
0;281;1906603;2.23;59.61;182.49;499.48;1722.67
0;282;3334501;13.11;76.39;185.31;658.6;3093.22
0;283;1239381;0;3.56;43.71;196.93;1388.44
0;284;2715185;5.92;48.59;175.41;470.57;1418.24
0;300;183095;154;242.06;429.55;902.87;4164.19
0;301;2290211;113.99;177.23;250.66;407.81;1280.55
0;302;6652165;109.26;154.11;195.58;258.87;529.17
0;303;91473;114.32;269.96;361.18;517.25;1136.36
0;304;1211518;91.82;136.84;185.36;263.66;574.91
0;305;243543;68.46;266.15;734.27;1735.77;7785.56
0;306;204608;69.21;108.97;148.78;206.09;456.31
0;307;65763;47.61;94.08;157.6;259.53;873.25
0;308;3712774;84.68;149.32;219.64;375.9;1209.59
0;309;798017;38.63;78.71;150.73;351.47;1897.34
0;310;2516954;39.04;71.23;102.79;151.18;322.5
0;311;16357;21.3;50.05;81.85;140.86;643.89
0;312;595204;22.37;79.58;245.53;686.21;3115.03
0;313;3197054;19.77;43.03;69.35;111.33;254.74
0;314;932414;14.98;38.87;58.73;85.18;163.71
0;315;2147128;15.38;45.76;70.75;102.01;205.17
0;316;448349;3.32;22.83;45.45;72.37;158.43
0;317;725522;8.32;34.7;56.55;85.14;212.05
0;318;571119;9.69;28.58;46.91;73.16;210.18
0;319;491378;16.95;38.82;58.39;85.77;257
0;320;1025137;15.17;44.71;71.51;115.7;506.55
0;340;202549;0;21.02;59.92;152.15;660.89
0;341;495732;4.71;31.92;74.39;169.58;582.26
0;342;648092;0;10.41;23.34;46.89;219.68
0;343;2690609;7.33;79.01;233.61;533.07;1658.68
0;344;332471;4.06;89.53;253.94;711.55;3508.59
0;345;180167;0;71.81;214.58;506.01;2082.1
0;346;810567;0;15.04;71.53;210.28;938.71
0;347;1744749;0;7.29;22.09;68.83;294.54
0;348;1133063;0;11.65;56.45;192.76;609.33
0;349;317171;0.25;16.66;37.96;106.76;807.13
0;350;229256;0;5.01;22.85;68.77;292.44
0;351;513247;0;8.22;36.45;115.95;527.01
0;360;891571;19.6;82.23;262.35;862.87;3210.15
0;361;646761;5.32;37.61;63.98;123.56;560.69
0;362;723365;39.75;63.78;86.79;123.32;252.02
0;363;1079103;26.38;47.48;67.14;95.74;175.14
0;364;1292244;5.74;34.21;57.58;106.26;541.53
0;380;985623;10.41;75.44;220.84;607.21;2190.87
0;381;575525;2.43;54.31;216.14;450.34;1192.92
0;382;890088;0;38.71;189.99;573.99;2028.25
