vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;001;1;11.3;8;8;10.5;14.5;16
0;001;2;14;8;10;12.5;15;24
0;001;3;23.9;7;13;17;23;77
0;001;4;55.1;13;30;43;70;126
0;002;2;27.4;16;20;25;36;40
0;002;3;25;14;21;24;28;39
0;002;4;51;19;26.5;37.5;62;123
0;003;1;21.9;3;16;21;26;37
0;003;2;25.5;15;19;23;30;44
0;003;3;36.8;17;24;31;41;80
0;003;4;52.8;19;31;39.5;63;142
0;004;1;13.2;1;3;13;26;28
0;004;2;24.9;1;8;21;35;62
0;004;3;39.6;1;13;35;55;112
0;004;4;63.1;2;27;51;84;171
0;005;1;14;11;11;14;17;17
0;005;2;25;9;15;24;33;43
0;005;3;42.4;9;21;30;46;128
0;005;4;61.5;16;30;53.5;78.5;156
0;006;2;18;18;18;18;18;18
0;006;3;17.3;12;13;18;20;22
0;006;4;37;34;34;37;40;40
0;020;1;13.3;2;5;8;14;44
0;020;2;17.9;1;6;11;20;59
0;020;3;22.6;1;6;16;28;68
0;020;4;39.9;4;15;31;55;121
0;021;1;8.4;2;5;6;9;21
0;021;2;11.2;3;5;7;11;36
0;021;3;22.2;3;7;12;24;79
0;021;4;39.2;2;12;26;52;125
0;022;1;6.2;2;3;5;7;15
0;022;2;13.4;2;4;6;11;53
0;022;3;26.6;3;7;14;34;96
0;022;4;46.3;4;15.5;33.5;60.5;146
0;023;1;3.8;1;1;2;4;10
0;023;2;10.2;1;3;6;11;38
0;023;3;31.2;4;10;18.5;38;101
0;023;4;52;5;22;38;61.5;175
0;024;1;3.7;1;2;3;4;8
0;024;2;5.8;2;3;4;6;16
0;024;3;16.1;1;3;8;17;63
0;024;4;36.1;1;7;19.5;46;135
0;026;1;2.3;1;1;1;2;6
0;026;2;6.4;1;1;2;5;25
0;026;3;31;1;8;18;38;112
0;026;4;63.1;9;21;40;93;186
0;040;1;9.9;1;2;4;7;24
0;040;2;14.1;1;2;6;12;59
0;040;3;31.8;1;5;11;41;143
0;040;4;50.5;1;2.5;22;64;200
0;041;1;5.4;1;1;3;6;18
0;041;2;8.6;1;3;6;10;27
0;041;3;14;2;5;10;17;38
0;041;4;24.5;2;9;19;30;77
0;042;1;7.6;1;1;4;9.5;25
0;042;2;14.3;1;6;11;18;39
0;042;3;19.8;3;10;16;24;50
0;042;4;28.4;5;15;25;37;68
0;043;1;3;1;1;2;4;7
0;043;2;5.7;1;1;3;6;22
0;043;3;19;2;2;7;17;92
0;043;4;31.5;3;15;23.5;37;106
0;044;1;9.2;1;2;5;9;32
0;044;2;16.8;1;4;8;18;63
0;044;3;14.7;1;2;8;17;55
0;044;4;19.7;1;1;6;22;89
0;045;1;6.2;1;3;4;7;16
0;045;2;12.6;2;4;7;12;46
0;045;3;22;2;7;13;25;76
0;045;4;28.2;2;8;20;36;87
0;046;1;3.4;1;1;2;4;10
0;046;2;6.2;1;2;4;8;20
0;046;3;14.5;1;3;7;16;51
0;046;4;18.2;1;3;13.5;23;75
0;047;1;3.6;1;2;3;4;8
0;047;2;6.1;1;3;4;7;15
0;047;3;12.4;2;5;9;14;34
0;047;4;25.5;2;8;15.5;30;69
0;048;1;3.6;1;1;2;4;11
0;048;2;6.1;1;1;4;8;20
0;048;3;12.3;1;3;7;15;44
0;048;4;30.8;4;12;22;42;94
0;049;1;9;3;6;8.5;10.5;16
0;049;2;15.1;1;5;8;14;57
0;049;3;24;1.5;9;15;24.5;89
0;049;4;37.7;2;11;21;48;158
0;050;1;6.9;1;3;5;8;18
0;050;2;8.3;1;2;5.5;10;27
0;050;3;19.1;2;7;14;21;64
0;050;4;35.6;8;16;24.5;44;118
0;051;1;3;1;2;3;4;6
0;051;2;5.7;1;3;4;7;15
0;051;3;9.1;3;4;8;11;21
0;051;4;46.5;15;21.5;41.5;71.5;88
0;052;1;2.3;1;1;1;3;7
0;052;2;6.5;1;1;4;8;19
0;052;3;11.9;1;4;8;14;40
0;052;4;24.1;1;5;13.5;31;74
0;053;1;2.2;1;1;1;2;6
0;053;2;4.7;1;1;2;5;15
0;053;3;7.6;1;2;4;8;24
0;053;4;19.3;1;6;13;23;65
0;054;1;2.5;1;1;2;3;6
0;054;2;3.8;1;1;3;5;10
0;054;3;6.3;1;2;4;8;17
0;054;4;12.2;2;3;8.5;12;55
0;055;1;5.2;1;2;3;6;15
0;055;2;10.2;1;3;7;12;32
0;055;3;16;1;4;10;20;50
0;055;4;26;1;9;17;32;84
0;056;1;3.9;1;1;2;4;12
0;056;2;9.4;1;2;5;10;37
0;056;3;16.7;1;5;14;25;37
0;056;4;30.4;7;11;26;27;81
0;057;1;1.4;1;1;1;1;3
0;057;2;4.2;1;1;2;4;16
0;057;3;12.9;1;4;8;16;44
0;057;4;33.8;1;13;20;42;112
0;058;1;3.2;1;1;1;2;14
0;058;2;8.2;1;1;3;10;29
0;058;3;17.9;1;6;13;22;53
0;058;4;28.6;2;11;20;35;89
0;070;1;1.8;1;1;1;2;4
0;070;2;3;1;1;2;4;10
0;070;3;14.6;1;2;10;21;43
0;070;4;12;12;12;12;12;12
0;073;1;1.3;1;1;1;1;2
0;073;2;1.6;1;1;1;1;4
0;073;3;5.2;1;1;2;5;22
0;073;4;18.7;2;5;6;32;66
0;080;1;4.4;1;2;3;5;11
0;080;2;6.7;2;4;6;8;17
0;080;3;14;4;7;11;17;36
0;080;4;11.7;8;8;11;16;16
0;082;1;2.6;1;1;1;3;7
0;082;2;5.7;1;1;3;7;18
0;082;3;12.5;1;4;9;15;37
0;082;4;21.3;1;8;14;27.5;62
0;089;1;1.9;1;1;1;2;5
0;089;2;3.2;1;1;1;3;11
0;089;3;18.8;1;7;13;24;63
0;089;4;46.3;10;24;35;71;119
0;090;1;1.4;1;1;1;1;4
0;090;2;17;1;5;15;22;49
0;090;3;32.8;6;18;29;43.5;72
0;090;4;52.6;25;35;43;72;96
0;091;1;11;1;1;2;10;62
0;091;2;5.1;1;1;3;5;18
0;091;3;15.9;3;8;13;20;41
0;091;4;38.1;16;24;30;46;92
0;092;1;1.4;1;1;1;2;3
0;092;2;2.1;1;1;2;2;4
0;092;3;4.8;1;1;1;3;17
0;092;4;23.2;2;10;16;31;73
0;093;1;1.2;1;1;1;1;2
0;093;2;1.9;1;1;1;2;5
0;093;3;5.2;1;1;2;6;22
0;093;4;12;2;9;14;15;18
0;095;1;2.4;1;1;2;3;5
0;095;2;3.5;1;2;3.5;5;6
0;095;3;5.4;4;5;5;5;8
0;097;1;1.3;1;1;1;1;3
0;097;2;2;1;1;1;2;5
0;097;3;6.6;1;1;2.5;6;23
0;097;4;34.9;3;11;22.5;36;140
0;098;1;1.5;1;1;1;1;3
0;098;2;3.1;1;1;1;3;11
0;098;3;14.2;1;3;8;16;51
0;098;4;29.8;2;16;23;34;76
0;110;1;2.5;1;1;1;3;6
0;110;2;4.4;1;1;2;5;16
0;110;3;11.1;1;3;7;12;37
0;110;4;23.8;2;12;17;34;62
0;111;1;3.1;1;1;2;4;8
0;111;2;5.9;1;2;4;7;17
0;111;3;10.3;1;4;7;13.5;30
0;111;4;19.9;4;8;17.5;23;49
0;113;1;2.3;1;1;2;3;5
0;113;2;3.6;1;2;3;4;9
0;113;3;8.2;1;3;5;11;24
0;113;4;18.6;2;8;13;24;52
0;114;1;2.2;1;1;1;3;5
0;114;2;4.1;1;1;3;4;13
0;114;3;9.8;1;4;7;12;32
0;114;4;21.1;3;9;15;25;69
0;115;1;1.1;1;1;1;1;1
0;115;2;1.3;1;1;1;1;2
0;115;3;6.4;1;1;1;8;24.5
0;115;4;15.8;1;4;10;19.5;49
0;120;1;6.7;2;4;6;8;13
0;120;2;9.8;3;6;8;11;20
0;120;3;16.6;4;9;13;19;41
0;120;4;32.5;8;18;25;41;79
0;121;1;4.8;1;2;4;7;13
0;121;2;9.1;1;5;7;11;22
0;121;3;16.9;3;8;14;21;40
0;121;4;37.8;8;19;30;49;94
0;130;1;14.2;5;8;10;15;54
0;130;2;16.8;7;10.5;15;19;40.5
0;130;3;22;6;12;18;26;51
0;130;4;27.3;6;13;22;35;67
0;131;1;7.6;1;3;7;13;15
0;131;2;7.6;1;3;7;12;15
0;131;3;10;2;5;10;14;19
0;131;4;13.5;4;9;13;16;25
0;132;1;5.9;1;1;1;2.5;71
0;132;2;5.4;1;1;2;7;20
0;132;3;10.7;1;2;4;10;54
0;132;4;17.2;2;5;6.5;23;73
0;133;1;2.5;1;1;1;3;15
0;133;2;6.3;1;1;4;8;19
0;133;3;10.9;1;5;8;13;28
0;133;4;15;1;4;10;17;44
0;134;1;4.7;1;2;4;6;10
0;134;2;7;1;3;6;9;17
0;134;3;11.8;2;6;9;14;30
