vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3145;80335353;22572375;51937959;4491040;18086143
0;01;122281;498114830;39435587;125337225;6707285;72925828
0;03;123370;135472606;6602395;63156732;1385109;42392583
0;04;144055;599903242;35932048;115694084;11247297;66609163
0;05;204535;608446934;36373552;304807442;14552742;313678644
0;06;188652;493929585;40700566;147973314;8478417;107713071
0;07;55947;176717278;16896314;57872077;4053735;36831405
0;08;254694;876584207;39750897;303041574;7605899;317260544
0;09;59241;167781238;8100783;53838909;1817542;24095845
0;10;51135;135280502;8686499;46790124;2414025;35964925
0;11;83185;233969058;17465439;63972377;4088434;37782644
0;12;23667;52955896;4599121;24489822;582080;14583741
0;13;31817;52484005;3673327;28844303;493411;16672210
0;14;135825;247584293;7968070;97623123;2708624;39762870
0;15;5983;63310761;2718283;22753507;963316;5097654
0;16;16646;58043738;9069604;10932548;1384256;12146651
0;17;34754;107282866;48564522;23246429;2797053;26237264
0;18;36521;173407265;17254794;33718273;4411871;20887936
0;19;23283;105714593;1364820;12907103;774136;9889859
0;20;12070;37219629;584773;4614089;465138;4246976
0;22;947;11437487;476239;1096576;163622;771919
0;23;63562;164746739;6796530;33213425;1581940;34895185
0;24;720;5882166;1038548;814802;139316;581214
0;25;2634;27985575;1703504;8313942;599811;4539082
0;FF;23434;176062805;15056822;43793807;3583648;27071965
0;02;14462;18983847;860555;15419915;165147;7740633
0;21;24894;67699216;3567009;13079418;1220311;10811134
