vrai_hop;rdrg;N;NAB
0;001;233;231
0;002;195;195
0;003;956;945
0;004;1398;1329
0;005;324;322
0;006;11;11
0;020;723;680
0;021;4713;4447
0;022;517;485
0;023;1360;1180
0;024;5409;3752
0;026;2916;1700
0;040;389;111
0;041;2760;952
0;042;10956;3354
0;043;3191;306
0;044;3047;1020
0;045;14623;3836
0;046;569;83
0;047;7444;910
0;048;4031;651
0;049;660;422
0;050;1001;471
0;051;1084;682
0;052;2535;575
0;053;16267;2209
0;054;6536;380
0;055;3540;1217
0;056;295;94
0;057;7797;654
0;058;18566;2227
0;070;524;324
0;073;10386;3822
0;080;633;394
0;082;2743;578
0;089;1837;1607
0;090;297;219
0;091;702;632
0;092;5792;5466
0;093;4642;3217
0;095;147;127
0;097;7000;1872
0;098;12936;8220
0;110;1411;676
0;111;5925;417
0;113;23069;12083
0;114;4180;2596
0;115;66533;1535
0;120;3769;3469
0;121;3963;2991
0;130;857;838
0;131;821;746
0;132;118;41
0;133;1190;680
0;134;5467;1862
0;135;3639;1177
0;136;7381;3085
0;137;8491;8022
0;138;11769;3926
0;139;32547;31119
0;140;31509;23255
0;141;4746;1638
0;142;1971;841
0;143;5473;1743
0;144;21105;7968
0;160;77;77
0;161;1739;1579
0;162;536;534
0;163;3333;3289
0;165;1023;1012
0;166;4137;4064
0;167;3214;2042
0;169;2174;2044
0;170;414;392
0;171;6748;6065
0;174;9038;1202
0;175;30694;3413
0;176;2209;1892
0;177;788;688
0;180;2624;764
0;181;18405;11515
0;182;4563;2652
0;190;6853;1436
0;191;12065;297
0;192;13647;1454
0;193;220;209
0;194;25147;10041
0;196;932;258
0;197;4995;1558
0;198;3973;349
0;199;2631;324
0;200;1220;306
0;201;18254;2639
0;203;4222;245
0;204;10487;1536
0;205;427;112
0;206;1255;548
0;207;5246;1222
0;220;3450;2943
0;221;15850;15303
0;222;4641;2702
0;223;4279;3311
0;224;1695;1206
0;225;12317;11253
0;226;6277;2059
0;227;7752;6566
0;228;13841;11470
0;229;3317;2212
0;240;6302;2258
0;241;7614;1514
0;242;653;290
0;243;6360;1033
0;244;9817;6713
0;245;3455;1409
0;246;1319;691
0;247;8337;2100
0;248;5006;3725
0;249;30511;6822
0;251;5593;704
0;252;2726;1000
0;253;2970;747
0;254;20645;3852
0;260;2598;2211
0;261;1665;1363
0;262;473;424
0;263;19610;13983
0;264;2812;1813
0;279;1453;726
0;280;3630;1528
0;281;4500;1812
0;282;6811;2093
0;283;2609;697
0;284;10911;7615
0;301;31022;30476
0;302;26876;26446
0;303;424;421
0;304;7806;7624
0;305;1131;1045
0;308;10584;10073
0;309;3641;2766
0;310;16643;15378
0;312;628;503
0;313;17210;14702
0;314;15579;13484
0;315;34161;27095
0;316;4857;3576
0;317;9623;7365
0;320;11029;9290
0;321;6901;6596
0;322;1355;1326
0;340;1641;554
0;341;3553;1339
0;342;8411;1907
0;343;2315;987
0;344;1834;1618
0;346;3332;1042
0;347;18085;3631
0;349;2391;846
0;351;12627;4436
0;361;4805;2881
