vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;561;3330705;484.18;994.9;1575.02;2296.23;3759.98
0;563;6965556;461.08;695.64;1399.68;2294.6;7224.5
0;564;623781;424.29;503.32;575.31;765.41;1831.26
0;565;1238912;404.64;480.3;549.56;919;3109.26
0;566;22218240;448.75;569.08;1101.6;1999.32;4698.33
0;580;271924;489.94;1101.39;1965.08;2374.8;3930.16
0;581;32960;552.03;610.42;1554.63;2204.04;2881.48
0;583;389249;2202.78;5966.56;13843.11;35436.96;82533.36
0;588;4418749;4076.1;25571.24;49046.96;80743.2;137658.96
0;589;360546;0;557.68;5191.3;40251.88;114538.83
0;591;4802071;1050.62;26990.72;54366.32;73479.36;101201.62
0;593;7168061;1187.4;27005;40559.52;54636.12;82641.3
0;602;5494650;8756.99;18544.32;27540;40706.56;62540.64
0;603;1037510;905.8;13318.78;25229.28;40530.85;64562
0;607;6185029;5509.42;12459.12;19624.44;30523.76;48970.6
0;608;1902597;5778.41;9540.72;13511.77;20977.14;37291
0;609;1977198;5142.76;11040.6;20212.48;41020.1;88937.78
0;611;2641064;4607.36;7944.45;13770.38;22081.2;39650.04
0;612;4606873;3601.85;8350.53;13151.08;21697.22;34307.72
0;613;443341;2788.4;7249.84;12266.64;16372.34;31194.18
0;614;3605655;1557.39;5548.92;8936.36;13077.32;24230.58
0;621;1484253;550.8;4162.76;9434.25;15094.5;29121.22
0;622;2543704;2230.72;4639.03;8247.69;13224.24;23192.52
0;623;325437;0;2348.86;4619.54;8076.07;25340.48
0;625;1321331;529.63;3177.78;7064.18;10619;19762.92
0;626;1608005;421.73;2108.65;4051.62;7350.57;12948.12
0;630;2112820;3312.18;7571.08;13563.36;22027.8;54518.4
0;631;1910372;1376.56;8531.63;13485.42;19759.41;51111
0;633;3619021;557.68;2952.11;5509.42;10807.94;24563.5
0;634;3050269;0;2879.6;5191.3;8087.38;14798.74
0;636;838807;0;1588.89;2911.32;5142.76;12592.96
0;639;1754844;424.08;982.28;1894.04;4405.56;11302.8
0;640;2450311;0;495.22;712.76;1481.64;5420.88
0;650;776143;986.1;2260.56;3070.98;4561.65;16165.2
0;651;2552351;445.41;554.83;1044.3;2779.38;10549.28
0;660;19093525;676.13;1999.32;3398;5682.6;15028.09
0;661;3470572;479.16;787.06;1525.74;3089.8;10212.1
0;662;2987471;573.65;1440.74;2361.18;4197.48;8389.26
0;663;35846591;466.56;963.42;2029.75;4285.08;10601.76
0;680;8847052;991.32;2881.48;5388.4;11207.9;33602.91
0;681;17840576;463.75;688.28;1584.42;4437.45;20794.56
0;690;12186862;543.38;2204.04;6542.54;16544.68;29737.53
0;691;18735535;518.21;1383.24;3674.77;7641.75;20711.16
0;692;1534709;537.14;699.58;1342.38;3019.04;14273.6
0;694;13219653;491.27;1099.12;2868.12;6364.35;17285.86
0;695;9647719;734.68;2161.11;2983.28;13424.76;24612.06
0;696;31432714;448.75;557.68;927.5;1509.96;4034.8
0;710;34099598;695.64;3752.24;7866.75;14806.55;35853.86
0;711;19897783;526.76;2155.36;4821.76;10231.78;24550.2
0;720;87963267;602.72;2697.06;4885.2;8327.34;18729.62
0;721;18862944;550.8;1610.34;2947.02;5434.8;13424.76
0;722;7781734;447.55;753.52;1391.28;2465.25;6832.65
0;723;17376753;449.51;712.76;1132.42;1895.72;4912.7
0;724;11513272;495.1;1155.34;2147.12;4036.02;11187.3
0;740;5613902;537.01;2456.35;6474.44;14927.04;36297.06
0;750;2066084;465.15;551.85;753.52;3446.62;23814.28
0;751;13867018;488.52;699.58;2675.57;7349.1;25314.24
0;752;1152849;447.55;555.18;753.52;4414.8;14814.36
0;753;6247228;465.15;655.55;2015.16;7019.85;22037.68
0;754;10703694;429.77;558.32;2455.7;6622.52;18137.35
0;755;8314144;459.5;672.67;1588.89;3827.36;13264.29
0;756;14008428;441.54;537.14;1255.56;3951.04;13565
0;757;34155109;594.68;3256.05;6214.26;10067.85;19091.02
0;758;1854746;441.89;561.14;1155.34;3963.47;12776.04
0;759;3026162;594.68;2455.7;4408.08;10903.68;47225.44
0;760;6585774;426.9;513.36;575.92;734.68;5915.84
0;770;1318947;447.55;530.95;925.4;2355.4;11038.5
0;772;8653078;1040.76;2766.48;4151.92;5509.42;14129.28
0;773;1841791;447.55;557.68;1073.56;3650.57;12056.32
0;774;956516;422.42;520.38;610.42;1719.08;7860.32
0;775;22422125;425.89;509.45;610.42;2983.28;12594.75
0;776;3082367;422.42;526.76;966.11;3701.04;12737.55
0;791;17203323;449.51;610.42;1388.1;3562.2;16688.8
0;811;1566392;422.42;490.91;568.26;937;3057.3
0;812;27665127;422.42;516.65;681.48;2357.85;11741.28
0;813;13189993;448.28;594.68;1359.2;2788.4;8930.27
0;815;7232469;422.56;519.75;722.45;2687.29;15830.44
0;816;3168559;421.73;502.69;606.55;1269.6;7571.97
0;841;2394016;19533.44;66204.8;109441;173787.6;334326.72
0;842;5940854;606.55;3919.1;17618.64;33769.06;80367
0;843;101325;491.48;717.5;1426.13;7693.7;21810.07
0;844;4371453;485.59;1056.28;2585.71;6798.26;29146.98
0;850;27343398;437.4;518.99;695.59;1584.42;14129.28
0;860;45165484;2027.56;7935.46;14532;21478.08;34678.94
0;861;59592967;414.31;493.88;588.61;1277.67;7858.72
0;862;33021158;408.46;528.14;695.59;1492.35;10591.35
0;863;2807102;0;0;449.93;4816.08;14106.12
0;890;2348290;843.46;4632.94;9224.2;18838;80192.8
0;892;2034464;734.68;2753.12;4921.38;8947.64;24216.12
0;893;504766;1147.3;3623.2;6310.15;9546.8;31817.26
0;894;1021854;573.65;1147.3;2234.09;4129.68;9695.66
0;910;2743087;520.38;3606.66;10848.57;26296.25;54423.54
0;911;2425844;525.23;4740.52;8887.52;16712.88;48968.05
0;912;16565160;1485.3;4632.94;8636.46;17131.29;42814.8
0;930;9981645;531.47;2207.76;5206.04;10086.61;22471.92
0;950;51187298;530.95;1965.08;6712.38;15569.7;37028.39
0;951;93965234;468.5;978.44;3720.29;9780.84;27901.3
0;952;31392851;459.5;740.25;2868.12;8243.65;23191.35
0;955;43354;0;499.83;596.61;1417.35;5111.9
0;956;3509971;593.7;1187.4;4226.62;10686.6;23634.16
