vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;001;53;13;47;57;64;71
0;002;51;20;47;55;62;66
0;003;49;10;40;54;62;69
0;004;60;24;51;62;73;83
0;005;64;35;56;66;75;83
0;006;49;36;41;48;54;68
0;020;63;14;51;71;81;90
0;021;56;18;45;58;70;84
0;022;50;2;30;56;73;83
0;023;54;20;44;54;66;80
0;024;68;45;61;70;78;85
0;026;54;15;41;55;68;85
0;040;56;17;40;57;76;87
0;041;62;29;54;64;73;84
0;042;77;49;73;80;85;91
0;043;52;23;41;53;65;80
0;044;73;44;65;77;84;91
0;045;75;49;67;78;85;92
0;046;73;44;65;76;84;91
0;047;74;47;65;77;84;91
0;048;60;22;48;63;76;87
0;049;43;0;20;45;64;81
0;050;51;2;28;57;74;86
0;051;19;0;4;16;32;56
0;052;62;7;52;68;80;90
0;053;39;1;11;40;61;83
0;054;39;9;22;38;52;77
0;055;63;10;49;69;83;91
0;056;55;4;34;60;78;88
0;057;26;0;4;14;45;82
0;058;52;14;40;53;67;85
0;070;51;15;36;52;69;85
0;073;67;31;59;71;79;87
0;080;44;0;5;50;76;90
0;082;52;2;31;57;76;88
0;089;31;13;17;23;42;68
0;090;61;44;55;63;69;78
0;091;52;2;45;59;67;82
0;092;33;14;18;27;46;70
0;093;43;17;30;43;56;72
0;095;28;0;2;32;45;58
0;097;24;3;13;23;33;52
0;098;41;9;25;40;55;75
0;110;63;45;55;63;70;83
0;111;64;31;52;67;79;88
0;113;16;0;1;3;25;71
0;114;34;1;7;28;57;82
0;115;51;2;43;53;63;78
0;120;59;17;54;63;70;79
0;121;59;22;51;63;72;82
0;130;65;8;58;68;78;87
0;131;24;3;15;24;31;46
0;132;3;0;0;0;2;23
0;133;68;5;61;75;84;92
0;134;68;34;56;71;81;90
0;135;65;25;52;67;82;91
0;136;69;50;61;69;78;86
0;137;66;3;56;74;84;92
0;138;2;0;0;0;1;3
0;139;57;1;32;69;83;91
0;140;70;49;63;72;80;88
0;141;33;1;5;26;58;84
0;142;66;32;56;70;79;88
0;143;54;0;34;61;75;88
0;144;49;0;13;56;79;90
0;160;9;0;0;0;6;57
0;161;62;35;54;64;72;80
0;162;71;45;65;74;81;86
0;163;69;41;63;73;79;86
0;165;69;51;62;69;77;84
0;166;68;51;61;68;75;82
0;167;52;0;43;60;71;80
0;169;66;44;60;68;76;85
0;170;78;57;73;80;85;91
