vrai_hop;rmdc;rdrg;SI;ATC1;ATC4;Nfarm;Sum
0;17;680;1;A;A02BA;43;134.28
0;17;680;1;A;A02BC;96;585.28
0;17;680;1;A;A03AB;1;2.36
0;17;680;1;A;A03FA;106;219.24
0;17;680;1;A;A04AA;14;168.72
0;17;680;1;A;A07AA;4;8.68
0;17;680;1;A;A09AA;3;11
0;17;680;1;A;A10AB;15;68.16
0;17;680;1;A;A10AD;1;6.16
0;17;680;1;A;A10AE;1;9.92
0;17;680;1;A;A10BA;10;3.12
0;17;680;1;A;A10BB;4;2.24
0;17;680;1;A;A10BX;1;0.44
0;17;680;1;B;B01AA;1;0.12
0;17;680;1;B;B01AB;166;2613.92
0;17;680;1;B;B01AC;12;0.96
0;17;680;1;B;B01AF;1;11.92
0;17;680;1;B;B02AA;11;30.92
0;17;680;1;B;B02BC;14;5515.41
0;17;680;1;B;B03AC;3;452.8
0;17;680;1;B;B05AA;48;1085.76
0;17;680;1;B;B05BA;61;1715.24
0;17;680;1;B;B05BB;183;5635.6
0;17;680;1;B;B05BC;2;9.2
0;17;680;1;B;B05CB;7;44.57
0;17;680;1;B;B05XA;3;29.24
0;17;680;1;C;C01BC;3;4.12
0;17;680;1;C;C01CA;1;4.04
0;17;680;1;C;C01DA;1;0.4
0;17;680;1;C;C01DX;2;27.8
0;17;680;1;C;C02AC;44;55.52
0;17;680;1;C;C02CA;2;44.08
0;17;680;1;C;C03BA;2;1.16
0;17;680;1;C;C03CA;11;9.6
0;17;680;1;C;C03DA;2;0.2
0;17;680;1;C;C03EA;1;0.44
0;17;680;1;C;C07AA;2;0.16
0;17;680;1;C;C07AB;27;22.16
0;17;680;1;C;C07AG;2;0.76
0;17;680;1;C;C07BB;4;2.48
0;17;680;1;C;C08CA;12;203.44
0;17;680;1;C;C08DB;3;4.16
0;17;680;1;C;C09AA;7;4.88
0;17;680;1;C;C09CA;6;7.2
0;17;680;1;C;C09DA;2;10.2
0;17;680;1;C;C10AA;21;54.32
0;17;680;1;D;D07AC;1;2.96
0;17;680;1;G;G03CA;1;0.24
0;17;680;1;G;G03DC;1;0.36
