vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;315;4;113;126589;334.65;563.99;964.89;1497.49;2575.13
0;316;1;4134;987918;194.42;213.03;229.12;254.04;299.28
0;316;2;736;211974;200.77;221.86;253.02;291.54;507.8
0;316;3;58;28953;221.24;259.09;332.2;545;1553.24
0;316;4;10;14859;404.53;475.54;910.72;1791.28;3922.33
0;317;1;8335;2038206;194.92;213.67;229.12;251.8;320.8
0;317;2;814;304068;202.52;228.82;267.69;369.82;882.02
0;317;3;143;112409;253.99;389.29;569.25;1045.46;1864.2
0;317;4;49;68418;310.77;823.55;1222.49;1857.94;3049.27
0;320;1;6921;1796429;196.08;217.82;238.61;276.05;369.69
0;320;2;1803;699513;209.08;250.31;300.71;406.58;851.61
0;320;3;286;214562;255.76;419.54;582.55;879.02;1783.55
0;320;4;62;84642;421.65;651.55;1000.35;1701.83;3410.63
0;321;1;5552;1507422;211.51;237.04;256.25;284.1;367.2
0;321;2;1218;472138;224.91;252.29;292.28;378.53;876.9
0;321;3;173;144018;258.94;372.23;603.33;910.75;2050.95
0;321;4;51;62187;446.95;706.41;968.09;1412.04;2724.36
0;322;1;868;276519;207.8;244.1;274.68;334.88;533.15
0;322;2;371;166595;231.16;269.34;332.75;487.12;1094.76
0;322;3;59;46266;291.26;373.93;573.26;992.56;2149.54
0;322;4;13;13380;0;548.82;776.45;1234.25;4012.24
0;340;1;408;154906;206.22;241.26;301.62;450.11;849.06
0;340;2;822;396067;215.11;285.51;385.62;595.15;997.09
0;340;3;369;224881;234.25;343.57;528.65;748.03;1359.31
0;340;4;59;40993;221.92;259.08;507.34;969.82;1601.42
0;341;1;656;271783;212.1;262.21;326.83;480.03;923.78
0;341;2;1468;790791;231.33;326.55;461.18;652.14;1098.66
0;341;3;1232;846502;266.64;436.75;603.32;838.12;1390.19
0;341;4;96;83801;264.65;510.86;746.37;1023.03;1967.33
0;342;1;5000;1347299;195.27;212.12;229.37;261.48;477.03
0;342;2;2705;1235695;205.64;254.95;349.71;538.83;1061.35
0;342;3;989;640766;244.84;377.88;541.05;772.98;1332.22
0;342;4;131;114690;360.01;503.54;769.02;1035.21;2095.71
0;343;1;263;80358;206.19;243.06;280.02;325.87;483.16
0;343;2;847;335909;214.79;267.41;331.5;446.05;758.38
0;343;3;982;561607;257.07;355.4;496.94;690.5;1138.62
0;343;4;95;81506;322.9;502.68;741.9;1087.67;1854.06
0;344;1;424;156208;216.75;267.97;323.45;406.02;701.94
0;344;2;692;325209;232.6;317.13;404.77;540.73;915.1
0;344;3;316;229376;262.43;438.78;638.54;869.6;1470.89
0;344;4;78;83441;264.44;566.6;893.81;1291.47;2417.58
0;346;1;1605;519620;208.24;246.62;289.45;360.86;560.59
0;346;2;1241;493896;231.98;281.79;348.24;439.02;729.51
0;346;3;534;296871;261.48;353.8;471.6;665.95;1133.6
0;346;4;100;89377;300.18;490.39;725.13;1112.96;2036.53
0;347;1;11328;3516941;203.86;235.12;269.51;332.19;551.64
0;347;2;5942;2692661;221.49;288.2;387.57;533.37;903.53
0;347;3;2354;1469874;252.9;384.67;530.46;739.62;1311.5
0;347;4;252;238508;273.14;540.32;822.69;1193.41;2208.52
0;349;1;1049;294347;182.48;218.68;243.65;285.05;499.3
0;349;2;1016;420982;202.64;252.59;330.06;479.33;896.59
0;349;3;239;151815;235.15;358.63;557.1;727.3;1385.78
0;349;4;46;39038;298.42;416.05;683.6;1049.53;2261.06
0;351;1;5435;1615085;199.45;227.92;261.31;315.61;515.63
0;351;2;5614;2318846;216.83;270.97;350.59;477.88;800.65
0;351;3;2188;1243275;240.24;366.38;490.42;670.59;1145.26
0;351;4;260;215977;265.07;465.55;688.19;1020.63;1830.54
0;361;1;3743;1031791;200.39;222.19;246.66;285.43;418.97
0;361;2;1112;495081;211.9;252.65;316.34;471.9;1029.32
0;361;3;347;316223;256;517.37;768.72;1160.54;2038.67
0;361;4;64;91088;298.58;783;1304.13;1831.59;2699.01
0;362;1;3597;1096220;213.63;256;293.99;343.88;428.31
0;362;2;1065;378733;234.25;280.27;330.1;397.74;539.41
0;362;3;51;28386;277.89;342.11;447.37;637.43;1292.32
0;362;4;2;1965;816.95;816.95;982.31;1147.67;1147.67
0;363;1;12462;3152769;200.69;224.55;243.78;272.33;332.93
0;363;2;1980;612149;212.61;246.42;289.54;346;477.28
0;363;3;292;119211;269.51;309.55;359.83;453.83;689.28
0;363;4;10;6411;317.77;426.4;509.97;689.64;1439.21
0;364;1;5003;1335752;201.52;228.81;254.3;286.17;366.4
0;364;2;1494;549169;210.66;247.45;296.14;386.17;736.95
0;364;3;419;303641;261.82;372.05;560.05;836.82;1885.61
0;364;4;78;96526;365.54;638.57;1018.18;1557.61;2859.38
0;380;1;191;76207;213.59;277.49;337.73;435.85;875.97
0;380;2;1035;492972;234.6;310.71;398.64;545.5;905.33
0;380;3;700;472727;287.27;415.4;574.7;783.44;1351.84
0;380;4;105;95591;278.06;529.09;689.4;1112.94;2066.25
0;381;1;265;77621;197.06;221.79;256.6;320.8;535.57
0;381;2;313;133247;221.31;271.03;354.66;513.47;856.48
0;381;3;124;80139;241.44;358.28;488.46;780.12;1614.62
0;381;4;35;31953;350.66;503.54;721.3;1169.34;2476.9
0;382;1;92;24402;154.23;215.57;239.02;273.58;439.87
0;382;2;397;140242;184.24;240.51;283.09;382.14;732.35
0;382;3;474;244327;233.47;306.35;420.11;615.97;1080.06
0;382;4;66;42416;254.65;375.65;536.25;824.58;1435.43
0;383;1;5929;1666813;206.29;234.13;263.39;303.73;415.19
0;383;2;4413;1657653;226.64;279.06;335.72;423.07;645.18
0;383;3;1781;962179;268.74;366.53;472.51;616.68;990.62
0;383;4;234;174848;253.13;431.44;630.65;932.44;1711.05
0;384;1;3093;809431;194.78;214.22;230.86;261.82;442.45
0;384;2;2908;1125946;207.61;242.82;315.02;463.12;752.8
0;384;3;1213;655466;237.09;350.36;469.09;629.07;1074.61
0;384;4;128;100952;277.89;485.7;694.46;939.02;1777.84
0;385;1;3338;874395;197.3;220.55;243.18;277.45;383.29
0;385;2;1231;417794;204;247.38;293.72;375.17;632.31
0;385;3;296;145872;229.08;310.35;421.02;580.96;924.96
0;385;4;36;29267;377.71;454.89;544.82;1021.37;1901.06
0;401;1;301;108953;238.15;291.52;344.65;404.24;525.13
0;401;2;186;83532;296.5;342.82;398.45;473.33;743.73
0;401;3;56;34355;329.85;388.26;451.95;706.83;1461.58
0;401;4;17;17203;336.17;618.14;870.09;1138.19;3879.88
0;403;1;11327;2996356;217.36;240.65;257.45;280.21;332.78
0;403;2;2913;833221;224.84;249.91;270.97;303.13;381.19
0;403;3;138;59900;247.38;294.72;363.72;451.89;1004.45
0;403;4;51;56440;303.56;596.43;835.3;1426.37;2798.35
0;404;1;5089;1326508;207.29;234.88;254.66;276.2;333.8
0;404;2;1800;524045;216.64;244.61;267.95;309.45;409.03
0;404;3;105;50142;236.76;288.18;380.59;546.78;1137.99
0;404;4;20;28094;274.63;656.39;1041.59;1873.11;4024.82
0;405;1;95;27824;210.53;246.65;270.02;312.4;430.43
0;405;2;76;36006;215.4;296.76;367.76;525.41;1219.99
0;405;3;88;70514;291.26;458.58;607.97;953.7;1786.94
0;405;4;48;56397;339.64;592.04;1083.15;1678.42;2240.66
0;420;1;7096;2296586;222.94;259.42;296.42;354.38;497.69
0;420;2;2447;887259;215.4;265.88;324.04;410.17;621.91
0;420;3;1362;618699;229.9;304.85;388.75;518.94;889.12
0;420;4;227;149353;229.37;406.47;561.19;774.84;1322.15
0;421;1;2840;758106;198.14;222.1;244.81;276.05;383.06
0;421;2;2199;781809;208.32;250.62;302.82;397.53;675.08
0;421;3;1227;622191;241.19;329.85;427.75;579.58;1009.91
0;421;4;148;122099;327.53;466.23;702.79;927.35;2058.74
0;422;1;892;219415;198.4;220.3;236.44;262.18;323.13
0;422;2;2180;742177;209.49;243.68;292.12;381.87;601.66
0;422;3;1384;667702;236.26;322.07;428.79;566.57;890.17
0;422;4;198;139435;251.68;412.08;584.15;864.62;1432.08
0;423;1;163;49866;198.21;230.63;261.82;312.19;550.74
0;423;2;234;76751;209.57;255.74;287.13;357.62;485.84
0;423;3;115;41875;203.51;227.12;306.15;409.03;821.21
0;423;4;12;14126;267.8;464.53;691.98;1159.26;5890.84
0;424;1;1642;463126;208.39;239.57;264.58;299.68;414.68
0;424;2;1019;370513;217.05;268.66;321.08;408.37;667.13
0;424;3;514;249655;231.51;314.91;413.99;573.37;1010.27
0;424;4;79;54922;309.16;434.15;608.8;804.56;1425.55
0;425;1;648;199951;200.29;233.77;268.8;331.41;521.82
0;425;2;1916;714805;212.32;264.19;328.12;428.4;668.87
0;425;3;1189;583180;240.48;323;423.38;564.54;992.08
0;425;4;203;148801;235.83;410.22;643.48;867.9;1533.23
0;440;1;38;23243;422.09;488.98;578.05;678.09;998.89
0;440;2;212;145350;452.58;539;614.63;770.15;1202.92
0;440;3;198;161597;489.52;582.38;734.86;964.05;1529.6
0;440;4;26;42118;554.78;761.69;1517.63;2366.23;3208.43
0;441;1;319;101557;209.4;251.47;291.7;360.11;493.05
0;441;2;488;248349;217.84;317.13;467.02;625.64;988.73
0;441;3;678;433757;350.59;466.49;571.55;722.17;1166.32
0;441;4;96;105657;491.69;671.7;870.71;1221.81;2614.73
0;442;1;953;318545;229.37;286.44;320.9;366.23;462.96
0;442;2;821;310050;253.39;309.04;355.48;415.34;566.3
0;442;3;317;175212;291.7;371.28;451.57;555.58;1342.26
0;442;4;54;47725;272.2;472.44;655.84;975.73;2164.86
0;443;1;4718;1243120;184.97;220.03;249.23;289.04;390
0;443;2;2076;672603;203.51;243.42;284.71;362.94;559.32
0;443;3;746;407968;231.4;345.11;470.41;656.62;1109.98
0;443;4;137;133844;298.89;517.75;805.95;1337.78;2246.71
0;444;1;398;97827;203.51;222.66;237.76;255.13;301.11
0;444;2;529;140520;188.27;224.72;244.94;272.33;410.7
0;444;3;101;40098;190.54;245.79;285.38;453.22;947.94
0;444;4;8;7542;241.33;485.88;824.59;1501.4;1676.7
0;445;1;829;209358;182.81;219;240.66;275.52;342.01
0;445;2;462;141189;197;243.49;281.36;338.93;494.41
0;445;3;100;52219;244.28;342.46;472.79;571.67;1145.29
0;445;4;17;15455;512.39;652.24;727.62;901.19;1828.68
0;446;1;9623;2351290;189.84;217.55;237.38;262.99;317.13
0;446;2;3612;1010674;200.23;229.99;259.67;299.87;407.76
0;446;3;439;180897;213.4;269.16;331.51;468.66;887.34
0;446;4;52;40164;326.57;531.74;652.1;962.06;1380.56
0;447;1;130;34559;177.45;228.71;253.43;295.43;386.2
0;447;2;181;60794;205.4;237.37;280.23;354.66;673.06
0;447;3;172;101555;231.73;325.62;429.23;656.7;1429.76
0;447;4;63;80156;414.5;636.84;985.73;1488.51;2916.5
0;461;1;518;135394;190.98;228.25;251.28;278.01;356.57
0;461;2;749;239199;200.23;241.52;277.22;336.83;620.95
0;461;3;494;242021;228.56;316.36;423.31;591.27;922.42
0;461;4;69;53851;270.67;437.42;589.99;871.72;1896.41
0;462;1;258;69076;197.3;228.16;248.08;293.85;403.02
0;462;2;326;101426;214.45;240.93;285.1;343.97;517.08
0;462;3;189;87152;231.04;300.71;373.93;521.58;1075.51
0;462;4;18;13131;243.22;358.82;722;893.92;1920.16
0;463;1;7605;2116042;209.08;238.81;264;298.09;397.84
0;463;2;8710;3213922;226.44;272.32;325.81;416.98;633.93
0;463;3;4699;2327737;254.98;342.38;439.98;572.89;905.33
0;463;4;743;513431;296.76;437.25;612.6;839.6;1362.92
0;465;1;6084;1407992;180.43;210.13;227.45;248.3;290.77
0;465;2;5394;1328739;190.49;215.4;235.02;263.15;327.84
0;465;3;219;83238;207.41;262.34;312.15;438.83;753.32
0;465;4;34;23529;290.63;396.71;516.71;763.6;2725.01
0;466;1;488;114884;157.06;195.97;226.67;260.1;349.82
0;466;2;948;282423;178.65;226.89;264.27;328.64;531.87
0;466;3;816;341719;223.56;284.59;352.76;472.61;837.99
0;466;4;124;79103;242;393.74;546.9;805.14;1285.01
0;468;1;5687;1485066;181.12;218.89;243.15;277.45;396.13
0;468;2;3306;1072647;199.31;239.62;278.81;352.63;593.76
0;468;3;1424;661020;228.72;302.49;387.31;536.49;899.99
0;468;4;177;139333;255.93;408.01;688.19;967.75;1667.91
0;469;1;152;47699;188.17;236.66;288.27;361.21;550.63
0;469;2;1067;444237;222.4;299.68;371.31;479.6;750.96
0;469;3;1241;687248;239.68;355.24;477.48;631.34;1101.2
0;469;4;292;208405;256.6;437.82;625.64;932.34;1490.89
0;470;1;203;56980;200.77;227.45;252.92;301.49;443.76
0;470;2;1498;499263;208.18;246.57;292.35;370.03;585.67
0;470;3;1181;521927;227.66;290.13;377.71;506.49;843.83
0;470;4;123;99401;344.44;490.44;679.95;1019.2;1638.53
0;480;1;2751;899918;243.49;281.65;318.19;359.16;450.85
0;480;2;968;356272;251.63;295.42;339.84;401.49;560.88
0;480;3;89;47814;282.19;361.99;437.71;536.8;1072.47
0;480;4;18;17827;315.91;543.69;786.31;1206.1;2834.4
0;481;1;817;226823;203.54;230.93;256.54;302.28;423.3
0;481;2;299;90374;215.4;253.91;283.77;330.26;455.36
0;481;3;16;9427;222.4;319.9;337.2;603.33;2224.73
0;481;4;1;328;327.66;327.66;327.66;327.66;327.66
0;482;1;4201;1151957;207.21;244.05;266.48;297.08;359.22
0;482;2;3492;1035130;219.04;249.35;274.93;317.13;423.18
0;482;3;259;124230;243.5;306.04;372.05;510.94;1066.47
0;482;4;32;24830;277.12;503.73;762.44;1018.72;1383.45
0;483;1;2090;491801;196.08;211.9;228.9;251.15;296.35
0;483;2;179;51821;201.23;230.08;262.64;306.38;480.73
0;483;3;20;11749;201.54;295.64;484.36;824.3;1167.01
