vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;531;4;6;885;39.59;46.8;129.94;213.93;324.54
0;532;1;1391;15262;0;0;5.33;16.39;39.21
0;532;2;510;10623;0;0;10.4;27.35;70.94
0;532;3;56;3987;0;14.41;47.74;91.7;163.54
0;532;4;4;859;122.88;143.95;205.57;285.56;325
0;540;1;14887;300829;2.54;9.35;16.72;26.7;47.81
0;540;2;7418;252348;3.81;14.74;26.28;42.33;93.1
0;540;3;1983;147149;8.56;31.33;55.3;97.3;193.59
0;540;4;77;21898;47.53;101.08;153.03;264.52;982.17
0;541;1;856;14768;1.55;7.71;14.5;23.28;41.86
0;541;2;1400;35600;2.79;12.35;20.79;32.76;62.22
0;541;3;296;17689;10.22;25.68;43.15;73.68;160.35
0;541;4;7;2008;59.69;156.8;249.67;448.71;472.95
0;542;1;452;6794;1.16;6.89;11.31;18.81;33.07
0;542;2;862;17982;2.1;7.71;15.04;27.03;58.89
0;542;3;132;9589;5.23;18.69;42.19;92;237.15
0;542;4;5;908;115.14;153.02;168.76;220.45;250.62
0;544;1;1084;12902;0;0;6.73;16.87;42.04
0;544;2;420;9128;0;4.64;13.96;29.71;69.94
0;544;3;40;1902;1.67;17.15;42.96;67.79;110.36
0;544;4;4;2077;67.88;334.32;607.55;704.13;793.92
0;545;1;954;11419;0;1.09;7.91;18.9;35.05
0;545;2;289;5895;0;6.85;16.86;28.34;56.99
0;545;3;33;2090;8.34;40.99;53.37;84.2;167.47
0;545;4;2;2664;1282.39;1282.39;1331.86;1381.34;1381.34
0;546;1;358;5002;0;0;4.63;17.75;55.41
0;546;2;139;4788;0;2.38;15.72;36.48;146.64
0;546;3;49;2956;12.98;19.98;30.43;83.05;192.96
0;546;4;5;1442;170.59;173.45;229.32;393.59;475.27
0;560;1;57479;811654;1.16;6.38;11.43;19.03;35.6
0;560;2;26454;550952;1.8;8.55;15.91;26.98;56.03
0;560;3;3389;137731;3.4;14.56;28.61;52.25;116.36
0;560;4;32;6542;29.86;59.11;103.48;164.13;856.65
0;561;1;899;13119;0;3.26;9.13;20.07;47.09
0;561;2;743;19414;0;6.16;18.01;35.91;78.3
0;561;3;112;5400;0;4.96;28.93;67.64;172.68
0;561;4;16;2058;15.11;57.63;91.52;187.28;458.49
0;563;1;2472;46471;0;6.73;16.37;26.1;47.99
0;563;2;1271;35356;0;12.31;22.32;35.5;76.68
0;563;3;139;6636;8.66;18.16;31.3;58.3;151.26
0;563;4;1;153;152.63;152.63;152.63;152.63;152.63
0;564;1;623;7074;0;0;5.63;17.13;41.34
