vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;001;1;2;2;42.9;1.6;1.6;21.5;41.3;41.3
0;001;2;34;34;774.5;1;2;6.5;51.1;80
0;001;3;91;91;3793.7;3.3;10.8;25.7;61.9;122.2
0;001;4;116;116;14741.5;5.4;38;81.7;157;454
0;002;2;8;8;910.7;10.4;35.1;97.9;154.1;326
0;002;3;66;65;7108;9.9;42.6;109.5;157.3;225.8
0;002;4;91;91;18746.1;10.6;67.3;161.6;277.5;595.9
0;003;1;323;308;17751.3;1.6;35;52.2;70.2;135.3
0;003;2;389;387;29711.6;28.8;48;64;97.2;148.7
0;003;3;82;81;8331.2;38.9;58.4;93;123.4;213.7
0;003;4;72;72;13323.2;43.4;89.6;139.7;237.5;456.4
0;004;1;1;1;31.6;31.6;31.6;31.6;31.6;31.6
0;004;2;19;16;362.1;0.3;13.3;18.8;26.5;75.7
0;004;3;118;113;4557.9;1.6;17.4;29.1;50.5;109.7
0;004;4;950;939;72267;6.2;28.7;52.9;100.4;216.1
0;005;1;2;2;15;5.3;5.3;7.5;9.7;9.7
0;005;2;19;18;607.8;10;19;32;37.9;92
0;005;3;154;154;5789.5;7.3;18.7;30.6;48.5;87.5
0;005;4;503;501;33983.4;12.3;31.1;54.4;87.9;174.5
0;006;3;4;4;213.3;21.9;37.8;57.4;68.8;76.5
0;006;4;5;5;393.4;27.8;43.7;90.6;91.8;139.5
0;020;1;281;251;702.5;0.4;0.4;1.1;3.2;11.7
0;020;2;107;97;596.1;0.4;0.8;1.6;7.3;24.2
0;020;3;288;262;2998.6;0.4;0.8;4.2;14.3;43.3
0;020;4;167;164;4452.5;1.1;8.7;16.1;29.2;89.7
0;021;1;1228;1105;2060.6;0.4;0.4;0.8;1.6;7.9
0;021;2;1418;1321;5028.7;0.4;0.8;1.1;2.4;15.8
0;021;3;849;817;12256.6;0.4;0.8;2.4;13.4;69.4
0;021;4;451;446;15237.4;0.8;5.2;15.6;42.1;122.8
0;022;1;261;234;391.4;0.4;0.4;0.8;1.2;4.8
0;022;2;320;299;1295.8;0.4;0.4;1.2;3.1;19.5
0;022;3;211;196;2895.9;0.4;1.4;7.1;16.8;62.8
0;022;4;137;134;5635.5;1.1;10.4;23.1;54.4;140.6
0;023;1;925;765;1288.4;0.4;0.4;0.8;1.2;5.2
0;023;2;520;427;2479.6;0.4;0.4;1.2;2.4;19.3
