vrai_hop;rdrg;N;NAB
0;001;221;219
0;002;178;178
0;003;879;850
0;004;1027;1008
0;005;579;573
0;006;8;8
0;020;822;752
0;021;3965;3762
0;022;886;830
0;023;1714;1491
0;024;4440;3365
0;026;3152;1788
0;040;439;133
0;041;2882;1038
0;042;11646;3532
0;043;3005;263
0;044;3145;1058
0;045;15525;4756
0;046;980;164
0;047;7279;1021
0;048;3942;669
0;049;664;439
0;050;725;334
0;051;1327;778
0;052;2722;726
0;053;14964;2166
0;054;6511;338
0;055;2762;1057
0;056;864;276
0;057;8874;674
0;058;16443;1344
0;070;483;325
0;073;10699;4238
0;080;662;433
0;082;2737;675
0;089;1872;1821
0;090;243;225
0;091;618;566
0;092;3540;3355
0;093;6068;4332
0;095;807;545
0;097;7364;1862
0;098;13830;8986
0;110;1729;858
0;111;5640;408
0;113;15315;8950
0;114;4266;2609
0;115;47738;1834
0;120;2433;2349
0;121;4400;2870
0;130;1211;1191
0;131;778;718
0;132;130;61
0;133;1207;622
0;134;5187;1874
0;135;2988;975
0;136;7788;3202
0;137;7459;7037
0;138;10413;3964
0;139;30560;29401
0;140;27263;19726
0;141;5856;2176
0;142;1822;916
0;143;5764;1984
0;144;24523;10087
0;160;107;104
0;161;1871;1689
0;162;995;974
0;163;3961;3901
0;165;1936;1924
0;166;3447;3390
0;167;635;491
0;169;2348;2230
0;170;451;408
0;171;7174;6418
0;173;21271;13266
0;174;7754;1124
0;175;23416;2080
0;176;2667;2271
0;177;934;782
0;180;3305;679
0;190;7654;1798
0;191;12545;1407
0;192;18943;431
0;193;225;210
0;194;21784;9005
0;196;822;243
0;197;5858;1761
0;198;5282;597
0;199;2623;283
0;200;1154;314
0;201;19563;2832
0;203;5145;331
0;204;9715;1282
0;205;316;60
0;206;924;430
0;207;5069;1129
0;220;3328;3052
0;221;16961;16574
0;222;2254;1545
0;223;2994;2598
0;224;1718;1243
0;225;12785;11804
0;226;7376;2478
0;227;6641;5761
0;228;16886;14295
0;229;2434;1715
0;240;6728;2170
0;241;8584;1914
0;242;876;397
0;243;7619;1221
0;244;9490;6459
0;245;3058;1531
0;246;1570;872
0;247;8897;2394
0;248;5410;3982
0;249;25985;6439
0;251;6507;948
0;252;1972;811
0;253;2499;632
0;254;23530;4548
0;260;2318;2077
0;261;492;443
0;262;842;757
0;263;18889;13723
0;264;1022;718
0;279;1532;868
0;280;3659;1606
0;281;4831;1965
0;282;6667;2264
0;283;3137;802
0;284;11043;7774
0;301;27609;27190
0;302;23755;23438
0;303;269;267
0;304;9471;9246
0;305;917;858
0;308;10417;9999
0;309;2670;2144
0;310;18582;16626
0;312;330;269
0;313;21282;17568
0;314;16420;13727
0;315;35330;26591
0;316;5320;3741
0;317;6707;3949
0;320;8080;5076
0;321;7260;6969
0;340;1468;487
0;341;3757;1375
0;342;8528;1814
0;343;2061;789
0;344;1266;1109
0;346;3606;961
0;347;20813;3799
0;349;2231;752
0;351;12464;3798
0;361;3256;1837
0;362;6289;3558
0;363;13108;8256
0;364;9123;5950
0;380;2164;1542
0;381;1237;476
0;382;1135;428
0;383;11346;10689
0;384;8093;2657
0;385;4686;1675
0;401;599;533
0;403;12519;11780
0;404;7069;2018
0;405;631;389
0;420;10916;1952
0;421;5943;1199
0;422;4083;1596
0;423;449;74
0;424;3211;533
0;425;4727;1797
0;440;423;419
0;441;1088;1077
0;442;1981;1820
0;443;2761;2420
0;444;1707;763
0;445;1743;1404
0;446;16952;12383
0;447;1162;628
0;460;4415;2223
0;461;1442;778
0;462;925;236
0;463;20189;19221
0;465;11652;4307
0;466;2775;1715
0;468;10909;5254
0;480;3941;3755
0;481;1283;946
0;482;7815;6559
0;483;2453;910
0;484;1406;1016
0;500;1008;548
0;501;3968;2924
0;510;1983;1872
0;511;502;399
0;512;764;678
0;513;14368;9547
0;514;7449;6529
0;517;624;171
0;518;2535;1318
0;519;4676;3964
0;530;1082;441
0;531;1053;810
0;532;2250;501
0;540;24664;19945
0;541;330;249
0;542;256;152
0;544;1920;749
0;545;1319;442
0;546;565;282
0;560;90886;28231
0;561;1697;754
0;563;5588;1149
0;564;1042;294
0;565;805;82
0;566;11465;2416
0;580;204;113
