vrai_hop;rdrg;N;moy_gemid
0;001;221;990.76
0;002;178;2591.21
0;003;879;50.12
0;004;1027;2706.72
0;005;579;310.69
0;006;8;306.58
0;020;822;393.4
0;021;3965;880.03
0;022;886;1270.82
0;023;1714;1995.42
0;024;4440;1493.17
0;026;3152;1970.02
0;040;439;43.91
0;041;2882;12.53
0;042;11646;4.21
0;043;3005;4.98
0;044;3145;37.05
0;045;15525;8.18
0;046;980;11.73
0;047;7279;2.33
0;048;3942;5.03
0;049;664;7.75
0;050;725;6.56
0;051;1327;0.27
0;052;2722;6.08
0;053;14964;1.43
0;054;6511;0.32
0;055;2762;7.94
0;056;864;4.81
0;057;8874;0.45
0;058;16443;14.82
0;070;483;137.64
0;073;10699;244.76
0;080;662;1.77
0;082;2737;5.33
0;089;1872;713.75
0;090;243;597.05
0;091;618;6786.98
0;092;3540;281.9
0;093;6068;81.81
0;095;807;15.57
0;097;7364;2.98
0;098;13830;56.85
0;110;1729;52.67
0;111;5640;0.52
0;113;15315;2.33
0;114;4266;11.72
0;115;47738;1.82
0;120;2433;1102.83
0;121;4400;414.45
0;130;1211;59.41
0;131;778;20.81
0;132;130;2.29
0;133;1207;16.41
0;134;5187;7.63
0;135;2988;14.5
0;136;7788;37.08
0;137;7459;12.79
0;138;10413;0.22
0;139;30560;5.41
0;140;27263;6.03
0;141;5856;0.89
0;142;1822;15.76
0;143;5764;35.46
0;144;24523;3.44
0;160;107;2684.49
0;161;1871;12071.96
0;162;995;4438.12
0;163;3961;4199.36
0;165;1936;1687.57
0;166;3447;1398.19
0;167;635;2604.69
0;169;2348;1399.75
0;170;451;4465.85
0;171;7174;4408.64
0;173;21271;1418.36
0;174;7754;1869.57
0;175;23416;2173.47
0;176;2667;4458.23
0;177;934;1448.17
0;180;3305;76.36
0;190;7654;59.99
0;191;12545;118.45
0;192;18943;65.73
0;193;225;46.47
0;194;21784;14.06
0;196;822;57.72
0;197;5858;71.06
0;198;5282;35.72
0;199;2623;9.13
0;200;1154;66.99
0;201;19563;41.83
0;203;5145;1.19
0;204;9715;6.01
0;205;316;7.87
0;206;924;113.35
0;207;5069;45.58
0;220;3328;678.72
0;221;16961;966.21
0;222;2254;258.19
0;223;2994;294.36
0;224;1718;126.89
0;225;12785;185.76
0;226;7376;100.04
0;227;6641;596.54
0;228;16886;451.88
0;229;2434;308.63
0;240;6728;134.3
0;241;8584;16.69
0;242;876;47.26
0;243;7619;42.52
0;244;9490;5.88
0;245;3058;8.47
