vrai_hop;rdrg;SI;N;moy_gemid
0;001;1;2;279.82
0;001;2;17;548.96
0;001;3;68;646.58
0;001;4;152;967.39
0;002;1;1;698.23
0;002;2;10;2107.31
0;002;3;27;2535.78
0;002;4;130;2282.73
0;003;1;101;290.83
0;003;2;171;102.08
0;003;3;369;74.56
0;003;4;284;50.69
0;004;1;13;579.53
0;004;2;52;724.43
0;004;3;219;768.25
0;004;4;1840;1274.53
0;005;1;32;241.6
0;005;2;126;318.06
0;005;3;117;332.39
0;005;4;171;370.94
0;020;1;157;234.87
0;020;2;225;258.39
0;020;3;184;307.99
0;020;4;296;477.34
0;021;1;1214;881.68
0;021;2;1964;2859.96
0;021;3;746;2119.77
0;021;4;719;1953.49
0;022;1;139;1095.89
0;022;2;336;971.46
0;022;3;120;735.68
0;022;4;112;1084.52
0;023;1;671;1247.31
0;023;2;374;605.19
0;023;3;195;1692.33
0;023;4;74;1713.36
0;024;1;1022;244.27
0;024;2;2262;147.69
0;024;3;599;327.59
0;024;4;99;696.52
0;025;1;1900;351.92
0;025;2;277;1278.16
0;025;3;43;1307.43
0;025;4;6;0
0;026;1;547;517.52
0;026;2;406;2061.08
0;026;3;218;2327.89
0;026;4;91;2422.04
0;040;1;161;3.85
0;040;2;211;23.15
0;040;3;136;87.73
0;040;4;51;31.93
0;041;1;316;7.69
0;041;2;1244;6.76
0;041;3;1077;12.13
0;041;4;199;31.22
0;042;1;2050;3.45
0;042;2;5943;4.54
0;042;3;3488;5.38
0;042;4;507;25.6
0;043;1;1055;0.37
0;043;2;641;1.43
0;043;3;156;10.12
0;043;4;21;36.52
0;044;1;328;5.35
0;044;2;1002;1.5
0;044;3;1292;21.5
0;044;4;497;72.73
0;045;1;785;3.43
0;045;2;7910;1.95
0;045;3;4235;6.71
0;045;4;1981;28.91
0;046;1;154;4.13
0;046;2;598;11.31
0;046;3;207;32.78
0;046;4;44;6.17
0;047;1;1451;2.09
0;047;2;4437;0.9
0;047;3;1146;5.31
0;047;4;96;26.09
0;048;1;1209;1.29
0;048;2;1197;4.61
0;048;3;2293;3.2
0;048;4;103;27.82
0;049;1;131;0.05
0;049;2;326;0.36
0;049;3;128;6.8
0;049;4;111;22.28
0;050;1;168;1.89
0;050;2;296;1.55
0;050;3;141;4.06
0;050;4;65;19.42
0;051;1;626;0.01
0;051;2;219;0.17
0;051;3;38;0.63
0;051;4;17;23.92
0;052;1;868;0.91
0;052;2;789;0.88
0;052;3;781;3.7
0;052;4;221;16.93
0;053;1;6911;0.14
0;053;2;4878;0.61
0;053;3;2491;3.32
0;053;4;478;18.52
0;054;1;3472;0.14
0;054;2;1819;1.29
0;054;3;189;6.63
0;054;4;15;51.14
0;055;1;763;1.66
0;055;2;919;4.78
0;055;3;580;6.97
0;055;4;289;23.95
0;056;1;917;0.35
0;056;2;532;3.13
0;056;3;208;6.51
0;056;4;45;47.48
0;057;1;7064;0.16
0;057;2;1098;1.75
0;057;3;157;1.69
0;057;4;29;19.89
