vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3538;45926108;25553380;29811314;3812233;10544716
0;01;118860;299632367;27720647;95594807;5639905;47236220
0;02;18818;20237895;1378312;13946463;219114;6801783
0;03;61947;61946932;7398859;34612682;868913;17461954
0;04;119885;327610693;52449984;82114820;8584819;42453486
0;05;200116;413485746;63428097;249447005;13338323;210160198
0;06;174327;321616987;52971596;112835193;7529344;62062975
0;07;46277;106914309;21326110;39846717;3096771;20933807
0;08;211591;504677417;40909401;184865736;5631482;166593910
0;09;51878;100324140;9961582;31576361;1307516;15252377
0;10;47133;93199678;9113698;29260327;2082361;17662241
0;11;65267;123260575;17068616;42752218;2849594;21787631
0;12;25824;45335010;5399280;21048423;598743;10903529
0;13;46290;64926902;7073270;30705705;740622;16335890
0;14;129242;195058931;8317283;72030993;2754080;29971709
0;15;6818;24857854;1260844;9025001;661622;2708025
0;16;14472;30798177;10197361;6766398;957864;7597041
0;17;38352;71150758;46180954;14024974;2094573;18676178
0;18;17198;46323931;11474094;10329774;1548428;7034656
0;19;32709;99664921;3414075;15611628;1126956;11300683
0;20;13279;26205014;967427;4845832;506709;3563603
0;21;24442;40231374;5039667;10582277;1047895;7326663
0;22;1137;7710428;873497;1033322;159726;577776
0;23;42178;82772863;5758786;19142511;1118199;14090338
0;24;829;3624419;1059243;594130;108612;443326
0;25;1701;9960491;2066378;4508605;358898;2044497
0;FF;12764;63437853;9402497;18460920;1392796;11205745
