vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;466;2;2178447;384.86;605.71;1163.48;2038.3;5196.24
0;466;3;2444040;384.86;886.76;2098.56;4518.93;10123.68
0;466;4;1022900;373.35;2336.39;5033.61;8708.18;19197.42
0;467;1;1299398;345.56;511.23;832.72;1331.67;2916.15
0;467;2;3491463;359.42;788.84;1503.64;2585.03;6662.81
0;467;3;2846261;648.98;1927.45;3610.33;6415.53;13452.78
0;467;4;681154;1164.99;3565.52;5668.82;10092.39;20743.66
0;468;1;1885076;340.21;569.18;774.7;1186.92;2884.88
0;468;2;6700052;372.48;749.94;1293.63;2597.14;6379.06
0;468;3;7109525;421.39;1245.51;2690.66;5241.74;12269.52
0;468;4;1805456;959.28;4089.84;7024.87;10344.9;23738.4
0;480;1;8984221;1108.02;1872.7;2660.7;3421.35;5164.32
0;480;2;4572279;1524.56;2275.56;2892.24;3995.01;7719.18
0;480;3;699896;2038.3;2922.36;4338.62;6661.76;12872.81
0;480;4;392213;3844.4;7910.84;12681.51;23511.6;35486.14
0;481;1;1437443;356.57;683.95;1186.92;1951.23;4233.88
0;481;2;544562;618.17;1018.18;1582.95;2554.84;5214.51
0;481;3;275934;1163.48;2154.05;4380.93;7464;17388.15
0;481;4;23036;3037.5;3037.5;5520.64;14478.24;14478.24
0;482;1;7758082;748.82;1159.77;1446.12;1825.45;3107.52
0;482;2;6885883;959.28;1342.96;1782.76;2595.92;5410.8
0;482;3;2290567;1177.56;2101.97;3612.75;6627.67;16270.16
0;482;4;1159438;2483.68;5331.37;9003.97;17201.65;34106.9
0;483;1;1729835;335.74;397.18;667.26;832.72;1533.69
0;483;2;674757;343.6;648.98;838.8;1276.26;4749.36
0;483;3;258886;648.98;1084.59;2067.12;7801.13;19430.27
0;483;4;413951;334.1;7696.24;14106.93;43290.29;104031.67
0;484;1;957108;343.6;429.02;824.62;2064.78;3598.6
0;484;2;1233147;347.61;689.66;786.06;1192.32;3757.32
0;484;3;686790;380.83;727.1;1072.1;2848.23;8340.78
0;484;4;109857;2893.95;7188.4;8153.2;23192.4;41003.48
0;500;1;175466;348.43;399.55;730.18;1092.54;2559
0;500;2;1835910;392.28;867.06;2255.46;4678.18;11567.14
0;500;3;1950210;711.98;2280.9;4189.13;7377.6;20071.82
0;500;4;764868;1992.48;4444.2;7897.28;13532.76;25527.81
0;501;1;2166656;345.56;587.56;1010.73;1514.36;2613.45
0;501;2;3157657;374.54;1045.29;1635.6;2595.92;6134.76
0;501;3;2066785;729.56;1810.86;3238.74;5926.76;13294.44
0;501;4;733034;1286.2;4367.9;7699.68;12471.36;26854.46
0;510;1;2391018;904.89;1564.08;2075.85;2830.14;4824.45
0;510;2;2977856;1292.43;2154.12;3179.52;4584.14;7341.4
0;510;3;878986;2228.45;3681.7;5304.77;7240.42;14707.77
0;510;4;1380947;3495.92;5874.52;7691.71;13359.36;36895.24
0;511;1;251381;431.08;1254.41;1850.73;2643.69;4681.49
0;511;2;1052431;711.98;1721.07;3106.36;4845.06;7909
0;511;3;737947;1285.46;3838.5;5971.2;8744;19516.28
0;511;4;325914;5790.03;6958.62;10723.86;18663.36;33364.44
0;512;1;885680;768.88;1447.32;1944.86;2663.34;3877.29
0;512;2;911148;853;1735.37;2494.59;3486.64;6515.5
0;512;3;344182;1598.8;3537.05;5899.46;7737.75;20432.82
0;512;4;232042;2163.66;7778.31;12991.02;18240.75;34938.54
0;513;1;21764198;388.33;830.34;1285.46;1780.38;2751.21
0;513;2;8809737;441.59;1109.19;1630.64;2317.74;4001.52
0;513;3;852004;787;1807.65;2967.7;4894.89;8777.37
0;513;4;377388;1584.44;4659.96;6354.04;9788.57;20960.43
0;514;1;7743607;348.43;679.32;834.96;1329.85;2326.96
0;514;2;2137871;388.33;779.35;1196.56;1797.5;3343.76
0;514;3;324627;598.28;1249.08;1665.44;2758.5;7995.03
0;514;4;66198;1912.25;5085.22;6432.6;8270.55;15780.5
0;515;1;1182180;342.24;417.97;738.58;1176.84;2756.85
0;515;2;816216;352.29;718.04;1249.08;2876.58;8355.67
0;515;3;477776;593.46;1790.95;5026.28;12566.52;33760.3
0;515;4;156904;5341.14;11921.02;16252.05;23669.01;47878.74
0;516;1;597438;337.04;408.26;712.12;883.18;1632.44
0;516;2;461454;359.02;704.58;1186.92;1980.55;4328.64
0;516;3;179085;581.74;1358.64;3670.7;6270.96;13011.79
0;516;4;51007;4189.13;5262.52;8130.22;11703.16;13591.55
0;517;1;587172;329.19;392.28;664.16;833.48;1538.76
0;517;2;386154;343.27;527.65;771.98;1276.26;5289.57
0;517;3;288544;581.74;1163.48;3396.6;8018.4;21347.97
0;517;4;194951;1968.66;8318.31;13758.81;27238.4;53302.59
0;518;1;694911;374.41;744.96;1072.1;1618.72;3490.44
0;518;2;791677;551.37;1166.46;2021.33;3003.14;6415.53
0;518;3;529921;1084.59;3032.37;4642.31;9000.38;20002.73
0;518;4;309280;4981.2;6796.46;14464.28;17452.2;24539.04
0;530;1;163465;342.79;427.06;1055.3;1598.8;3420.9
0;530;2;1046473;399.55;809.36;1567.08;3264.88;8633.52
0;530;3;2515904;705.58;1550.08;3736.53;7255.17;19173.28
0;530;4;1023773;821.88;4119.4;8658.45;16036.8;29986.32
0;531;1;866160;358.19;792.22;1297.96;1948.77;3006.9
0;531;2;532448;604.84;1090.65;1846.45;2908.7;5461.25
0;531;3;252120;649.59;2089.85;3436;5491.92;18449.76
0;531;4;72116;1490.6;2386.39;4779.13;7920.63;17803.8
0;532;1;1102862;332.39;390.74;605.71;1035.84;2418.39
0;532;2;737414;333.78;593.46;1093.66;2076.34;6270.93
0;532;3;356977;527.65;1207.24;2219.45;4904.35;15590.16
0;532;4;97062;593.46;1632.44;5851.58;9104.5;43068.57
0;540;1;25753555;1508.15;1987.2;2309.58;2649.54;3516.66
0;540;2;27622155;1564.08;2075.85;2479.96;2935.8;4547.13
0;540;3;14048065;1660.4;2384.13;3028.55;4357.21;11043.03
0;540;4;815274;1966.74;3494.97;4781.71;6698.6;15429.96
0;541;1;120826;406.89;1350;1684.5;1960.56;2564.04
0;541;2;341281;739.46;1533.96;1953.7;2252.4;3893.88
0;541;3;331689;983.28;1701.05;2117.25;2991.4;8690.25
0;541;4;68638;2405.2;4076.99;5967.3;8703.73;28736.42
0;542;1;358284;1045.77;1777.68;1787.63;2222.1;2666.52
0;542;2;447539;1084.59;1667.3;1961.4;2222.1;3107.23
0;542;3;319988;666.92;1782.76;2340.32;3323.75;10498.14
0;542;4;64960;807.8;3040.8;4077.46;7353.19;23274.75
0;543;1;190595;332.39;369.73;441.59;850.84;2553.54
0;543;2;192149;333.63;669.86;1012.5;1724.15;4618.88
0;543;3;104086;343.36;1166.46;1998.52;3024.2;4786.24
0;543;4;89647;327.79;1444.69;4266.42;9447.79;25403.28
0;544;1;834782;329.19;381.14;429.02;726.58;1272.36
0;544;2;344570;332.39;419.4;689.66;1187.34;2650.56
0;544;3;64779;321.25;583.23;1220.67;2207.95;4298.14
0;560;1;79182950;919.5;1422.84;1708.24;2023.4;2595.92
0;560;2;80548008;1026.72;1514.36;1803.6;2167.65;3163.65
0;560;3;19084629;1154.58;1718;2106.95;2796.43;4769.28
0;560;4;237590;1297.96;2216.9;3313.2;4638.48;13961.76
0;561;1;1331074;365.09;813.78;1598.8;2219.45;3464.16
0;561;2;1166103;361.76;774.11;1371.16;2249.27;3882.69
0;561;3;311908;417.48;1362.36;2353.38;3547.04;7121.52
0;561;4;28679;671.48;2075.85;3729;7787.76;10686.06
0;562;1;900622;336.91;399.55;679.87;891.38;1732.08
0;562;2;283996;368.88;664.16;842.78;1299.18;2213.28
0;562;3;63315;691.12;1089.87;1553.32;1987.92;3589.68
0;562;4;5272;792.22;792.22;1946.94;2532.81;2532.81
0;563;1;7339759;340.59;441.59;1035.9;1633.04;4703.79
0;563;2;3675218;352.29;850.84;1543.96;2826.08;10682.28
0;563;3;1186197;397.44;1198.65;2075.85;3843.54;13641.39
0;563;4;45763;3584;5327.01;11978.99;17554.59;18221.22
0;564;1;592817;334.1;390.74;445.69;794.88;1438
0;564;2;362384;349.76;444.42;854.12;1333.26;3451.28
0;564;3;141635;396.11;907.72;1333.26;2559;6065.07
0;564;4;12479;12479.32;12479.32;12479.32;12479.32;12479.32
0;565;1;391532;307.97;359.5;402.75;441.59;891.38
0;565;2;44980;326.76;340.59;396.95;431.08;891.38
