vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3293;78925528;24232360;42633825;4878901;17274050
0;01;116492;468302995;29111589;112196378;6607990;70072383
0;02;15622;20135870;977606;15900168;177913;7764173
0;03;104642;118249557;7253708;56273301;1287218;33154794
0;04;145662;563546735;41512858;110630585;10997110;63368923
0;05;201941;569257509;42887701;290138881;14371115;284292151
0;06;184318;478712845;46010213;143154786;8740746;97882425
0;07;52985;165303949;17094489;52348339;3848282;32513097
0;08;244637;824958239;40882862;270991756;7398650;282835135
0;09;59487;166276603;9532540;49565154;1820464;23666601
0;10;49504;139643676;8440193;43447336;2563807;32443446
0;11;77948;209178821;17095634;60000903;3879698;34380554
0;12;22772;52340986;4340672;21865207;578632;12681659
0;13;39732;71010076;4531333;33178844;652621;19724024
0;14;145067;295191174;10095495;106079931;3232201;41886620
0;15;4883;53619597;1897878;18185378;972111;4482906
0;16;16294;52859844;11159995;9792808;1316151;11410966
0;17;38851;108360700;51790078;21530051;2696123;24842273
0;18;29156;118144728;14441274;22566650;3210559;15389549
0;19;23006;108173702;1862386;13260411;892232;10109936
0;20;12333;40758636;866075;5523494;535455;4441408
0;21;25397;63473394;4536154;13005174;1255782;11279708
0;22;1028;12097561;496306;1090761;170408;733343
0;23;58737;155166973;7197121;29894683;1607840;24872700
0;24;803;5796986;1805079;772790;140873;549357
0;25;2062;20187919;1862511;6081370;515120;3847358
0;FF;11752;100131507;8732387;24504104;1832355;17226537
