vrai_hop;rdrg;SI;N;moy_gemid
0;001;2;40;231.28
0;001;3;94;365.19
0;001;4;99;780.68
0;002;1;2;2863.63
0;002;2;5;889.25
0;002;3;70;2210.11
0;002;4;118;4383.5
0;003;1;244;48.84
0;003;2;441;31.05
0;003;3;146;22.8
0;003;4;125;100.18
0;004;1;9;2073.92
0;004;2;42;1437.78
0;004;3;228;2226.66
0;004;4;1119;3247.74
0;005;2;7;59.21
0;005;3;73;175.08
0;005;4;244;295.78
0;006;2;3;248.16
0;006;3;4;59.49
0;006;4;4;427.44
0;020;1;180;618.59
0;020;2;114;330.98
0;020;3;211;405.1
0;020;4;218;653.2
0;021;1;1078;1659.88
0;021;2;1638;1069.81
0;021;3;1249;1127.4
0;021;4;748;2291.77
0;022;1;222;1414.38
0;022;2;191;1268.35
0;022;3;77;1590.37
0;022;4;27;2030.37
0;023;1;714;1495.52
0;023;2;413;711.02
0;023;3;180;1096.05
0;023;4;53;932.58
0;024;1;1874;2602.09
0;024;2;1724;2286.75
0;024;3;1506;4585.38
0;024;4;305;5669.78
0;026;1;1782;1951.32
0;026;2;751;3004.24
0;026;3;304;2635.32
0;026;4;79;1624.3
0;040;1;115;100.96
0;040;2;168;5.36
0;040;3;88;43.62
0;040;4;18;50.09
0;041;1;265;13.07
0;041;2;987;7.75
0;041;3;1244;10.9
0;041;4;264;12.27
0;042;1;1911;2.13
0;042;2;5567;3.64
0;042;3;3115;7.92
0;042;4;363;27.2
0;043;1;1989;0.64
0;043;2;1028;2.84
0;043;3;153;21
0;043;4;21;49.81
0;044;1;441;19.84
0;044;2;756;4.34
0;044;3;1389;29.74
0;044;4;461;47.51
0;045;1;1654;7.47
0;045;2;7857;19.93
0;045;3;4201;62.05
0;045;4;911;64.38
0;046;1;125;13.34
0;046;2;309;0.98
0;046;3;126;3.5
0;046;4;9;0
0;047;1;2682;2.13
0;047;2;3749;2.59
0;047;3;923;3.93
0;047;4;90;27.66
0;048;1;1476;4.02
0;048;2;1449;3.04
0;048;3;1031;6.31
0;048;4;75;22.43
0;049;1;101;5.4
0;049;2;334;1.46
0;049;3;159;8.94
0;049;4;66;31.94
0;050;1;233;0.92
0;050;2;464;1.01
0;050;3;243;3.47
0;050;4;61;24.39
0;051;1;690;0.02
0;051;2;340;1.79
0;051;3;46;0.9
0;051;4;8;9.83
0;052;1;1051;1.06
0;052;2;602;1.13
0;052;3;747;7.06
0;052;4;135;80.33
0;053;1;7165;0.35
0;053;2;5555;0.43
0;053;3;3017;4.48
0;053;4;530;19.38
0;054;1;4464;0.15
0;054;2;1869;0.74
0;054;3;191;8.87
0;054;4;12;73.72
0;055;1;1036;4.74
0;055;2;1504;4.37
0;055;3;805;20.11
0;055;4;195;26.58
0;056;1;118;2.02
0;056;2;118;1.08
0;056;3;50;16.24
0;056;4;9;53.73
0;057;1;5973;0.17
0;057;2;1528;2.51
0;057;3;262;17.88
0;057;4;34;28.41
0;058;1;11108;8.79
0;058;2;5288;8.27
0;058;3;1881;6.15
0;058;4;289;29.24
0;070;1;307;136.34
0;070;2;184;258.68
0;070;3;28;724.76
0;070;4;5;347.32
0;073;1;7796;266.04
0;073;2;2405;245.28
0;073;3;177;214.83
0;073;4;8;627.86
0;080;1;196;10.37
0;080;2;340;3.61
0;080;3;90;13.28
0;080;4;7;60.4
0;082;1;1179;2.87
0;082;2;1201;1.38
0;082;3;328;2.27
0;082;4;35;14.96
0;089;1;1098;359.77
0;089;2;465;468.27
