vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;001;1;1;1;910.57;910.57;910.57;910.57;910.57;910.57
0;001;2;4;4;8511.36;1595.02;1626.55;1719.46;2629.12;3477.42
0;001;3;33;33;133952.51;1270.11;1957.29;2593.88;3797.38;13072.27
0;001;4;163;163;1480851.19;1582.78;2949.85;5287.68;12213.54;32858.71
0;002;1;1;1;1784.46;1784.46;1784.46;1784.46;1784.46;1784.46
0;002;2;5;5;22231.97;2284.61;2697.64;4045.13;6403.02;6801.57
0;002;3;27;27;142818.38;1552.04;3680.39;5310.28;6482.65;9981.4
0;002;4;80;80;907861.76;3223.28;5133.7;8162.2;14838.73;29171.25
0;003;1;43;42;157436.43;13.22;75.04;2077.27;6969.24;11877.63
0;003;2;88;88;394731.98;81.44;1527.39;3747.94;6103.32;12509.33
0;003;3;173;172;1130027.27;1523.29;3509.8;5264.16;7862.38;15780.22
0;003;4;342;341;4012457.43;2251.72;4735.99;7464.86;14148.88;33260.25
0;004;1;16;15;14298.63;1.06;68.64;254.59;936.01;4353.96
0;004;2;59;59;86862.1;37.43;322.13;568.01;1653.16;7024.09
0;004;3;214;214;649335.6;243.32;1251.77;2521.98;4323.19;7835.21
0;004;4;2034;2034;17436065.19;1505.03;3725.63;6276.55;10498.11;23256.3
0;005;1;37;37;15506.72;50.18;322.22;402.9;529.76;806.3
0;005;2;126;126;102336.01;113.8;393.81;535.54;928.26;2356.55
0;005;3;130;130;180104.52;183.38;495.5;868.55;1394.35;3747.64
0;005;4;175;175;611579.05;471.14;1132.74;2391.31;4251.36;10668.15
0;020;1;111;111;23157.75;35.2;96.43;164.23;234.83;511.98
0;020;2;151;151;50990.71;54.81;118.01;229.26;417.04;1096.73
0;020;3;184;183;144531.48;111.89;263.92;426.52;1013.12;1935.61
0;020;4;249;249;678197.01;285.36;843.16;1587.03;2905.92;5914.21
0;021;1;1090;1085;386643.29;32.25;122.26;279.72;479.61;907.16
0;021;2;1395;1390;793704.39;77.84;257.32;442.25;664.71;1346.37
0;021;3;817;817;832591.58;181.42;464.16;707.47;1191.29;2598.95
0;021;4;811;811;2282604.88;328.11;953.65;1890.94;3512.6;8878.36
