vrai_hop;rdrg;SI;N;moy_gemid
0;131;4;81;11.34
0;132;1;15;0
0;132;2;28;0
0;132;3;9;0
0;132;4;3;0
0;133;1;898;11.35
0;133;2;652;3.64
0;133;3;1098;8.63
0;133;4;325;26.96
0;134;1;737;0.67
0;134;2;1774;8.95
0;134;3;1156;6.39
0;134;4;298;15.35
0;135;1;618;0.09
0;135;2;563;5.05
0;135;3;239;9.81
0;135;4;44;42.25
0;136;1;1440;9.76
0;136;2;4740;11.37
0;136;3;2795;23.67
0;136;4;344;28.5
0;137;1;790;0.86
0;137;2;1763;1.78
0;137;3;1814;8.34
0;137;4;1063;11.46
0;138;1;278;0
0;138;2;129;0
0;138;3;50;0
0;138;4;16;0
0;139;1;8054;0.16
0;139;2;8762;1.19
0;139;3;5744;4.76
0;139;4;1962;13.23
0;140;1;5571;0.79
0;140;2;9215;2.22
0;140;3;6439;2.33
0;140;4;1853;14.48
0;141;1;7038;0.16
0;141;2;3493;0.47
0;141;3;1243;0.7
0;141;4;207;9.57
0;142;1;262;0.61
0;142;2;585;2.12
0;142;3;356;6.3
0;142;4;87;10.51
0;143;1;825;40.58
0;143;2;1289;29.07
0;143;3;460;33.4
0;143;4;109;61.17
0;144;1;10266;0.49
0;144;2;8623;1.39
0;144;3;3702;4.62
0;144;4;713;15.93
0;160;1;9;1708.36
0;160;2;16;1436.2
0;160;3;22;1507.08
0;160;4;41;1699.92
0;161;1;92;3787.11
0;161;2;137;4855.73
0;161;3;136;6088.66
0;161;4;52;4204.82
0;162;1;24;3879.46
0;162;2;85;3939.64
0;162;3;292;4068.88
0;162;4;255;4649.89
0;163;1;237;3073.23
0;163;2;464;3908.43
0;163;3;880;4034.99
0;163;4;627;4236.96
0;164;3;1;1228.46
0;164;4;1;2645.54
0;165;1;67;1237.88
0;165;2;713;1334.11
0;165;3;1384;1515.3
0;165;4;488;1965.35
0;166;1;316;1207.26
0;166;2;2660;1251.62
0;166;3;1799;1366.68
0;166;4;620;1558.03
0;167;1;215;2146.44
0;167;2;93;2066.44
0;167;3;106;1968.52
0;167;4;45;3450.94
0;168;1;654;737.47
0;168;2;998;875.71
0;168;3;608;976.21
0;168;4;473;1461.89
0;169;1;214;1173.05
0;169;2;305;1396.87
0;169;3;230;1032.68
0;169;4;155;1118.84
0;170;1;22;4500.3
0;170;2;94;5069.53
0;170;3;78;5116.48
0;170;4;27;4237.22
0;171;1;1485;5371.34
0;171;2;1890;5327.8
0;171;3;707;5321.13
0;171;4;121;5068.7
0;172;1;105;97.33
0;172;2;233;186.64
0;172;3;311;371.42
0;172;4;134;352.32
0;173;1;6033;780.03
0;173;2;4701;871.23
0;173;3;1736;800.23
0;173;4;380;944.71
0;174;1;892;2037.27
0;174;2;989;2079.11
0;174;3;319;2205.5
0;174;4;186;2464.32
0;175;1;8333;1508.65
0;175;2;5577;1981.46
0;175;3;1104;1651.02
0;175;4;198;2263.25
0;176;1;927;4203.4
0;176;2;681;4322.31
0;176;3;186;4090.95
0;176;4;23;3015.19
0;177;1;420;3276.99
0;177;2;286;2690.82
0;177;3;96;2486.94
0;177;4;18;3271.53
0;178;1;122;30.46
0;178;2;257;18.17
0;178;3;105;26.95
0;178;4;21;31.28
0;179;1;13661;1.13
0;179;2;560;19.49
0;179;3;31;141.72
0;179;4;8;21.7
0;180;1;309;13.45
0;180;2;315;31.35
0;180;3;221;180.44
0;180;4;86;112
0;190;1;2383;119.65
0;190;2;5245;115.2
0;190;3;1882;64.18
0;190;4;1137;86.42
0;191;1;3038;72.38
0;191;2;1916;53.33
0;191;3;1338;77.61
0;191;4;271;146.25
0;192;1;13319;53.66
0;192;2;7324;51.45
0;192;3;806;57.86
0;192;4;67;140.58
0;193;1;12;0
0;193;2;65;1.59
0;193;3;55;32.93
0;193;4;37;14.54
0;194;1;2054;8.55
0;194;2;7388;6
0;194;3;5044;5.99
0;194;4;1087;31.69
0;195;1;592;1.25
0;195;2;478;2.31
0;195;3;408;4
0;195;4;49;0.04
0;196;1;259;2.83
0;196;2;350;10.93
0;196;3;416;10.3
0;196;4;310;23.49
0;197;1;3945;19.06
0;197;2;4252;29.73
0;197;3;1690;22.89
0;197;4;165;30.64
0;198;1;2253;90.71
0;198;2;2464;63.52
0;198;3;681;42.31
0;198;4;96;89.25
0;199;1;1482;0.83
0;199;2;1776;5.78
0;199;3;500;4.6
0;199;4;29;155.63
0;200;1;386;78.1
0;200;2;804;18.69
0;200;3;384;10.58
0;200;4;62;22.02
0;201;1;6531;11.05
0;201;2;7346;14.99
0;201;3;2785;19.38
0;201;4;441;24.18
0;202;1;4573;96.14
0;202;2;3746;49.94
0;202;3;948;34.01
0;202;4;89;39.23
0;203;1;2784;5.14
0;203;2;1811;2.72
0;203;3;251;25.83
0;203;4;21;0
0;204;1;3545;1.01
0;204;2;3097;4.93
0;204;3;772;0.54
0;204;4;54;4.13
0;205;1;191;16.82
0;205;2;494;3.03
0;205;3;266;3.72
0;205;4;69;112.11
0;206;1;204;29.5
0;206;2;344;53.38
0;206;3;222;16.33
0;206;4;89;112.38
0;207;1;2748;47.86
0;207;2;1744;41.39
0;207;3;751;27.46
0;207;4;189;19.43
0;220;1;2662;197.72
0;220;2;975;176.79
0;220;3;1045;327.06
0;220;4;536;388.98
0;221;1;2706;164.82
0;221;2;4610;151.36
0;221;3;3237;175.96
0;221;4;1324;197.54
0;222;1;446;5.75
0;222;2;180;20.4
0;222;3;69;71.64
0;222;4;31;32
0;223;1;617;62.25
0;223;2;394;76.78
0;223;3;143;113.61
0;223;4;52;214.21
0;224;1;893;33.84
0;224;2;360;39.32
0;224;3;187;25.77
0;224;4;63;162.82
0;225;1;9479;91.13
0;225;2;3224;81.87
0;225;3;429;102.56
0;225;4;56;102.97
0;226;1;8947;1.93
0;226;2;1014;16.53
0;226;3;167;27.19
0;226;4;33;65.23
0;227;1;6187;46.93
0;227;2;1797;69.14
0;227;3;276;69.16
0;227;4;52;112.1
0;228;1;15938;63.08
0;228;2;2855;74.53
0;228;3;323;82.23
0;228;4;52;211.87
0;229;1;1171;30.33
0;229;2;702;42.84
0;229;3;415;56.05
0;229;4;240;135.68
0;240;1;1419;11.25
0;240;2;3024;15.53
0;240;3;1591;30.29
0;240;4;239;21.4
0;241;1;3491;0.82
0;241;2;4363;0.75
0;241;3;1662;2.91
0;241;4;347;40.5
0;242;1;238;0
0;242;2;339;1.58
