vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;001;1;A;1;18.95;18.95;18.95;18.95;18.95;18.95
0;-p;001;1;B;1;389.77;389.77;389.77;389.77;389.77;389.77
0;-p;001;1;H;1;3.06;3.06;3.06;3.06;3.06;3.06
0;-p;001;1;J;1;49.21;49.21;49.21;49.21;49.21;49.21
0;-p;001;1;L;1;106.96;106.96;106.96;106.96;106.96;106.96
0;-p;001;1;M;1;17.94;17.94;17.94;17.94;17.94;17.94
0;-p;001;1;N;1;177.57;177.57;177.57;177.57;177.57;177.57
0;-p;001;1;R;1;5.22;5.22;5.22;5.22;5.22;5.22
0;-p;001;2;A;1;7.2;7.2;7.2;7.2;7.2;7.2
0;-p;001;2;B;1;1963.84;1963.84;1963.84;1963.84;1963.84;1963.84
0;-p;001;2;C;1;15;15;15;15;15;15
0;-p;001;2;H;1;189.32;189.32;189.32;189.32;189.32;189.32
0;-p;001;2;J;1;32.55;32.55;32.55;32.55;32.55;32.55
0;-p;001;2;L;1;5897.66;5897.66;5897.66;5897.66;5897.66;5897.66
0;-p;001;2;M;1;9.36;9.36;9.36;9.36;9.36;9.36
0;-p;001;2;N;1;134.68;134.68;134.68;134.68;134.68;134.68
0;-p;001;3;A;28;1209.3;10.94;29.4;38.8;47.88;94.04
0;-p;001;3;B;28;27321.02;80.46;253.43;650.76;949.41;4066.37
0;-p;001;3;C;26;1593.66;1.33;6.85;12.81;33.04;259.08
0;-p;001;3;D;9;79.32;0.64;2.33;9.03;10.2;25.5
0;-p;001;3;G;1;0.15;0.15;0.15;0.15;0.15;0.15
0;-p;001;3;H;27;3635.99;19.17;22.6;49.2;178.26;653.8
0;-p;001;3;J;28;72443.73;71.11;337.88;603.96;2055.75;17075.35
0;-p;001;3;L;26;12715.77;19.85;186.12;363.12;680.7;1288.91
0;-p;001;3;M;26;1241.27;6.53;18.68;34.82;56.04;198.25
0;-p;001;3;N;28;6308.31;26.38;85.66;129.51;305.78;710.46
0;-p;001;3;R;10;306.37;0.44;1.94;6.82;30.92;121.72
0;-p;001;3;S;2;7.34;3.64;3.64;3.67;3.7;3.7
0;-p;001;3;V;14;1992.57;1.19;11.27;62.62;291.42;508.11
0;-p;001;4;A;143;14160.15;18.96;39.37;61.28;122.13;274.12
0;-p;001;4;B;143;452097.87;462.5;912.58;1916.69;3966.15;9580.06
0;-p;001;4;C;139;15615.84;1;13.61;44.4;154.11;471.31
0;-p;001;4;D;88;1679.98;1.93;4.97;8.6;13;40.37
0;-p;001;4;G;4;30.84;0.16;0.62;6.46;14.8;17.76
0;-p;001;4;H;138;59051.8;11.24;34.63;102.85;226.16;1687.98
0;-p;001;4;J;143;451392.04;165.16;638.59;1322.03;3372.55;11710.31
0;-p;001;4;L;140;126239.86;39.35;225.45;487.21;1036.89;3080.75
0;-p;001;4;M;142;8311.85;6.79;22.96;40.65;65.4;158.78
0;-p;001;4;N;143;56681.55;58.44;128.88;247.55;471.63;1194.31
0;-p;001;4;P;7;204.3;10.56;11.8;12.42;21.1;124.2
0;-p;001;4;R;96;2524.57;0.4;2.62;7.42;31.52;138.83
0;-p;001;4;S;7;29.54;0.88;1.82;1.84;3.46;17.3
0;-p;001;4;V;123;21143.86;2.37;19.25;98.2;243.87;514.56
0;-p;002;2;A;1;71.6;71.6;71.6;71.6;71.6;71.6
0;-p;002;2;B;1;507.22;507.22;507.22;507.22;507.22;507.22
0;-p;002;2;C;1;34.04;34.04;34.04;34.04;34.04;34.04
0;-p;002;2;H;1;143.48;143.48;143.48;143.48;143.48;143.48
0;-p;002;2;J;1;332.74;332.74;332.74;332.74;332.74;332.74
0;-p;002;2;L;1;1415.62;1415.62;1415.62;1415.62;1415.62;1415.62
0;-p;002;2;M;1;45.84;45.84;45.84;45.84;45.84;45.84
0;-p;002;2;N;1;205.2;205.2;205.2;205.2;205.2;205.2
0;-p;002;2;R;1;6.4;6.4;6.4;6.4;6.4;6.4
0;-p;002;2;V;1;138.6;138.6;138.6;138.6;138.6;138.6
0;-p;002;3;A;14;693.9;5.54;17.8;36.28;66.57;151.8
0;-p;002;3;B;15;10366.73;159.24;487.57;599.53;979.62;1079.9
0;-p;002;3;C;15;1899.67;5.12;14.64;39.27;220.24;505.24
0;-p;002;3;D;2;9.94;4.97;4.97;4.97;4.97;4.97
0;-p;002;3;H;15;2769.34;34.63;90.36;166.04;282.9;466.64
0;-p;002;3;J;15;38137.81;14.65;140.36;1225.73;3274.3;16265.01
0;-p;002;3;L;15;33664.47;240.88;949.65;2512.42;3305.47;4446.22
0;-p;002;3;M;15;971.47;13.58;37.13;46.72;74.3;273.18
0;-p;002;3;N;15;3317.27;30.07;107.04;202.72;282.92;537.12
0;-p;002;3;R;9;110.27;0.44;1.85;4.36;19.6;39.86
0;-p;002;3;S;3;12.86;2.14;2.14;2.16;8.56;8.56
0;-p;002;3;V;11;2630.65;0.76;131.96;238.97;417.77;485.04
0;-p;002;4;A;122;17823.86;28.77;58.16;89.54;192.55;421.4
0;-p;002;4;B;123;269754.48;385.45;674.03;1167.98;2232.17;7914.44
0;-p;002;4;C;122;38054.35;8.4;35.24;84.14;334.79;1224.41
0;-p;002;4;D;82;1767.9;3.46;4.96;6.9;16.99;91.35
0;-p;002;4;G;4;132.72;0.81;6.33;24.17;60.02;83.56
0;-p;002;4;H;123;25583.54;73.74;112.14;166.05;296.88;459.66
0;-p;002;4;J;123;553804.28;47.96;832.32;2627.98;5418.36;14965.18
0;-p;002;4;L;122;381160.25;1002.57;1807.76;2495.19;3584.57;6946.25
0;-p;002;4;M;122;12014.61;18.68;33.96;53.08;101.88;179.3
0;-p;002;4;N;123;87036.57;124.89;186.27;298.72;605.53;1841.48
0;-p;002;4;P;3;86.9;12.38;12.38;12.42;62.1;62.1
0;-p;002;4;R;97;5776.01;0.8;3.68;10.25;40.16;344.57
0;-p;002;4;S;29;327.6;1.43;3.4;6.37;10.72;50.72
0;-p;002;4;V;109;45617.41;9.72;191.53;346.46;574.12;942.04
0;-p;003;1;A;36;6124.85;0.43;0.92;2.99;283.77;710.76
0;-p;003;1;B;43;14684.79;9.68;19.48;27.57;614.58;1654.76
0;-p;003;1;C;25;1501.68;0.44;0.88;2.07;5.58;13.24
0;-p;003;1;D;1;3.64;3.64;3.64;3.64;3.64;3.64
0;-p;003;1;G;3;14.46;3.89;3.89;5.04;5.53;5.53
0;-p;003;1;H;17;1803.85;2.16;2.16;12.8;39.96;822.65
0;-p;003;1;J;34;51632.11;1.69;8;12.02;2170.38;7083.26
0;-p;003;1;L;17;34461.58;116.89;640.77;1188.83;2074.12;8564.82
0;-p;003;1;M;34;532.47;0.48;0.82;8.49;11.37;19.64
0;-p;003;1;N;39;1863.55;3.03;19.08;43.92;59.8;118.58
0;-p;003;1;P;2;38.24;19.12;19.12;19.12;19.12;19.12
0;-p;003;1;R;14;73.26;0.12;0.27;1.36;3.19;48.52
0;-p;003;1;S;6;24.53;1.82;1.82;2.74;6.37;9.04
0;-p;003;1;V;12;748.35;10.68;21.25;53.03;83.35;200.2
0;-p;003;2;A;62;17438.91;0.89;89.32;209.88;369.15;892
0;-p;003;2;B;70;35331.27;7.79;54.04;309.82;757.48;1619.46
0;-p;003;2;C;39;2099.89;0.64;1.88;4.32;10.08;752.38
0;-p;003;2;D;5;179.73;3.32;3.63;3.63;7;162.15
0;-p;003;2;G;7;25.94;1.07;1.56;2.34;5.92;9.16
0;-p;003;2;H;44;1618.86;2.12;4.3;10.28;19.86;96.2
0;-p;003;2;J;64;151390.26;3.09;171.73;1776.03;2538.44;8085.7
0;-p;003;2;L;50;79154.1;44.82;575.27;1326.48;2262;4725.73
0;-p;003;2;M;49;1642.85;0.2;0.6;1.95;9.36;285.24
0;-p;003;2;N;63;2538.45;2.14;9.88;22.05;52.04;148.56
0;-p;003;2;P;14;522.95;17.32;19.12;19.12;38.24;180.58
0;-p;003;2;R;35;246.81;0.12;0.59;1.99;3.88;44.04
0;-p;003;2;S;8;51.14;3.72;3.72;4.6;6.74;17.3
0;-p;003;2;V;24;12418.06;3.27;15.85;51.65;241.84;2735.14
0;-p;003;3;A;182;89046.65;109.64;259.79;432.92;651.27;1098.36
0;-p;003;3;B;182;148635.27;136.38;351.11;674.66;1002.97;2057
0;-p;003;3;C;167;23778.79;0.64;1.96;5.25;18.24;1238.41
0;-p;003;3;D;18;331.2;1.86;3.32;5.52;11.66;162.15
0;-p;003;3;G;16;86.5;0.52;2.23;3.13;6.92;18.25
0;-p;003;3;H;160;9711.99;2.13;6.39;13.77;36;242.98
0;-p;003;3;J;181;588189.08;421.34;1390.63;2142.76;3677.42;10113.47
0;-p;003;3;L;180;354667.23;474.24;1036.25;1337.34;1931.37;6449.66
0;-p;003;3;M;125;6014.96;0.24;0.62;1.03;1.96;286.12
0;-p;003;3;N;163;4651.25;2.07;8.28;16.53;36.34;101.96
0;-p;003;3;P;29;877.55;19.12;19.12;19.12;38.25;56.38
0;-p;003;3;R;119;750.86;0.14;0.27;1.09;3.48;33
0;-p;003;3;S;19;98.67;1.82;2.14;3.64;6.2;32.49
0;-p;003;3;V;82;9979.89;8.01;16.02;35.66;91.92;294.35
0;-p;003;4;A;396;233031.22;109.1;269.22;463.98;841.14;1440.92
0;-p;003;4;B;396;621624.85;210.98;725.01;1035.19;1884.06;4453.98
0;-p;003;4;C;359;109975.72;0.64;3.28;12.78;72.88;1822.85
0;-p;003;4;D;78;1612.78;1.86;3.63;7.52;23.84;74.56
0;-p;003;4;G;52;483.41;0.1;2.45;5.46;8.03;19.86
0;-p;003;4;H;345;57698.69;2.12;9.92;30.24;124.56;823.18
0;-p;003;4;J;396;2905501.04;824.14;1954.53;3840.37;8633.97;28553.53
0;-p;003;4;L;394;885278.38;212.6;772.52;1348.18;2478.24;7949.37
0;-p;003;4;M;235;16164.92;0.2;0.6;1.08;8.03;285.97
0;-p;003;4;N;379;55355.9;3.33;12.4;35.13;77.56;573.48
0;-p;003;4;P;66;3287.4;19.12;19.12;19.12;52.75;133.86
0;-p;003;4;R;263;4182.37;0.2;0.55;2.99;13.33;85.47
0;-p;003;4;S;61;406.33;2.14;3.26;5.67;9.32;17.3
0;-p;003;4;V;253;67540.08;2.78;18.41;66.05;164.3;1342.88
0;-p;004;1;A;5;145.47;14.62;17.92;18.08;29.85;65
0;-p;004;1;B;5;992.74;63.61;74.19;78.48;297.38;479.08
0;-p;004;1;C;4;209.38;0.96;2.02;3.32;102.66;201.77
