vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;080;1;4.7;1;3;4;6;10
0;080;2;6;2;3;5;7;13
0;080;3;8.4;2;3;6;11;22
0;080;4;27;24;24;25;32;32
0;081;1;3.6;1;2;3;5;8
0;081;2;5.3;1;3;4;7;12
0;081;3;8.9;2;4;7;10;22
0;081;4;10.4;4;4;5;11;28
0;082;1;3.2;1;1;2;4;8
0;082;2;6.7;1;3;5;8;17
0;082;3;12.3;3;6;9;15;30
0;082;4;27.2;3;11;22;35;98
0;090;1;2.4;1;2;2;2;7
0;090;2;12.2;1;2;11.5;17;28
0;090;3;28.9;11;16;21;26;130
0;090;4;32.7;9;17;25;39;84
0;091;1;3.9;1;3;3;4;8
0;091;2;7.4;2;4;6;9;16
0;091;3;13.1;5;8;11.5;15;28
0;091;4;23.5;6;12;18;29;56
0;092;1;2.4;1;2;2;3;5
0;092;2;4;1;2;3;5;10
0;092;3;12;2;4;9;12;44
0;092;4;34.1;2;11;31;46;99
0;093;1;2.1;1;1;2;2;4
0;093;2;3.2;1;2;2;3;9
0;093;3;14.4;1;3;5;15;51
0;093;4;31;1;9;24;52;99
0;094;1;2.6;1;1;2;3;7
0;094;2;4.4;1;2;3;4.5;13
0;094;3;13.2;1;3;8;16;42
0;094;4;28.9;1;15;26;41;78
0;095;1;2.7;1;2;3;3;5
0;095;2;3.3;1;2;3;4;7
0;095;3;4.6;2;3;4;5;9
0;096;1;2.8;1;2;3;3;5
0;096;2;3.7;2;2;3;4;8
0;096;3;12;1;2.5;4;9.5;109
0;096;4;3;3;3;3;3;3
0;097;1;1.8;1;1;2;2;3
0;097;2;2.6;1;1;2;3;6
0;097;3;9.2;1;2;3;8;56
0;097;4;27.1;2;7;22;25;93
0;098;1;2.1;1;1;2;2;4
0;098;2;3.3;1;2;2;3;9
0;098;3;8.6;1;2;4.5;9;31
0;098;4;32.2;3;11;19;42;77
0;110;1;3.6;1;2;2;4;8
0;110;2;6.2;1;2;3;6;18
0;110;3;13.6;2;5;8;16;44
0;110;4;31.1;4;13;23;42;89
0;111;1;3.7;1;2;3;5;9
0;111;2;7;1;3;5;8;18
0;111;3;12.1;2;6;9;14;28
0;111;4;24.8;2;10;16;32;94
0;112;1;2.7;1;1;2;4;6
0;112;2;3.7;1;2;3;5;9
0;112;3;7;1;3;5;9;19.5
0;112;4;16.3;4;7;13;21;47
0;113;1;2.9;1;2;3;4;6
0;113;2;3.9;1;2;3;5;8
0;113;3;6.8;2;3;5;8;19
0;113;4;12.5;2;4;8;17;35
0;114;1;2.2;1;1;2;3;5
0;114;2;4.4;1;2;3;5;11
0;114;3;8.3;1;3;6;10;24
0;114;4;19;2;8;14;25;51
0;115;1;2.3;1;1;2;3;6
0;115;2;2.1;1;1;1;1;7
0;115;3;8;1;2;6;11;24
0;115;4;20.5;1;6;17.5;33;46
0;120;1;9.8;2;7;9;12;17
0;120;2;12;6;9;11;13;20
0;120;3;16.3;7;11;14;18;35
0;120;4;26;6;14;20;31;65
0;121;1;5.6;1;2;4;8;15
0;121;2;9.8;2;4;8;12;24
0;121;3;18;3;9;15;22;42
0;121;4;30;7;16;25;39;68.5
0;122;1;4.2;1;2;2;4;14
0;122;2;9.9;2;3;8;13;25
0;122;3;18.8;2;9;15;21;54
0;122;4;35.4;4;16;26;42;95
0;130;1;12.2;6;6;8.5;15;29
0;130;2;13.2;5;10;14;17;20
0;130;3;16.8;3;9;15;21;39
0;130;4;24.6;4;12;20;31;64
0;131;1;5.6;1;2;4;9;14
0;131;2;7.5;1;3;7;13;15
0;131;3;8;2;3;7.5;12;17
0;131;4;13;3;8;13;15;29
0;132;1;5.6;1;1;4;7;19
0;132;2;5;1;1;4;8;11
0;132;3;11.9;1;5;7.5;13;54
0;132;4;19.8;8;9;14;30.5;43
0;133;1;7.1;1;3;6;9;16
0;133;2;5.9;1;1;4;8;17
0;133;3;12.4;1;5;10;16;31
0;133;4;19.9;1;7;15;26;55.5
0;134;1;7.1;1;4;6;9;14
0;134;2;9.9;3;7;9;12;20
0;134;3;14;3;8;12;17;32
0;134;4;20.6;1;9;16;25;58
0;135;1;4;1;1;3;4.5;10
0;135;2;8.1;1;3;6;10;22
0;135;3;17.1;4;8;13;21;43
0;135;4;28.5;5;12;23;36;89
0;136;1;4.2;1;2;3;4;13
0;136;2;6.9;1;2;4;8;22
0;136;3;12.3;2;4;9;16;33
0;136;4;22.7;2;10;18;30;58
0;137;1;8.6;1;3;6;10;26
0;137;2;11.9;2;6;10;15;28
0;137;3;16.7;3;9;14;20;38
0;137;4;22.3;3;11;18;29;56
0;138;1;5.1;2;3;4;6;10
0;138;2;5.6;3;4;5;6;12
0;138;3;7.4;3;5;6;9;17
0;138;4;11.2;4;5;10;14;29
0;139;1;4.9;2;3;4;6;9
0;139;2;8.6;2;5;7;10;20
0;139;3;13.5;3;7;11;16;31
0;139;4;19.4;2;9;15;25;50
0;140;1;6.3;1;3;6;8;14
0;140;2;9.5;2;5;8;11;21
0;140;3;13.6;3;7;11;16;32
0;140;4;23.7;4;11;18;30;59
0;141;1;3.9;1;2;3;5;8
0;141;2;6;2;3;5;8;13
0;141;3;7.8;2;4;6;10;18
0;141;4;15.9;3;6;11;20;44
0;142;1;5.1;1;2;4;7;13
0;142;2;7.2;1;3;5;10;19
0;142;3;12.4;2;7;11;17;28
0;142;4;23.3;4;11;18;29;69
0;143;1;4.7;1;3;4;6;10
0;143;2;7;1;3;6;9;17
0;143;3;12.4;2;6;11;16;29
0;143;4;22.3;3;9;18;30;61
0;144;1;2.7;1;1;2;3;7
0;144;2;5.6;1;2;4;7;15
0;144;3;11.3;2;5;9;14;29
0;144;4;20.7;2;9;15;26;57
0;160;1;9;8;8.5;9;9.5;10
0;160;2;11.5;8;8;11;14;17
0;160;3;12.1;7;9;11;14;20
0;160;4;17.4;6;9;13;21;49
0;161;1;3.4;2;2;3;4;7
0;161;2;5.6;2;3;4;7;15
0;161;3;11;2;4;9;15;27
0;161;4;28.7;3;17;25;33;72
0;162;1;12;2;10;12;14;17
0;162;2;14.2;9;11;13;16;23
0;162;3;19.3;9;12;16.5;23;38
0;162;4;31.9;7;17;26;41;83
0;163;1;9.9;7;8;9;10;15
0;163;2;11.7;7;9;11;13;19
0;163;3;13.6;8;10;12;15;25
0;163;4;21.3;8;12;16;24;51
0;164;4;12;12;12;12;12;12
0;165;1;11.3;8;9;11;13;15
0;165;2;13.9;8;10;13;16;22
0;165;3;16.2;8;11;14;19;30
0;165;4;26.3;8;14;20;32;66
0;166;1;8.9;7;8;9;10;12
0;166;2;10.5;7;9;10;11;16
0;166;3;11.9;7;9;11;13;21
0;166;4;18.3;7;10;13;20;46
0;167;1;3.7;1;2;2;3;11
0;167;2;4.6;1;2;2;8;12
0;167;3;9.1;1;4;9;12;22
0;167;4;21.1;5;9;14.5;25;58
0;168;1;6.7;2;4;6;9;14
0;168;2;9.6;3;5;8;11;21
0;168;3;14.7;3;8;12;17;36
0;168;4;25.4;3;10;17;30;78
0;169;1;9.2;2;6;8;10;17
0;169;2;11.2;5;8;11;13;19
0;169;3;13.8;1;9;12;16;29
0;169;4;24.2;2;11;19;29;64
0;170;1;6.3;2;3;5;8;15
0;170;2;11.6;3;5;10;14;23
0;170;3;22.3;3;11;16;28;54
0;170;4;28.7;9;17;24;34;62
0;171;1;4.4;2;3;4;5;10
0;171;2;7;2;3;5;8;17
0;171;3;14;3;7;10;17;35
0;171;4;26.2;5;12;20;33;68
0;172;1;26.6;2;9;17.5;25.5;93
0;172;2;37.6;5;15;25;42;131
0;172;3;48.8;8;22;37;61;133
0;172;4;58.3;9;26;44;80;184
0;173;1;4;1;2;2;5;11
0;173;2;6.5;1;2;4;8;18
0;173;3;16.2;2;5;12;21;47
0;173;4;32.7;3;13;23;41;94
0;174;1;3.2;1;1;2;5;8
0;174;2;5.2;1;2;5;7;11
0;174;3;9.3;1;5;8;11;21
0;174;4;12.7;1;3;9;17;34
0;175;1;2.2;1;1;2;2;5
0;175;2;2.8;1;2;2;3;7
0;175;3;6.6;1;2;4;9;19
0;175;4;17.2;1;6.5;12;22.5;46
0;176;1;2.4;1;2;2;3;5
0;176;2;3.1;1;2;2;3;8
0;176;3;9.3;2;2;5;10;29
0;176;4;19.5;2;5;15;23;57
0;177;1;2.7;1;2;2;3;6
0;177;2;4.5;1;2;3;5;11
0;177;3;9.7;2;3.5;7;11.5;27
0;177;4;21.5;5;8.5;13.5;37;47
0;178;1;8;1;3;5.5;12.5;21
0;178;2;11;2;3;7;15;33
0;178;3;23.5;3;11;18;31;57
0;178;4;45.7;14;22.5;38;57.5;119
0;179;1;2;1;1;2;2;4
0;179;2;3.6;1;2;2;3;11
0;179;3;14.3;2;4;7.5;18;39
0;179;4;14.2;1;3;14;18;44
0;180;1;8.3;2;3;5;10;24
0;180;2;12.2;1;3;7;15;43
0;180;3;20.3;2;8;17;28;50
0;180;4;41.2;2;15.5;29;54;106
0;190;1;4.2;1;2;3;5;11
0;190;2;6.2;1;2;5;8;15
0;190;3;11.6;1;5;9;15;29
0;190;4;15.5;1;3;11;21;46
0;191;1;2.4;1;2;2;2;5
0;191;2;3.8;1;2;2;4;11
0;191;3;9.4;2;3;8;13;22
0;191;4;21.1;1;9;17;28;51
0;192;1;2;1;1;2;2;4
0;192;2;2.9;1;2;2;3;8
0;192;3;6;1;2;4;8;16
0;192;4;17.5;1;6;12;21;69
0;193;1;8.4;2;5;5;8;22
0;193;2;19.1;1;6;12;34;53
0;193;3;24;3;11;21;36;52
0;193;4;29.4;1;11.5;26.5;45;63.5
0;194;1;7.3;1;3;6;9;16
0;194;2;9.9;2;5;8;12;22
0;194;3;14.7;3;8;12;18;36
0;194;4;23.6;2;11;19;31;60
0;195;1;6.8;1;4;6;9;14
0;195;2;9.7;2;6;8;12;21
0;195;3;12.3;3;7;10;15;29
0;195;4;18.9;6;13;17;24;37
0;196;1;1.3;1;1;1;1;1
0;196;2;2;1;1;1;1;6
0;196;3;3.7;1;1;1;2;16
0;196;4;7;1;1;4;9;26
0;197;1;4.5;1;2;3;5;14
0;197;2;6.4;1;2;4;8;19
0;197;3;11;1;3;8;14;31
0;197;4;21.4;1;8;15;29;62
0;198;1;2.8;1;1;2;3;8
0;198;2;4.7;1;2;3;6;12
0;198;3;10.2;1;4;8;12;29
0;198;4;20.3;2;8;16;28;57
0;199;1;4.2;1;2;3;5;12
0;199;2;6.4;1;3;5;8;15
0;199;3;11.6;3;6;9;14;32
0;199;4;24;5;10;17;28;76
0;200;1;2.9;1;1;2;3;8
0;200;2;6.1;1;2;4;8;16
0;200;3;11.2;1;4;8;14;31
0;200;4;22;2;9.5;20.5;31.5;54
0;201;1;2.8;1;1;2;3;8
0;201;2;5.3;1;2;4;7;14
0;201;3;10.4;1;5;8;13;27
0;201;4;19.3;1;8;14;26;52
0;202;1;2.8;1;1;2;3;7
0;202;2;4.7;1;2;4;6;12
0;202;3;9.7;2;4;7.5;12;26
0;202;4;14.4;3;7;11;18;41
0;203;1;2.1;1;1;1;2;6
0;203;2;4;1;1;3;5;11
0;203;3;7.3;1;3;6;10;18
0;203;4;16.7;1;5.5;15;21;42
0;204;1;2.5;1;1;2;3;7
0;204;2;5.8;1;2;4;7;16
0;204;3;11;1;5;8;14;29
0;204;4;26;4;11;18;32;68
0;205;1;3.9;1;2;2;6;11
0;205;2;6;1;3;5;8;14
0;205;3;12.7;2;6;9;15;34
0;205;4;19.4;1;7;12;25;52
0;206;1;3.5;1;1;2;4;9.5
0;206;2;5.3;1;2;3;6;14
0;206;3;9.3;1;3;7;11;27
0;206;4;16.6;2;6;12;21;46
0;207;1;3.9;1;1;3;5;11
0;207;2;6.5;1;3;5;8;17
0;207;3;11.2;1;5;8;13;28
0;207;4;19.7;1;8;15;25;56
0;220;1;4.3;2;3;4;5;9
0;220;2;8.6;2;4;7;11;19
0;220;3;16.5;5;10;14;19;38
0;220;4;34.2;8;16;27;43;92
0;221;1;8.8;4;6;8;11;15
0;221;2;12;5;8;11;14;23
0;221;3;18.5;7;11;15;22;42
0;221;4;34.4;6;17;27;43;88
0;222;1;4.3;2;3;4;5;9
0;222;2;5.4;1;3;4;7;13
0;222;3;13.5;3;6;10;16;40
0;222;4;28;6;13;19;46;70
0;223;1;6.5;2;4;6;8;12
0;223;2;9.3;3;6;8;11;17
0;223;3;15.7;4;8;12;19;34
0;223;4;30.1;4;16;25;38;77
0;224;1;5.1;1;2;4;7;11
0;224;2;8.3;2;4;7;10;19
0;224;3;15.7;5;9;13;19;34
0;224;4;29.6;5;14;24;38;82
0;225;1;3;1;2;3;3;5
0;225;2;5.1;2;3;4;6;11
0;225;3;10.3;3;5;8;13;23
0;225;4;18.7;4;10;16;25;39
0;226;1;2.6;1;1;2;3;6
0;226;2;5;1;2;3;6;14
0;226;3;12.5;2;5;9;15;35
0;226;4;29.8;3;9;19;31;110
0;227;1;3.5;1;2;3;4;8
0;227;2;5.7;1;3;5;7;13
0;227;3;11.2;2;5;9;14;23
0;227;4;26.9;2.5;11;23;34.5;73.5
0;228;1;2.4;1;2;2;3;4
0;228;2;3.8;1;2;3;4;9
0;228;3;9;2;3;5;10;30
0;228;4;24.4;2;7;18;26;72
0;229;1;4.8;1;2;3;6;11.5
0;229;2;9.3;2;4;7;11;23
0;229;3;17.8;2;8;14;22;46
0;229;4;30.3;1;12;23;42;90
0;240;1;3.6;1;2;3;4;9
0;240;2;6.6;1;2;4;8;20
0;240;3;12.4;2;5;9;15;33
0;240;4;23.8;3;11;19;30;60
0;241;1;3.2;1;2;2;4;8
0;241;2;6.1;1;3;5;8;15
0;241;3;10.7;3;5;8;13;26
0;241;4;18.4;3;8;14;22;51
0;242;1;2.4;1;1;2;3;6
0;242;2;5.8;1;3;4;8;14
0;242;3;9.9;2;5;8;12;25
0;242;4;18.2;1;8;12;23;50
0;243;1;2.6;1;1;2;3;6
0;243;2;4.9;1;2;3;6;13
0;243;3;9.9;1;4;8;12;25
0;243;4;17.5;3;7;13;22;47
0;244;1;4.4;1;2;4;6;9
0;244;2;6.2;1;3;5;8;13
0;244;3;10.3;3;6;8;12;24
0;244;4;16;5;8;12;19;42
0;245;1;4.3;1;2;4;6;10
0;245;2;6.8;1;3;6;9;16
0;245;3;11.3;2;6;9;14;26
0;245;4;16.5;4;8;13;21;45
0;246;1;5.2;1;3;5;7;11
0;246;2;8.2;2;4;7;10;21
0;246;3;12.5;1;7;10;16;29
0;246;4;17.7;1;4;14;25;50
0;247;1;3.5;1;2;3;4;8
0;247;2;6.5;1;3;5;8;16
0;247;3;11.6;2;5;9;14;29
0;247;4;16.7;3;7;13;22;44
0;248;1;6.3;2;3;6;8;14
0;248;2;8;2;4;7;10;18
0;248;3;12.9;3;6;11;15;32
0;248;4;17.6;2;8;13;23;48
0;249;1;2.8;1;1;2;3;6
0;249;2;4.4;1;2;4;5;11
0;249;3;7.6;2;3;5;9;22
0;249;4;10.9;2;4;7;13;34
0;250;1;2.9;1;1;2;3;7
0;250;2;5.2;1;2;4;6;14
0;250;3;10.3;1;4;8;13;28
0;250;4;17.2;2;6;12;22;50
0;260;1;7;2;4;7;9;15
0;260;2;9.1;2;6;8;11;18
0;260;3;14.7;3;8;12;17;33
0;260;4;29;8;15;23;36.5;74
0;261;1;5.6;1;2;4;7;15
0;261;2;9.3;2;3;9;12;22
0;261;3;16.4;4;9;14;19;43
0;261;4;28.5;7;16;23;32;82
0;262;1;6.2;2;3;5;8;12
0;262;2;9.3;3.5;6;8;11;21
0;262;3;19.1;6;9;14;24;42
0;262;4;28.8;7;13;23;37;77
0;263;1;3.2;1;2;3;4;6
0;263;2;4.8;2;3;4;6;11
0;263;3;11.8;3;5;9;14;30
0;263;4;25.1;4;11;18.5;28;72
0;264;1;5.6;1;2;4;6;17
0;264;2;7.9;1;3;6;10;20
0;264;3;12.5;2;6;10;15;29
0;264;4;26.2;5;13;22;33;66
0;280;1;5.2;1;1;3;6;13
0;280;2;8.4;1;3;6;10;23
0;280;3;13.5;2;6;10;16;36
0;280;4;22.8;2;10;18;29;58
0;281;1;4.1;1;2;2;5;12
0;281;2;7.9;1;3;5;10;24
0;281;3;12;2;5;9;15;32
0;281;4;18.1;2;8;15;24;48
0;282;1;5.1;1;3;4;7;11
0;282;2;7.3;2;4;6;9;17
0;282;3;11.3;2;6;10;14;27
0;282;4;19.3;3;10;15;23;50
0;283;1;2.8;1;1;2;3;8
0;283;2;6.4;1;2;4;8;17
0;283;3;11;2;4;8;14;29
0;283;4;21.4;2;8;17;28;59
0;284;1;4;1;2;3;5;10
0;284;2;6.6;1;3;6;9;15
0;284;3;11.3;2;6;9;14;26
0;284;4;18.9;3;9;14;23;50
0;300;1;18.8;6;10;14;22;49
0;300;2;29.1;9;12;22;31;87
0;300;3;49.4;14;22;37;65;134
0;300;4;88.3;12;51;70;133;197
0;301;1;15.5;7;10;13;17;36
0;301;2;18.7;7;10;14;20;48
0;301;3;28.3;8;14;20;35;73
0;301;4;42.4;8;20;34.5;54;109
0;302;1;10;5;7;9;11;18
0;302;2;13.2;6;8;10;14;30
0;302;3;23.6;7;11;16;27;67
0;302;4;44.8;8;19;33;59;122
0;303;1;10.8;5;7;9;11;24
0;303;2;12.7;5;8;10;15;26
0;303;3;21.5;5;9;12;19;58
0;303;4;42.2;8;19;31;53;156
0;304;1;7.4;4;5;7;8;13
0;304;2;11.1;5;7;8;12;25
0;304;3;19.6;6;9;13;22;54
0;304;4;51.9;10;22;45;69;136
0;305;1;12.2;1;4;8;14;41
0;305;2;24.4;2;8;15;32;79
0;305;3;42.1;7;16;30.5;56;94
0;305;4;66.8;10;34;47.5;103;161
0;306;1;6.8;2;4;5;8;16
0;306;2;14;3;5;8;14;48
0;306;3;29.3;7;15;22;36.5;72
0;306;4;49.5;3;17;36.5;68;141
0;307;1;3.5;1;2;3;4;8
0;307;2;9.9;1;4;7;11;25
0;307;3;16.4;5;8;11;17;49
0;307;4;41.2;2;18;23.5;34;203
0;308;1;14.4;4;7;11;15;43
0;308;2;20.7;5;10;14;23;60
0;308;3;33.3;7;14;23;45;88
0;308;4;44.5;8;20;35;60.5;112
0;309;1;5.8;1;2;4;6;18
0;309;2;16.1;3;6;11;18;55
0;309;3;31.3;5;14;23;42;81
0;309;4;46.9;8;19;41.5;61;119
0;310;1;5.4;2;3;5;6;11
0;310;2;7.9;2;4;6;9;20
0;310;3;23.1;4;9;15;29;68
0;310;4;47.9;6;19.5;33.5;65.5;142
0;311;1;2.6;1;1;2;3;7
0;311;2;3.3;1;2;3;4;9
0;311;4;53;53;53;53;53;53
0;312;1;6.8;1;2;3;8;21
0;312;2;19.3;2;7;13;25;59
0;312;3;34;6;14;28;43;78
0;312;4;56.6;5;23;53;79;153
0;313;1;3.5;1;2;2;4;8
0;313;2;9.3;1;3;5;10;30
0;313;3;26.1;3;8;14;30;91
0;313;4;44.7;10;21.5;38.5;60.5;117
0;314;1;3;1;2;3;3;6
0;314;2;4.8;1;2;3;5;14
0;314;3;17;2;5;11;20;53
0;314;4;41.3;6;27;37;67;74
0;315;1;2.5;1;1;2;3;5
0;315;2;6.5;1;2;4;7;22
0;315;3;23.7;2;7;15;32;74
0;315;4;38.9;6;18;29;51;97
0;316;1;2;1;1;2;2;4
0;316;2;4.1;1;2;2;3;12
0;316;3;11.5;1;3;7;13;49
0;316;4;38;5;12;18.5;58;118
0;317;1;2.7;1;2;2;3;6
0;317;2;6.8;1;2;4;7;23
0;317;3;16.9;2;5;10;21;58
0;317;4;51.4;9;26;43;71;113
0;318;1;2.5;1;2;2;3;5
0;318;2;6.7;1;2;3;6;28
0;318;3;21.9;2;4;12;25;74
0;318;4;52.1;2;15;40;77;148
0;319;1;2.5;1;2;2;3;5
0;319;2;6.6;1;2;3;7;25
0;319;3;21.1;2;5;15.5;29;73
0;319;4;31.1;12;17;30;41;66
0;320;1;3.9;1;2;2;4;13
0;320;2;10.5;1;3;6;12;36
0;320;3;22.6;2;9;17;30;60
0;320;4;41.2;9;18.5;33.5;54;110
0;340;1;8.5;1;2;6;11;26
0;340;2;15.6;1;5;11;22;48
0;340;3;23.8;2;7;19;32;68.5
0;340;4;24.6;1;3;13;33;100
0;341;1;8.5;1;3;6;11;26
0;341;2;17.1;2;6;13;23;48
0;341;3;27.8;5;13;23;37;66
0;341;4;44;9;23;37;51;116
0;342;1;2.8;1;1;1;2;9
0;342;2;11.3;1;2;5;13;45
0;342;3;25.1;2;9;17;33;69
0;342;4;39.4;4;16;29;47;122
0;343;1;8.9;1;3;6;11;27
0;343;2;12.8;2;5;10;16;32
0;343;3;20.6;3;9;16;26;53
0;343;4;31.6;4;15;25;40;86
0;344;1;10.2;1;4;8;11;33
0;344;2;12.6;2;6;10;15;32
0;344;3;25;3;14;21;35;62
0;344;4;31.7;5;14.5;28;46;62
0;345;1;6.2;1;3;5;9;14
0;345;2;10.4;2;5;8;14;26
0;345;3;25;8;13;20;28;49
0;345;4;30.2;2;14;24;41;94
0;346;1;6;1;2.5;4;7;16
0;346;2;7.6;1;3;5;10;21
0;346;3;13;2;5;10;17;36
0;346;4;27.5;2;9.5;19.5;36;70
0;347;1;4.8;1;2;3;6;13
0;347;2;9.6;1;4;7;12;27
0;347;3;21.4;3;10;16;27;55
0;347;4;34.5;4;17.5;27;46;90.5
0;348;1;4.9;1;2;3;5;14
