vrai_hop;rdrg;N;moy_gemid
0;001;277;639.81
0;002;179;2655.52
0;003;907;41.08
0;004;1415;2702.87
0;005;337;338.27
0;006;16;109.9
0;020;740;462.11
0;021;4661;1313.62
0;022;607;1309.39
0;023;1263;929.45
0;024;5203;2749.18
0;026;3020;1932.31
0;040;391;13.49
0;041;2792;10.08
0;042;11427;8.15
0;043;3627;1.52
0;044;3129;26.23
0;045;15000;47.5
0;046;602;13.81
0;047;7170;5.2
0;048;3952;3.5
0;049;667;12.22
0;050;947;5.17
0;051;1153;0.32
0;052;2519;3.24
0;053;16496;2.84
0;054;6321;0.53
0;055;3456;12.75
0;056;274;8.57
0;057;8284;1.31
0;058;18303;7.82
0;070;502;211.6
0;073;9979;255.38
0;080;613;7.93
0;082;2857;4.89
0;089;1885;407.91
0;090;351;528.59
0;091;624;7925.84
0;092;5206;414.82
0;093;4663;88.5
0;095;160;5.62
0;097;7435;5.14
0;098;13020;72.47
0;110;1460;50.46
0;111;5679;1.69
0;113;22876;1.69
0;114;4224;9.9
0;115;61983;0.79
0;120;3519;898.23
0;121;3861;478.19
0;130;963;56.32
0;131;847;25.78
0;132;112;5.79
0;133;1061;11.29
0;134;5336;7.94
0;135;3652;14.25
0;136;7363;39.41
0;137;8456;14.03
0;138;12756;0.09
0;139;32567;4.86
0;140;31179;5.25
0;141;5136;1.51
0;142;1936;17.53
0;143;5795;30.27
0;144;23220;3.39
0;160;90;3289.12
0;161;1712;11986.51
0;162;496;5101.05
0;163;3422;4933.62
0;165;962;1749.09
0;166;4199;1656.63
0;167;3276;3486.88
0;169;2211;1417.89
0;170;378;5009.5
0;171;6793;4584.45
0;174;8885;1831.46
0;175;28378;2388.32
0;176;2244;5859.88
0;177;766;1526.53
0;180;2785;110.79
0;181;18503;1364.82
0;182;4563;2069.78
0;190;6866;76.71
0;191;12071;97.35
0;192;14100;139.98
0;193;209;38.99
0;194;23642;15.2
0;196;944;64.41
0;197;5131;54.33
0;198;4015;30.87
0;199;2635;12.65
0;200;1301;58.34
0;201;18879;93.38
0;203;4364;1.06
0;204;10953;9.75
0;205;392;65.05
0;206;1277;105.18
0;207;5376;48.01
0;220;3683;624.86
0;221;15491;991.91
0;222;4749;248.43
0;223;4155;272.4
0;224;1692;140.68
0;225;12697;194.92
0;226;6234;122.64
0;227;8021;606.47
0;228;14168;485.3
0;229;3042;356.5
0;240;6484;147.7
0;241;7577;35.81
0;242;707;46.77
0;243;6631;96.57
0;244;9811;12.25
0;245;3427;11.33
0;246;1351;22.28
0;247;8235;11.23
0;248;5160;8.02
0;249;30643;2.23
0;251;5721;4.22
0;252;2590;96.59
0;253;2810;44.04
0;254;20605;34.23
0;260;2632;797.8
0;261;1470;658.56
0;262;493;192.34
0;263;19671;239.52
0;264;2750;297.97
0;279;1369;69.86
0;280;3605;37.74
0;281;4393;259.63
0;282;6793;64.31
0;283;2537;55.32
0;284;10446;199.28
0;301;30153;1849.62
0;302;26168;2709.31
0;303;395;5779.48
0;304;7637;2411.35
0;305;1191;193.14
0;308;10834;777.13
0;309;3825;437.48
0;310;16943;120.08
0;312;683;113.91
0;313;16834;482.87
0;314;16179;301.01
0;315;34693;592.42
0;316;4930;258.44
0;317;9728;238.63
0;320;10758;381.29
0;321;6777;1020.38
0;322;1351;1684.17
0;340;1680;38.31
0;341;3538;5.13
0;342;8339;12.89
0;343;2296;31.38
0;344;1664;14.63
0;346;3307;11.74
0;347;17994;6.31
0;349;2398;34.91
0;351;13183;14.06
0;361;4849;56.1
0;362;4726;258.94
0;363;14622;71.27
0;364;6979;82.34
0;380;1909;15.89
0;381;765;11.83
0;382;972;54.44
0;383;12856;3.03
0;384;7287;3.13
0;385;5112;5.16
0;401;605;219.34
0;403;14445;1062.79
0;404;6671;341.78
0;405;347;513.78
0;420;10763;4.47
0;421;6174;22.47
0;422;5372;4.52
0;423;478;18.1
0;424;3279;6.78
0;425;4182;5.41
0;440;484;118.5
0;441;1581;472.06
0;442;2140;371.44
0;443;9365;193.14
0;444;861;77.7
0;445;1387;889.28
0;446;13687;100.28
0;447;515;551.3
0;461;1792;40.54
0;462;901;10.37
0;463;24018;7.21
0;465;11289;65.83
0;466;2631;27.25
0;468;10543;17.08
0;469;2680;29.28
0;470;2582;51.59
0;480;3968;1025.64
0;481;1130;671.12
0;482;7969;51.75
0;483;2116;29.07
0;484;2039;329.23
0;500;1183;22.15
0;501;5348;7.51
0;510;892;505.7
0;511;635;461.01
0;512;1126;407.45
0;513;13236;218.84
0;514;4440;422.41
0;517;640;73.8
0;518;1857;175.93
0;519;4437;226.76
0;530;1168;33.08
0;531;833;3.36
0;532;1768;22.62
0;540;23806;1.67
0;541;2591;3.28
0;542;1629;5.94
0;544;1462;6.01
0;545;1221;148.47
0;546;470;34.67
0;560;84830;0.15
0;561;1788;2.58
0;563;3451;0.08
0;564;823;0
0;565;1121;0
0;566;12176;1.33
0;580;154;7.68
0;581;15;4.63
0;583;20;2730.5
0;588;83;513.94
0;589;16;158.04
0;591;82;153.55
0;593;194;98.82
0;602;160;78.32
0;603;56;53.33
0;607;266;75.55
0;608;92;44.43
0;609;91;501.82
0;611;144;47.71
0;612;295;45.43
0;613;46;25.68
0;614;341;25.02
0;621;134;120.34
0;622;227;32.8
0;623;36;9.29
0;625;168;9.94
0;626;282;1.73
0;630;105;1415.32
0;631;114;357.97
0;633;360;113.23
0;634;415;27.25
0;636;156;7.84
0;639;514;9.15
0;640;1559;2.36
0;650;181;444.48
0;651;786;95.71
0;660;3956;9.2
0;661;1132;6.34
0;662;825;1.81
0;663;10050;22.8
0;680;907;627.7
0;681;3633;187.32
0;690;1060;46.74
0;691;3059;41.86
0;692;430;11.01
0;694;2629;44.77
0;695;1163;22
0;696;20848;28.5
0;710;2996;386.99
0;711;2217;178.85
0;720;13160;29.88
0;721;3941;20.94
0;722;3553;2.44
0;723;10260;1.37
0;724;3307;6.56
0;740;466;586.18
0;750;459;4.64
0;751;2171;0.87
0;752;386;0.51
0;753;1106;0.84
0;754;2458;1.49
0;755;2543;5.68
0;756;3521;1.24
0;757;4544;3.53
0;758;599;0.48
0;759;328;2.55
0;760;4683;0.61
0;770;489;0.48
0;772;1550;6.69
0;773;560;3.32
0;774;494;0.19
0;775;7831;1.25
0;776;968;1.83
0;791;4235;427.8
0;811;1425;0.97
0;812;10584;1.88
0;813;5136;50.92
0;815;2239;5.11
0;816;1829;2.83
0;841;11;57.5
0;842;259;35.25
0;843;11;38.42
0;844;650;6.18
0;850;9386;1057.03
0;860;2821;12.36
0;861;33424;7.52
0;862;14269;33.15
0;863;888;0.44
0;890;131;34.12
0;892;228;41.66
0;893;47;23.56
0;894;335;44.8
0;910;171;950.28
0;911;179;1161.75
0;912;1159;1380.06
0;930;1218;20.19
0;950;4655;873.04
0;951;13590;311.24
0;952;5189;293.3
0;955;43;0
0;956;309;6.34
