vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3309;43919260;20326115;24900685;2875817;8890235
0;01;117071;287142682;23643887;85424620;5093434;40396481
0;02;26889;23241639;3875760;17436924;244064;7232701
0;03;70850;63308441;7671936;34728331;902364;16989657
0;04;118420;312034688;47658351;74386998;7601049;38846519
0;05;196675;387479228;57491966;229484178;11585830;182503027
0;06;173719;297953016;46162543;100465598;6718042;52989902
0;07;43942;99820329;20436027;34493304;2805652;18896018
0;08;215009;486674241;37417456;157387788;5288088;136101077
0;09;53445;100756880;10026766;27539988;1296705;14732729
0;10;38701;77139627;6531879;21263769;1741625;11203956
0;11;61632;106422223;14490465;34849514;2342452;17558817
0;12;27358;46607562;5689560;18914943;670593;7386306
0;13;48558;66914753;7942471;28122650;838238;13541073
0;14;127248;176863900;5457506;62304379;2707410;27822510
0;15;7035;26933827;1498692;9408711;684290;3019642
0;16;13225;24758884;7001141;5711731;753566;6283626
0;17;36075;65281743;33642231;12806894;1790613;17275381
0;18;17403;39766066;8080952;8419512;1264145;5983880
0;19;35809;115160933;3616860;16115365;1220008;11672107
0;20;11924;22024325;800649;3842690;430832;2907670
0;21;23255;34765415;3717448;8721738;897969;6154778
0;22;911;4072479;442498;517933;72548;383565
0;23;43700;82411094;4968041;18216238;954653;12572917
0;24;758;3155634;746749;431780;87978;396807
0;25;1738;10803826;2323158;4568418;367231;2097703
0;FF;14193;64978400;9054179;18354438;1328261;10348228
