vrai_hop;rdrg;SI;N;moy_gemid
0;001;1;2;662.51
0;001;2;37;514.04
0;001;3;97;793.62
0;001;4;107;1818.69
0;002;2;8;2169.84
0;002;3;68;2201.85
0;002;4;119;3974.41
0;003;1;340;115.98
0;003;2;388;17.88
0;003;3;97;149.05
0;003;4;89;114.05
0;004;1;2;1256.91
0;004;2;23;964.04
0;004;3;143;1578.06
0;004;4;983;2810.99
0;005;1;1;201.49
0;005;2;19;97.39
0;005;3;167;166.91
0;005;4;592;374.43
0;006;2;3;141.58
0;006;3;4;62.1
0;006;4;4;139.53
0;020;1;283;325.92
0;020;2;106;539.03
0;020;3;230;372.72
0;020;4;179;495.35
0;021;1;1175;768.75
0;021;2;1261;840.67
0;021;3;852;898.55
0;021;4;437;1530.19
0;022;1;236;986.15
0;022;2;369;1196.75
0;022;3;234;1767.29
0;022;4;117;2300.77
0;023;1;900;1895.75
0;023;2;555;1218.09
0;023;3;224;2117.03
0;023;4;41;2519.37
0;024;1;1972;1630.35
0;024;2;1842;1104.08
0;024;3;726;1431.08
0;024;4;106;4276.76
0;026;1;2285;1225.71
0;026;2;804;3158.95
0;026;3;274;3439.05
0;026;4;48;2573.05
0;040;1;130;4.82
0;040;2;176;73.28
0;040;3;99;12.28
0;040;4;24;90.11
0;041;1;320;9.54
0;041;2;1120;6.69
0;041;3;1257;12.85
0;041;4;125;37.48
0;042;1;1889;16.71
0;042;2;6238;3.06
0;042;3;3210;11.36
0;042;4;301;22.56
0;043;1;1823;0.7
0;043;2;805;3.67
0;043;3;172;24.22
0;043;4;15;53.04
0;044;1;441;5.62
0;044;2;920;2.55
0;044;3;1464;42.81
0;044;4;322;53.99
0;045;1;1368;3.92
0;045;2;7919;3.8
0;045;3;4908;8.62
0;045;4;933;38.94
0;046;1;189;5.66
0;046;2;594;18.4
0;046;3;278;30.88
0;046;4;30;29.18
0;047;1;2031;0.88
0;047;2;3857;2.59
0;047;3;1027;12.81
0;047;4;71;35.2
0;048;1;1601;11.17
0;048;2;1109;1
0;048;3;1133;7.16
0;048;4;54;35.04
0;049;1;103;0
0;049;2;368;2.24
0;049;3;142;3.95
0;049;4;84;27.04
0;050;1;195;12.62
0;050;2;325;1.86
0;050;3;149;2.57
0;050;4;41;31.51
0;051;1;884;0.01
0;051;2;376;0.06
0;051;3;32;0
0;051;4;3;2.38
0;052;1;940;0.07
0;052;2;774;2.87
0;052;3;810;5.69
0;052;4;178;24.65
0;053;1;6813;0.45
0;053;2;4938;2.68
0;053;3;2595;4.51
0;053;4;332;35.16
0;054;1;3837;0.29
0;054;2;1615;0.71
0;054;3;153;2.47
0;054;4;11;3.93
0;055;1;810;0.92
0;055;2;951;2.5
0;055;3;691;7.22
0;055;4;217;37.99
0;056;1;322;0.12
0;056;2;300;4.27
0;056;3;134;1.38
0;056;4;38;42.12
0;057;1;7023;0.46
0;057;2;1551;1.06
0;057;3;211;3.34
0;057;4;26;23.39
0;058;1;9380;21.27
0;058;2;4581;26.49
0;058;3;1188;9.9
0;058;4;162;28.03
0;070;1;310;158.22
0;070;2;221;195.69
0;070;3;26;337.6
0;070;4;2;34.58
0;073;1;8460;243.02
0;073;2;2962;242.54
0;073;3;206;218.39
0;073;4;14;748.07
0;080;1;247;5.22
0;080;2;355;7.5
0;080;3;65;4.66
0;080;4;5;70.2
