vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;001;1;15;15;15;15;15;15
0;001;2;15.6;10;12;14;17;26
0;001;3;18.2;9;14;17;21;34
0;001;4;42.9;12;19;29.5;55.5;109
0;002;1;22;22;22;22;22;22
0;002;2;24.5;11;19;23.5;29;44
0;002;3;32;16;22;25.5;32;69
0;002;4;50.4;18;25;35;68;130
0;003;1;11.8;1;2;4;21.5;29.5
0;003;2;19.5;2;16;21;25;34
0;003;3;24.7;15;20;23;29;39
0;003;4;40;18;24;33;46;89
0;004;1;8.7;1;1;5.5;10;29
0;004;2;24.6;2;9;15;33;62
0;004;3;40.6;5;16;31;52;112
0;004;4;67.8;17;36;56;84;167
0;005;1;12;1;8;13;16;22
0;005;2;18.6;5;10;15;23;46
0;005;3;26.3;6;12;21;32;57
0;005;4;43.6;12;21;34;56;108
0;020;1;9.2;2;5;7;11;27
0;020;2;15.4;3;7;11;17;45
0;020;3;20.4;1;3;13;25;76
0;020;4;31.5;3;9;21.5;41.5;95
0;021;1;9.4;3;6;8;11;22
0;021;2;11.2;3;5;8;13;30
0;021;3;20.2;2;8;14;24;60
0;021;4;39.8;5;14;28;50;120
0;022;1;6.7;2;4;6;8;15
0;022;2;10.7;2;4;7;12;31
0;022;3;18.5;2;4;12;27;57
0;022;4;30.8;3;10;21.5;44;84
0;023;1;4.6;1;2;4;6;11
0;023;2;12.5;2;5;8;11;41
0;023;3;28.6;4;10;17;28;96
0;023;4;42.2;7;19;31;54;119
0;024;1;4.1;2;3;4;5;7
0;024;2;5.5;2;3;4;6;12
0;024;3;18.5;3;6;11;20;67
0;024;4;50.5;3;14.5;33.5;66.5;138
0;025;1;2.6;1;1;2;2;6
0;025;2;3.9;1;2;2;4;12
0;025;3;14.6;1;2;4;11;68
0;025;4;37.6;2;5;37;45;99
0;026;1;4.4;1;2;2;4;12
0;026;2;11.1;1;2;5;12;43
0;026;3;32.1;3;11;18;43;103
0;026;4;53.2;7;22;43.5;72.5;123
0;040;1;4;1;1;2;5;11
0;040;2;10.4;1;3;6;12;29
0;040;3;20.5;1;5;11;24;71
0;040;4;31.4;1;7.5;16.5;34.5;95
0;041;1;6.9;1;2;4;7;22
0;041;2;10.5;1;4;7;12;31
0;041;3;17.6;2;7;13;22;48
0;041;4;23.9;4;10;19;29;58
0;042;1;11.4;1;3;6;14;38
