vrai_hop;rdrg;SI;N;moy_gemid
0;001;1;4;225.93
0;001;2;16;184.85
0;001;3;36;424.49
0;001;4;152;600.53
0;002;2;4;2242.31
0;002;3;27;1277.65
0;002;4;107;2168.08
0;003;1;62;135.39
0;003;2;91;80.2
0;003;3;197;60.67
0;003;4;262;28.86
0;004;1;15;100.33
0;004;2;62;215.13
0;004;3;230;434.39
0;004;4;1782;862.55
0;005;1;42;110.68
0;005;2;143;138.13
0;005;3;113;122.59
0;005;4;129;238.29
0;020;1;116;137.04
0;020;2;159;193.28
0;020;3;162;165.83
0;020;4;205;283.74
0;021;1;1188;611.11
0;021;2;1238;1138.7
0;021;3;751;605.65
0;021;4;648;828.03
0;022;1;189;886.04
0;022;2;281;406.4
0;022;3;127;419.6
0;022;4;103;281.48
0;023;1;521;987.85
0;023;2;285;571.99
0;023;3;155;1535.16
0;023;4;45;1276.63
0;024;1;1067;237.42
0;024;2;2071;216.97
0;024;3;674;352.83
0;024;4;90;619.28
0;025;1;2818;32.05
0;025;2;220;354.85
0;025;3;63;60.96
0;025;4;10;215.61
0;026;1;657;549.26
0;026;2;457;2318.32
0;026;3;276;2716.05
0;026;4;98;2093.31
0;040;1;197;52.86
0;040;2;220;10.53
0;040;3;132;4.17
0;040;4;41;21.86
0;041;1;422;7.14
0;041;2;1174;2.39
0;041;3;891;8.93
0;041;4;183;15.93
0;042;1;2124;0.09
0;042;2;4354;0.91
0;042;3;2440;3.94
0;042;4;386;4.01
0;043;1;1341;7.9
0;043;2;690;1.98
0;043;3;175;51.45
0;043;4;29;4.36
0;044;1;437;0.36
0;044;2;907;0.48
0;044;3;1117;111.9
0;044;4;449;21.87
0;045;1;747;1.18
0;045;2;4388;2.91
0;045;3;2540;2.78
0;045;4;1302;6.77
0;046;1;1107;3.47
0;046;2;4145;3.81
0;046;3;2115;3.5
0;046;4;810;6.28
0;047;1;1566;0.6
0;047;2;4600;3.3
0;047;3;1630;1.89
0;047;4;186;19.36
0;048;1;1550;10.81
0;048;2;2267;2.21
0;048;3;1763;1.05
0;048;4;76;4.85
0;049;1;152;0.55
0;049;2;351;1.24
0;049;3;130;0.66
0;049;4;120;20.47
0;050;1;226;5.23
0;050;2;317;1.53
0;050;3;137;0.35
0;050;4;59;12.65
0;051;1;674;0
0;051;2;192;0
0;051;3;30;0
0;051;4;8;0
0;052;1;614;0.81
0;052;2;561;0.24
0;052;3;606;1.86
0;052;4;278;11.13
0;053;1;6369;0.02
0;053;2;4288;1.29
0;053;3;2540;16.55
0;053;4;425;9.62
0;054;1;2663;0.01
0;054;2;1285;0.26
0;054;3;178;0
0;054;4;7;0
0;055;1;534;30.26
0;055;2;511;0.49
0;055;3;339;1.48
0;055;4;158;16.57
