vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;001;32;10;15;21;34;102
0;002;45;16;23;30;50;139
0;003;30;14;19;24;32;67
0;004;61;3;25;49;84;163
0;005;59;15;30;46;73;134
0;006;31;19;21;28;34;60
0;020;27;2;7;15;33;89
0;021;18;3;6;8;17;70
0;022;13;2;4;6;11;52
0;023;11;1;2;4;8;48
0;024;9;1;3;4;7;31
0;026;7;1;1;2;4;31
0;040;16;1;3;6;17;70
0;041;12;1;4;7;15;37
0;042;16;1;5;11;20;45
0;043;5;1;1;2;4;15
0;044;16;1;2;8;17;65
0;045;15;2;4;8;16;57
0;046;7;1;2;4;8;21
0;047;6;1;2;4;7;17
0;048;7;1;2;3;8;26
0;049;17;1;5;10;17;59
0;050;11;1;4;7;13;33
0;051;4;1;2;3;4;9
0;052;7;1;1;3;8;24
0;053;5;1;1;2;5;16
0;054;3;1;1;2;4;8
0;055;12;1;3;7;14;42
0;056;8;1;2;4;9;29
0;057;2;1;1;1;2;8
0;058;7;1;1;1;6;27
0;070;3;1;1;1;3;11
0;073;1;1;1;1;1;2
0;080;7;1;3;5;8;19
0;082;5;1;1;2;6;18
0;089;5;1;1;1;3;21
0;090;22;1;3;16;31;66
0;091;7;1;2;3;7;27
0;092;2;1;1;1;2;4
0;093;1;1;1;1;1;3
0;095;3;1;1;2;3;5
0;097;1;1;1;1;1;3
0;098;2;1;1;1;2;5
0;110;8;1;1;3;9;30
0;111;5;1;1;3;6;14
0;113;3;1;2;2;3;7
0;114;4;1;1;2;4;13
0;115;1;1;1;1;1;2
0;120;14;3;7;9;15;40
0;121;13;1;4;8;15;41
0;130;25;6;12;19;30;66
0;131;9;1;3;9;14;18
0;132;6;1;2;4;8;14
0;133;10;1;2;6;12;29
0;134;9;1;4;6;10;24
0;135;10;1;3;6;13;30
0;136;10;1;2;6;13;32
0;137;14;2;6;11;18;37
0;138;4;1;2;3;5;9
0;139;9;2;4;7;12;26
0;140;10;1;5;8;12;28
0;141;4;1;2;3;5;12
0;142;8;1;2;5;11;25
0;143;6;1;1;4;8;20
0;144;5;1;1;3;6;17
0;160;18;2;8;11;21;66
0;161;7;1;2;3;7;25
0;162;28;6;10;19;38;71
0;163;15;7;9;11;16;38
0;165;17;7;10;13;18;39
0;166;12;6;8;9;13;24
0;167;7;1;2;2;8;22
0;169;14;2;5;8;14;42
0;170;13;1;4;10;17;36
0;171;6;1;2;3;7;18
0;174;6;1;2;4;6;16
0;175;3;1;1;1;2;9
0;176;2;1;1;1;2;7
0;177;5;1;1;3;5;17
0;180;6;1;1;1;3;31
0;181;6;1;1;2;6;23
0;182;5;1;1;2;5;18
0;190;7;1;2;4;7;21
0;191;2;1;1;1;2;5
0;192;4;1;1;2;5;15
0;193;23;2;6;18;33;56
0;194;12;2;5;9;15;31
0;196;5;1;1;1;5;20
0;197;8;1;2;4;9;26
0;198;4;1;1;2;4;14
0;199;5;1;1;3;7;15
0;200;8;1;2;4;10;24
0;201;5;1;1;2;5;16
0;203;2;1;1;1;3;8
0;204;6;1;1;3;6;19
0;205;9;1;3;6;10;32
0;206;7;1;1;3;8;27
0;207;7;1;2;4;8;21
0;220;13;1;3;8;15;42
0;221;13;3;6;9;15;39
0;222;7;1;2;3;7;27
0;223;8;1;3;5;10;25
0;224;8;1;2;5;10;26
0;225;3;1;1;2;3;7
0;226;2;1;1;1;2;6
0;227;4;1;1;2;4;10
0;228;2;1;1;1;2;4
0;229;8;1;2;4;10;29
0;240;8;1;2;5;11;28
0;241;5;1;2;3;6;18
0;242;6;1;1;3;7;24
0;243;4;1;1;2;4;16
0;244;5;1;2;4;6;14
0;245;6;1;2;4;7;17
0;246;8;1;3;5;10;22
0;247;7;1;2;4;8;20
0;248;7;1;3;4;7;21
0;249;4;1;1;2;4;13
0;251;3;1;1;2;3;9
0;252;6;1;2;3;7;18
0;253;7;1;2;4;8;21
0;254;4;1;1;2;4;14
0;260;13;1;4;8;15;41
0;261;12;1;3;8;16;38
0;262;9;1;3;5;9;24
0;263;3;1;1;2;3;7
0;264;11;1;2;7;13;36
0;279;10;1;3;6;11;31
0;280;12;1;4;8;14;35
0;281;9;1;2;5;11;28
0;282;7;1;3;5;8;19
0;283;6;1;1;4;8;21
0;284;6;1;2;4;8;18
0;301;12;3;4;6;12;42
0;302;9;3;4;6;8;29
0;303;12;5;7;9;12;24
0;304;8;3;4;5;7;21
0;305;41;4;14;25;51;138
0;308;21;3;7;11;27;69
0;309;10;1;1;2;8;49
0;310;5;1;2;4;5;14
0;312;13;1;1;3;17;56
0;313;5;1;1;2;4;19
0;314;3;1;1;1;2;10
0;315;4;1;1;1;2;12
0;316;2;1;1;1;1;4
0;317;3;1;1;1;2;8
0;320;5;1;1;2;4;16
0;321;5;1;2;3;4;13
0;322;8;1;3;4;7;38
0;340;14;1;3;9;19;44
0;341;18;1;6;14;25;51
0;342;9;1;1;2;10;36
0;343;13;1;3;8;16;37
0;344;14;1;5;9;17;40
0;346;8;1;2;5;9;24
0;347;9;1;2;5;12;31
0;349;8;1;1;3;10;32
0;351;9;1;2;5;12;30
0;361;7;1;1;2;5;32
0;362;5;1;3;4;6;9
0;363;3;1;1;2;3;7
0;364;5;1;1;3;4;21
0;380;16;2;6;11;20;46
0;381;10;1;2;5;11;33
0;382;11;1;2;6;15;34
0;383;7;1;3;5;9;22
0;384;8;1;1;3;11;28
0;385;4;1;1;2;4;14
0;401;8;2;4;6;8;22
0;403;3;1;2;3;3;5
0;404;3;1;1;2;3;5
0;405;20;1;3;8;26;74
0;420;7;1;3;4;7;18
0;421;7;1;1;3;8;24
0;422;9;1;2;5;11;27
0;423;6;1;1;3;6;20
0;424;6;1;2;3;7;21
0;425;10;1;3;7;12;28
0;440;16;7;10;13;18;36
0;441;15;1;6;13;19;39
0;442;8;2;4;6;9;20
0;443;5;1;1;2;5;17
0;444;3;1;1;1;2;12
0;445;4;1;1;2;4;16
0;446;3;1;1;2;3;7
0;447;14;1;2;5;15;57
