vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;001;38;11;14;25;43;102
0;002;45;17;22;29;51;138
0;003;28;4;19;24;32;61
0;004;62;4;28;51;86;158
0;005;58;15;30;48;76;138
0;006;30;14;22;26;41;59
0;020;22;1;7;13;28;71
0;021;18;4;7;10;18;61
0;022;17;2;4;7;20;64
0;023;11;1;2;4;9;44
0;024;9;2;3;4;7;29
0;026;6;1;2;2;4;23
0;040;13;1;3;7;15;45
0;041;13;1;4;8;16;40
0;042;18;1;6;12;22;51
0;043;5;1;2;3;5;16
0;044;16;1;2;8;17;63
0;045;17;2;5;9;18;66
0;046;9;1;3;6;11;29
0;047;7;1;3;5;8;21
0;048;8;1;2;4;9;25
0;049;18;2;6;11;18;60
0;050;13;1;4;8;15;36
0;051;4;1;2;3;5;10
0;052;8;1;1;4;10;29
0;053;5;1;1;2;5;19
0;054;3;1;1;2;4;9
0;055;12;1;3;6;14;41
0;056;9;1;2;4;10;36
0;057;2;1;1;1;2;7
0;058;5;1;1;1;3;19
0;070;4;1;1;2;5;9
0;073;2;1;1;1;2;3
0;080;8;1;3;5;8;26
0;082;5;1;1;3;6;18
0;089;5;1;2;2;3;18
0;090;26;2;12;19;31;72
0;091;10;1;2;4;12;32
0;092;3;1;1;2;3;6
0;093;2;1;1;2;2;3
0;095;2;1;1;2;3;5
0;097;2;1;1;1;2;4
0;098;2;1;1;2;2;5
0;110;9;1;2;4;11;34
0;111;5;1;2;3;6;15
0;113;3;1;2;3;4;8
0;114;4;1;1;2;4;14
0;115;1;1;1;1;1;3
0;120;15;5;8;10;15;38
0;121;11;1;3;7;14;36
0;130;26;6;12;20;32;69
0;131;9;1;3;8;14;19
0;132;8;1;2;5;10;24
0;133;10;1;2;7;13;28
0;134;10;2;5;8;12;27
0;135;10;1;3;6;13;31
0;136;10;1;3;7;14;32
0;137;15;2;7;11;19;39
0;138;4;1;2;4;5;9
0;139;10;2;4;7;12;28
0;140;11;1;5;8;13;30
0;141;5;1;2;4;6;13
0;142;10;1;3;7;13;28
0;143;7;1;2;4;8;23
0;144;6;1;1;3;7;19
0;160;15;6;8;10;16;40
0;161;8;1;2;3;9;32
0;162;24;6;11;17;29;61
0;163;15;7;9;11;15;38
0;165;18;7;10;14;19;43
0;166;12;7;8;10;13;25
0;167;9;1;2;6;11;28
0;169;15;2;7;9;15;43
0;170;13;1;3;9;17;34
0;171;6;1;2;4;7;19
0;173;7;1;2;3;7;28
0;174;5;1;2;4;6;15
0;175;3;1;1;2;2;8
0;176;3;1;2;2;2;7
0;177;5;1;2;3;5;19
0;180;5;1;1;2;2;23
0;190;7;1;2;4;8;22
0;191;5;1;2;2;5;16
0;192;2;1;1;2;2;6
0;193;24;1;8;18;35;60
0;194;12;2;6;9;15;32
0;196;4;1;1;1;3;15
0;197;8;1;2;4;9;25
0;198;5;1;1;3;5;15
0;199;6;1;2;4;7;17
0;200;8;1;2;4;9;25
0;201;6;1;2;3;6;18
0;203;3;1;1;2;3;8
0;204;6;1;1;3;7;19
0;205;8;1;3;6;10;24
0;206;8;1;2;4;9;33
0;207;7;1;2;4;8;22
0;220;14;2;4;9;17;44
0;221;15;4;7;10;17;43
0;222;5;1;2;3;5;14
0;223;9;2;4;7;10;25
0;224;9;1;3;6;11;28
0;225;3;1;2;3;4;8
0;226;3;1;1;2;3;7
0;227;5;1;2;4;6;12
0;228;2;1;1;2;2;5
0;229;11;1;2;5;12;38
0;240;9;1;3;5;12;31
0;241;6;1;2;4;8;20
0;242;7;1;2;4;9;24
0;243;5;1;1;2;5;17
0;244;6;1;3;4;7;15
0;245;6;1;2;4;8;19
0;246;9;1;3;6;10;23
0;247;7;1;3;5;9;22
0;248;7;1;3;4;8;23
0;249;4;1;2;3;5;13
0;251;3;1;1;2;3;9
0;252;7;1;2;4;8;22
0;253;7;1;2;4;9;22
0;254;5;1;1;2;5;15
0;260;15;2;6;10;16;44
0;261;15;2;6;10;20;48
0;262;9;2;3;6;10;33
0;263;3;1;2;2;3;8
0;264;11;1;2;6;14;37
0;279;11;1;3;7;13;34
0;280;13;1;4;9;16;39
0;281;10;1;2;6;12;29
0;282;8;1;3;6;9;20
0;283;7;1;2;4;8;22
0;284;7;1;2;5;8;20
0;301;14;4;6;8;14;45
