vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;092;3;35;15;17;27;48;80
0;092;4;59;14;55;62;84;88
0;093;1;45;18;32;45;57;72
0;093;2;55;17;43;58;69;82
0;093;3;44;3;21;47;66;79
0;093;4;38;5;12;33;63;81
0;095;1;4;0;0;1;5;20
0;095;2;5;0;0;0;2;51
0;095;3;4;0;1;6;6;8
0;097;1;26;3;17;25;35;53
0;097;2;28;2;10;28;39;65
0;097;3;30;2;4;19;59;79
0;097;4;49;2;22;58;76;77
0;098;1;39;8;24;38;54;71
0;098;2;48;4;32;53;66;81
0;098;3;56;3;47;63;72;87
0;098;4;59;12;51;63;73;82
0;110;1;63;44;58;64;70;83
0;110;2;64;47;58;64;71;83
0;110;3;64;46;58;65;72;84
0;110;4;64;49;57;62;69;85
0;111;1;59;27;48;61;74;86
0;111;2;72;41;64;75;83;90
0;111;3;76;52;68;79;85;92
0;111;4;68;35;59;72;75;95
0;113;1;13;0;0;3;22;61
0;113;2;25;0;1;5;50;86
0;113;3;55;0;15;68;83;92
0;113;4;62;0;54;71;84;93
0;114;1;29;1;7;24;46;73
0;114;2;36;1;3;32;66;86
0;114;3;55;4;37;60;77;90
0;114;4;59;7;37;66;78;92
0;115;1;52;24;44;53;62;75
0;115;2;54;22;45;56;66;79
0;115;3;64;3;55;69;80;91
0;115;4;61;0;54;68;83;94
0;120;1;59;22;54;63;69;78
0;120;2;62;24;55;66;72;81
0;120;3;67;38;60;69;76;88
0;120;4;67;41;61;70;77;86
0;121;1;55;17;43;60;69;81
0;121;2;62;25;56;66;74;85
0;121;3;67;37;61;70;78;88
0;121;4;68;42;60;70;77;87
0;130;1;51;0;43;62;66;69
0;130;2;63;0;60;69;78;87
0;130;3;64;0;59;69;78;87
0;130;4;67;36;61;70;78;87
0;131;1;19;0;3;18;29;56
0;131;2;23;0;13;20;32;51
0;131;3;28;8;19;27;36;50
0;131;4;32;10;20;31;40;70
0;132;1;1;0;0;1;2;5
0;132;2;4;0;0;1;2;26
0;132;3;3;0;0;1;2;12
0;132;4;5;0;0;2;4;28
0;133;1;45;2;18;53;68;90
0;133;2;64;1;59;71;82;93
0;133;3;71;35;64;76;83;92
0;133;4;70;16;64;74;85;91
0;134;1;59;27;46;60;73;86
0;134;2;68;36;58;71;81;90
0;134;3;73;44;65;76;85;93
0;134;4;73;49;66;76;84;92
0;135;1;66;28;53;68;82;92
0;135;2;61;26;49;62;77;91
0;135;3;75;44;66;80;87;94
0;135;4;72;31;61;80;86;92
0;136;1;66;50;60;66;72;84
0;136;2;70;51;63;70;77;87
0;136;3;71;52;64;71;79;88
0;136;4;69;52;62;69;77;86
0;137;1;41;0;14;42;63;87
0;137;2;66;6;56;73;84;92
0;137;3;74;36;66;79;87;94
0;137;4;74;40;65;78;86;94
0;138;1;1;0;0;0;0;2
0;138;2;2;0;0;0;1;3
0;138;3;3;0;0;0;0;3
0;138;4;18;0;0;0;2;88
0;139;1;32;0;3;26;61;86
0;139;2;60;1;42;72;85;93
0;139;3;72;5;66;80;87;94
0;139;4;75;43;68;80;87;94
0;140;1;65;45;59;66;74;85
0;140;2;71;50;63;71;80;88
0;140;3;72;53;65;72;80;89
0;140;4;73;55;65;73;81;89
0;141;1;24;1;4;11;41;76
0;141;2;48;2;16;55;74;88
0;141;3;46;2;10;51;75;88
0;141;4;67;4;57;75;86;91
0;142;1;59;23;47;63;73;85
0;142;2;66;35;57;68;80;87
0;142;3;71;44;64;75;82;89
0;142;4;72;45;66;74;84;89
0;143;1;31;0;6;28;50;75
0;143;2;59;0;47;66;77;89
0;143;3;66;19;58;70;81;92
0;143;4;68;30;59;70;81;91
0;144;1;36;0;3;40;57;82
0;144;2;56;0;26;70;83;92
0;144;3;68;2;62;78;86;93
0;144;4;74;18;68;81;87;94
0;160;1;14;0;5;8;15;69
0;160;2;9;0;0;4;7;54
0;160;3;15;0;2;4;5;84
0;160;4;16;0;0;0;5;80
0;161;1;64;40;57;66;73;81
0;161;2;64;35;57;67;75;83
0;161;3;63;31;54;64;74;83
0;161;4;57;39;49;58;68;73
0;162;1;54;24;46;56;65;78
0;162;2;60;25;48;66;72;82
0;162;3;64;34;55;68;75;84
0;162;4;67;39;60;70;76;84
0;163;1;56;3;48;61;72;82
0;163;2;70;48;65;72;79;85
0;163;3;72;50;68;75;80;86
0;163;4;66;0;63;73;79;86
0;165;1;61;46;62;63;65;70
0;165;2;67;48;61;68;75;83
0;165;3;69;53;62;71;77;84
0;165;4;69;51;62;70;76;85
0;166;1;65;50;59;65;71;80
0;166;2;68;52;62;69;75;82
0;166;3;69;53;62;70;76;83
0;166;4;71;54;65;71;77;85
0;167;1;59;11;51;62;72;84
0;167;2;64;18;57;68;78;87
0;167;3;59;0;52;68;77;86
0;167;4;55;0;38;68;78;87
0;169;1;66;48;59;66;72;83
0;169;2;68;50;62;69;75;85
0;169;3;70;52;64;71;78;87
0;169;4;71;52;64;71;78;86
0;170;1;77;59;69;80;85;92
0;170;2;78;61;73;80;86;92
0;170;3;81;65;75;83;87;93
0;170;4;77;62;68;78;85;89
0;171;1;76;55;70;78;84;90
0;171;2;79;60;73;80;85;92
0;171;3;80;61;75;82;87;93
0;171;4;81;65;75;83;88;94
0;174;1;60;43;53;60;68;76
0;174;2;70;47;60;71;81;89
0;174;3;71;49;61;72;81;90
0;174;4;71;49;63;72;82;89
0;175;1;63;34;56;64;72;82
0;175;2;68;46;61;70;77;85
0;175;3;70;47;62;72;81;88
0;175;4;78;56;73;81;86;91
0;176;1;77;53;72;81;87;93
0;176;2;75;42;68;78;85;93
0;176;3;69;37;60;72;81;88
0;176;4;63;13;51;70;84;92
0;177;1;71;45;63;73;80;89
0;177;2;73;45;66;75;83;90
0;177;3;74;56;68;76;82;88
0;177;4;69;47;60;69;78;83
0;180;1;61;33;51;62;72;83
0;180;2;68;37;61;71;80;88
0;180;3;72;41;65;75;84;91
0;180;4;73;50;66;74;82;90
0;181;1;69;52;62;70;77;87
0;181;2;72;54;65;72;80;89
0;181;3;74;53;66;75;83;91
0;181;4;75;54;68;77;84;91
0;182;1;61;22;52;66;75;85
0;182;2;68;36;61;71;79;87
0;182;3;64;6;57;70;79;88
0;182;4;65;2;59;71;80;89
0;190;1;66;44;56;66;76;89
0;190;2;72;47;62;74;83;91
0;190;3;78;54;71;81;87;94
0;190;4;78;53;70;80;88;95
0;191;1;67;49;60;67;75;84
0;191;2;70;52;64;72;78;85
0;191;3;72;54;66;73;80;86
0;191;4;73;60;68;74;80;88
0;192;1;62;31;54;64;74;84
0;192;2;69;43;62;72;79;86
0;192;3;70;45;63;73;80;87
0;192;4;71;46;66;73;81;88
0;193;1;58;9;45;64;80;86
0;193;2;65;9;54;74;82;89
0;193;3;69;41;61;72;81;89
0;193;4;68;23;63;71;81;88
0;194;1;79;53;71;82;88;94
0;194;2;81;60;75;83;88;94
0;194;3;81;61;76;84;88;94
0;194;4;81;62;75;83;88;94
0;196;1;67;20;57;72;83;91
0;196;2;70;26;61;74;85;93
0;196;3;70;34;62;74;84;91
0;196;4;69;29;61;72;81;90
0;197;1;63;18;53;67;78;89
0;197;2;71;41;62;73;83;91
0;197;3;72;42;62;75;85;93
0;197;4;73;37;64;76;86;92
0;198;1;66;44;57;65;76;87
0;198;2;72;49;64;74;82;90
0;198;3;77;54;71;80;86;92
0;198;4;76;46;67;82;86;94
0;199;1;66;36;55;68;79;88
0;199;2;72;41;63;75;84;91
0;199;3;76;44;69;80;87;93
0;199;4;77;50;71;80;87;93
0;200;1;60;0;45;73;84;90
0;200;2;73;0;71;81;87;94
0;200;3;77;17;75;84;89;95
0;200;4;77;14;76;85;89;95
0;201;1;64;27;56;68;77;87
0;201;2;74;48;67;76;83;91
0;201;3;78;56;71;80;86;93
0;201;4;80;60;74;82;88;94
0;203;1;57;22;46;57;70;85
0;203;2;67;33;57;70;81;90
0;203;3;72;37;63;77;86;94
0;203;4;80;57;72;84;87;95
0;204;1;56;8;34;62;79;89
0;204;2;72;21;67;79;85;92
0;204;3;79;56;74;82;88;93
0;204;4;81;62;76;84;88;93
0;205;1;58;17;48;61;71;91
0;205;2;63;22;50;66;80;91
0;205;3;73;40;64;77;85;91
0;205;4;70;33;61;77;83;94
0;206;1;65;34;54;68;76;87
0;206;2;67;34;59;70;80;88
0;206;3;64;15;55;68;79;88
0;206;4;65;16;56;70;81;87
0;207;1;58;13;39;62;79;90
0;207;2;65;21;54;70;81;90
0;207;3;70;31;62;74;83;92
0;207;4;70;38;63;74;83;91
0;220;1;52;23;39;52;65;79
0;220;2;56;24;44;57;71;86
0;220;3;63;33;54;64;75;86
0;220;4;68;45;60;70;78;87
0;221;1;58;23;47;60;70;83
0;221;2;66;34;57;68;77;87
0;221;3;69;39;61;72;81;89
0;221;4;71;43;63;73;82;90
0;222;1;35;0;2;40;57;74
0;222;2;44;0;29;49;63;82
0;222;3;57;2;45;62;76;88
0;222;4;65;15;58;69;80;91
0;223;1;54;16;42;57;69;81
0;223;2;61;21;52;66;75;86
0;223;3;65;24;56;70;80;90
0;223;4;67;30;57;71;80;92
0;224;1;52;24;40;52;65;83
0;224;2;61;28;49;63;74;87
0;224;3;68;30;60;72;82;93
0;224;4;74;51;67;77;85;94
0;225;1;29;8;15;26;40;62
0;225;2;36;7;17;32;53;73
0;225;3;47;4;18;54;72;87
0;225;4;54;3;19;67;79;93
0;226;1;50;24;39;50;62;79
0;226;2;60;22;49;62;75;88
0;226;3;69;42;58;71;83;92
0;226;4;73;45;64;75;84;98
0;227;1;56;30;45;57;67;80
0;227;2;63;37;54;65;74;83
0;227;3;67;39;57;68;78;88
0;227;4;72;44;65;75;83;92
0;228;1;58;24;48;61;72;84
0;228;2;68;38;60;72;80;88
0;228;3;73;45;66;77;83;90
0;228;4;71;17;66;76;85;92
0;229;1;50;22;37;51;64;80
0;229;2;62;31;52;65;74;85
0;229;3;66;36;57;68;79;88
0;229;4;66;43;58;68;77;87
0;240;1;70;49;61;71;81;90
0;240;2;73;50;65;74;83;90
0;240;3;72;49;64;73;82;91
0;240;4;71;46;62;72;81;89
0;241;1;44;2;23;46;64;83
0;241;2;64;12;53;70;82;90
0;241;3;72;39;65;76;84;91
0;241;4;77;52;70;81;86;93
0;242;1;40;2;22;40;60;82
0;242;2;59;4;45;65;79;91
0;242;3;63;7;53;68;80;89
0;242;4;64;12;53;68;78;94
0;243;1;30;0;0;14;62;82
0;243;2;56;0;44;65;78;89
0;243;3;68;19;60;72;84;92
0;243;4;73;52;64;74;85;93
0;244;1;61;37;50;60;71;85
0;244;2;71;45;62;73;83;90
0;244;3;78;57;70;81;87;93
0;244;4;79;55;72;82;87;95
0;245;1;40;13;26;38;54;74
0;245;2;47;14;27;46;67;84
0;245;3;54;14;31;57;73;88
0;245;4;57;16;40;62;73;89
0;246;1;67;37;57;68;79;90
0;246;2;74;46;66;77;85;92
0;246;3;77;54;71;81;87;93
0;246;4;79;62;71;82;88;94
0;247;1;49;3;26;56;72;87
0;247;2;66;7;57;74;84;92
0;247;3;74;37;67;79;87;94
0;247;4;76;44;69;80;87;94
0;248;1;27;0;6;21;42;74
0;248;2;45;1;12;50;71;87
0;248;3;67;11;60;73;83;92
0;248;4;70;41;61;71;83;93
0;249;1;20;0;1;7;34;75
0;249;2;37;0;2;27;73;88
0;249;3;66;2;58;74;84;92
0;249;4;67;3;60;73;83;92
0;251;1;39;7;21;37;55;80
0;251;2;56;11;37;59;76;88
0;251;3;68;26;57;74;83;92
0;251;4;69;47;59;69;80;86
0;252;1;48;19;33;49;62;80
0;252;2;54;12;41;56;69;85
0;252;3;57;8;48;62;72;85
0;252;4;58;24;46;61;71;85
0;253;1;53;2;32;60;76;88
0;253;2;71;26;65;77;86;92
0;253;3;76;47;69;80;87;94
0;253;4;74;38;65;78;88;92
0;254;1;48;2;15;55;73;87
0;254;2;66;14;58;71;81;89
0;254;3;71;22;63;76;85;92
0;254;4;71;22;63;74;84;95
0;260;1;60;33;51;62;70;80
0;260;2;63;36;55;65;73;82
0;260;3;65;42;57;66;74;82
0;260;4;65;40;58;68;74;83
0;261;1;65;31;55;69;79;88
0;261;2;68;37;58;71;80;90
0;261;3;70;42;61;73;83;89
0;261;4;69;44;61;70;81;88
0;262;1;61;30;52;65;72;83
0;262;2;68;40;61;70;77;88
0;262;3;69;45;62;70;79;88
0;262;4;70;47;61;71;81;88
0;263;1;52;25;39;52;65;80
0;263;2;59;27;45;61;73;85
0;263;3;68;35;58;70;81;88
0;263;4;76;53;69;77;86;91
0;264;1;60;27;49;62;72;85
0;264;2;64;36;54;65;76;87
0;264;3;66;39;58;66;76;88
0;264;4;66;45;57;66;75;87
0;279;1;46;20;33;44;58;78
0;279;2;58;28;47;61;69;82
0;279;3;63;34;56;65;74;84
0;279;4;65;44;58;65;74;87
0;280;1;55;36;47;55;64;72
0;280;2;58;39;50;59;66;75
0;280;3;60;40;53;60;67;77
0;280;4;60;41;53;60;67;77
0;281;1;68;47;61;70;78;87
0;281;2;71;49;63;72;80;89
0;281;3;72;50;63;72;81;90
0;281;4;71;49;64;71;79;89
0;282;1;50;24;39;50;61;78
0;282;2;57;28;44;56;69;86
0;282;3;60;30;48;59;73;89
0;282;4;63;31;51;63;77;90
0;283;1;44;0;27;49;62;79
0;283;2;55;9;40;58;72;85
0;283;3;63;18;56;66;77;87
