vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3474;50500837;23467375;29207211;3485197;10544987
0;01;117757;315875432;26261602;91121267;5451548;47438310
0;02;20622;21129045;1405616;14999252;223117;6801819
0;03;66531;65539653;7601081;34724844;944609;18413017
0;04;125935;357702548;53554927;82515820;8682433;46058041
0;05;196708;421554361;63046144;243014435;12841988;204024328
0;06;177628;326955725;51419517;109319027;7357827;64130943
0;07;45226;107537347;21209976;37233801;3015376;21746525
0;08;212803;521475312;40476488;174927259;5543697;162005711
0;09;52476;104704639;10000882;30359563;1308502;15887724
0;10;44795;92524802;8133005;26122770;2002329;14586519
0;11;64653;123733439;17042571;41623861;2777810;21119694
0;12;26132;47149663;5706885;20195232;650003;9258412
0;13;46836;65811830;7186886;29955431;782001;16697141
0;14;124752;185694608;7176773;67404852;2733977;30118968
0;15;7013;28462606;1421767;9709611;689174;3086838
0;16;14292;29765004;9517909;6266980;889777;7185571
0;17;37619;73105441;43243162;13695448;2076590;18616358
0;18;18833;49196187;10675334;10530420;1541869;7558543
0;19;35517;119756929;4031096;16809254;1259019;13259042
0;20;12720;25943822;910991;4402659;487214;3546829
0;21;24156;40562526;4666345;9966514;1011083;7320210
0;22;886;4068503;361439;516382;68177;352603
0;23;41130;84252252;4918960;18271181;1020737;13987794
0;24;790;3547648;823381;585037;106386;436834
0;25;1626;11144363;2101082;4532936;365074;2048784
0;FF;11657;66310541;9417923;17902731;1338000;10486993
