vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;001;1;A;1;33.72;33.72;33.72;33.72;33.72;33.72
0;-p;001;1;B;1;1090.09;1090.09;1090.09;1090.09;1090.09;1090.09
0;-p;001;1;C;1;25.88;25.88;25.88;25.88;25.88;25.88
0;-p;001;1;D;1;4.96;4.96;4.96;4.96;4.96;4.96
0;-p;001;1;H;1;76.36;76.36;76.36;76.36;76.36;76.36
0;-p;001;1;J;1;116.33;116.33;116.33;116.33;116.33;116.33
0;-p;001;1;L;1;888.2;888.2;888.2;888.2;888.2;888.2
0;-p;001;1;M;1;28.04;28.04;28.04;28.04;28.04;28.04
0;-p;001;1;N;1;171.12;171.12;171.12;171.12;171.12;171.12
0;-p;001;1;R;1;6.92;6.92;6.92;6.92;6.92;6.92
0;-p;001;1;V;1;692.9;692.9;692.9;692.9;692.9;692.9
0;-p;001;2;A;28;1254.92;9.88;20.38;41.62;64.18;90.88
0;-p;001;2;B;28;32172.95;158.76;259.93;542.08;1078.1;4595.95
0;-p;001;2;C;27;1097.24;0.24;5;9.28;31.36;207.24
0;-p;001;2;D;5;26.08;1.92;4.64;4.64;4.96;9.92
0;-p;001;2;H;28;3444.64;5.08;35.26;99.94;148.32;367.48
0;-p;001;2;J;28;37024.91;49.6;202.24;642.78;1285.03;5336.79
0;-p;001;2;L;28;44119.21;69.33;188.91;311.61;640.76;11576.91
0;-p;001;2;M;28;1012.24;16.08;20.84;32.12;47.66;69.6
0;-p;001;2;N;28;6316.4;30.72;81.68;184.04;261;664
0;-p;001;2;P;1;20.68;20.68;20.68;20.68;20.68;20.68
0;-p;001;2;R;15;142.62;0.12;2.08;8.8;9.8;38.84
0;-p;001;2;V;14;3400.76;5.92;58.88;120.95;277.16;1389.92
0;-p;001;3;A;40;2132.24;9.38;29.08;42.7;66.64;116.42
0;-p;001;3;B;41;65391.29;178.79;586.71;1275.3;1847.74;3412.88
0;-p;001;3;C;41;801.6;0.76;3.36;9.52;20.2;44.52
0;-p;001;3;D;14;182.52;1.8;4.64;4.64;4.96;114.88
0;-p;001;3;G;2;3.48;0.88;0.88;1.74;2.6;2.6
0;-p;001;3;H;40;2534.76;10.74;20.58;33.04;57.24;244.64
0;-p;001;3;J;41;144118.47;53.28;137.53;346.94;1707.97;22307.38
0;-p;001;3;L;40;41528.89;155.1;287.15;391.41;896.19;5303.88
0;-p;001;3;M;38;1484.88;14.44;18.68;28.04;42.96;136.36
0;-p;001;3;N;41;7924.48;20.96;56.8;144.48;224.16;590.4
0;-p;001;3;R;22;208.73;0.2;1.28;8.48;11.88;29.84
0;-p;001;3;V;27;12551.48;11.2;131.6;289.64;692.92;1385.84
0;-p;001;4;A;136;22604.56;19.28;47.92;85.64;209.1;563
0;-p;001;4;B;136;488295.9;343.1;1040.94;2456.37;4787.47;10894.67
0;-p;001;4;C;132;9469.62;1.6;6.3;20.82;59.02;274.28
0;-p;001;4;D;31;313.36;1.8;4.64;4.96;9.24;47.64
0;-p;001;4;G;3;7.6;0.04;0.04;1.64;5.92;5.92
0;-p;001;4;H;135;67441.6;14.92;32.44;99.68;283.2;3429.75
0;-p;001;4;J;136;741682.26;113.67;461.8;1319.66;5795.72;22126.11
0;-p;001;4;L;132;194515.79;79.41;296.56;726.03;1733.92;6464.05
0;-p;001;4;M;128;10855.96;9.36;23.32;41.44;71.76;213.6
0;-p;001;4;N;136;53357.64;31.04;110.5;234.36;476.5;1439.32
0;-p;001;4;P;8;203.12;10.36;10.46;14.84;38.24;65.68
