vrai_hop;rmdc;rdrg;SI;ATC1;ATC4;Nfarm;Sum
0;08;300;1;A;A01AB;1;3.22
0;08;300;1;A;A02BA;17;261.51
0;08;300;1;A;A02BC;5;285.44
0;08;300;1;A;A03FA;16;47.07
0;08;300;1;A;A04AA;1;46.26
0;08;300;1;A;A07DA;1;0.1
0;08;300;1;A;A10AB;1;15.17
0;08;300;1;A;A10AD;1;15
0;08;300;1;A;A10BA;1;7.96
0;08;300;1;A;A10BB;2;3.35
0;08;300;1;B;B01AB;32;3015.87
0;08;300;1;B;B02AA;18;24.16
0;08;300;1;B;B05AA;26;1221.28
0;08;300;1;B;B05BA;25;426.63
0;08;300;1;B;B05BB;32;1830.93
0;08;300;1;B;B05CB;11;114.43
0;08;300;1;B;B05XA;1;3.4
0;08;300;1;C;C01AA;5;4.69
0;08;300;1;C;C01DA;1;18
0;08;300;1;C;C02AC;11;18.39
0;08;300;1;C;C03CA;5;10.85
0;08;300;1;C;C03EA;1;1.78
0;08;300;1;C;C07AB;3;5.25
0;08;300;1;C;C07BB;1;11.96
0;08;300;1;C;C07FB;1;4.16
0;08;300;1;C;C08CA;5;58.36
0;08;300;1;C;C08DB;1;13.88
0;08;300;1;C;C09AA;2;5.77
0;08;300;1;C;C10AA;2;15.09
0;08;300;1;C;C10AB;1;10.46
0;08;300;1;D;D03AX;3;62.02
0;08;300;1;H;H02AB;8;72.27
0;08;300;1;H;H03AA;1;1.59
0;08;300;1;J;J01CF;1;24.46
0;08;300;1;J;J01CR;3;286.16
0;08;300;1;J;J01DA;32;1645.43
0;08;300;1;J;J01EE;1;4.39
0;08;300;1;J;J01GB;2;104.46
0;08;300;1;J;J01MA;4;236.02
0;08;300;1;J;J01XE;1;0.57
0;08;300;1;J;J04AB;7;74.87
0;08;300;1;J;J07BB;1;5.43
0;08;300;1;L;L01AA;1;13.58
0;08;300;1;L;L01BA;1;0.53
0;08;300;1;L;L02BB;1;632.97
0;08;300;1;M;M01AB;15;128.56
0;08;300;1;M;M01AC;11;57.77
0;08;300;1;M;M01AE;3;16.37
0;08;300;1;M;M03AB;1;0.3
0;08;300;1;M;M03AC;28;317.34
0;08;300;1;N;N01AB;20;517.64
0;08;300;1;N;N01AH;28;186.36
0;08;300;1;N;N01AX;30;1059.25
0;08;300;1;N;N02AB;1;0.3
0;08;300;1;N;N02AC;20;47.53
0;08;300;1;N;N02AX;15;244.97
0;08;300;1;N;N02BA;1;0.44
0;08;300;1;N;N02BE;32;551.22
0;08;300;1;N;N03AB;1;4.88
0;08;300;1;N;N04BA;1;4.29
0;08;300;1;N;N05AD;6;8.42
0;08;300;1;N;N05AH;1;219.41
0;08;300;1;N;N05AX;1;104.6
0;08;300;1;N;N05CD;14;33.09
0;08;300;1;N;N06AB;2;33.43
0;08;300;1;N;N06AX;1;40.95
0;08;300;1;R;R03AC;3;8.03
0;08;300;1;R;R03AK;3;10.78
0;08;300;1;R;R03BB;3;23.36
0;08;300;1;R;R05CB;2;8.34
0;08;300;1;R;R06AD;1;0.4
0;08;300;1;R;R06AE;3;15.5
0;08;300;1;R;R06AX;1;0.17
0;08;300;1;S;S03AA;2;6.76
0;08;300;1;V;V08AA;1;4.26
0;08;300;1;V;V08AB;4;296.12
0;08;300;2;A;A02BA;34;549.69
0;08;300;2;A;A02BC;3;150.16
0;08;300;2;A;A03BB;4;0.58
0;08;300;2;A;A03FA;41;125.87
0;08;300;2;A;A04AA;9;219.78
0;08;300;2;A;A07AA;1;8.43
0;08;300;2;A;A07DA;3;0.79
0;08;300;2;A;A10AB;2;18.67
0;08;300;2;A;A10AD;1;5.01
0;08;300;2;A;A10BA;4;13.59
0;08;300;2;A;A10BB;2;23.21
0;08;300;2;B;B01AA;2;1.87
0;08;300;2;B;B01AB;62;8001.62
0;08;300;2;B;B01AC;2;3.18
0;08;300;2;B;B02AA;33;70.54
0;08;300;2;B;B02AB;1;24.3
0;08;300;2;B;B05AA;60;2760.9
0;08;300;2;B;B05BA;54;1026.38
0;08;300;2;B;B05BB;62;4366.66
0;08;300;2;B;B05CB;27;289.07
0;08;300;2;B;B05CX;1;45.12
0;08;300;2;B;B05XA;1;4.09
0;08;300;2;C;C01AA;2;3.37
0;08;300;2;C;C01BD;2;6.24
0;08;300;2;C;C01BG;1;19.19
0;08;300;2;C;C01CA;1;7.96
0;08;300;2;C;C01DA;1;0.32
0;08;300;2;C;C01DX;2;16.81
0;08;300;2;C;C02AC;19;22.25
0;08;300;2;C;C02CA;3;14.65
0;08;300;2;C;C03BA;1;3.32
0;08;300;2;C;C03CA;12;16.69
0;08;300;2;C;C03DA;2;6.25
0;08;300;2;C;C03EA;7;47.08
0;08;300;2;C;C07AA;6;15.34
0;08;300;2;C;C07AB;11;42.91
0;08;300;2;C;C07AG;3;48.41
0;08;300;2;C;C07BB;1;9.37
0;08;300;2;C;C08CA;11;283.56
0;08;300;2;C;C09AA;4;100.27
0;08;300;2;C;C09BA;1;30.93
0;08;300;2;C;C09CA;1;72.54
0;08;300;2;C;C10AA;4;51.13
0;08;300;2;C;C10AB;1;5.25
0;08;300;2;D;D01AC;1;1.66
0;08;300;2;D;D03AX;17;293.26
0;08;300;2;D;D06BA;1;1.96
0;08;300;2;G;G04BD;2;31.84
0;08;300;2;G;G04CA;2;35.59
0;08;300;2;H;H02AB;8;110.55
0;08;300;2;H;H03AA;4;1.6
0;08;300;2;J;J01AA;1;6.98
0;08;300;2;J;J01CA;1;495.67
0;08;300;2;J;J01CF;3;1948.79
0;08;300;2;J;J01CR;5;239.53
0;08;300;2;J;J01DA;58;2851.85
0;08;300;2;J;J01DH;1;188.6
0;08;300;2;J;J01FA;1;22
0;08;300;2;J;J01FF;2;136.22
0;08;300;2;J;J01GB;5;980.5
0;08;300;2;J;J01MA;13;1888.78
0;08;300;2;J;J01XD;2;18.34
0;08;300;2;J;J01XE;7;9.5
0;08;300;2;J;J01XX;1;5.3
0;08;300;2;J;J02AC;1;7.51
0;08;300;2;J;J04AB;6;44.88
0;08;300;2;J;J07BB;1;5.43
0;08;300;2;L;L01BA;2;8.53
0;08;300;2;M;M01AB;42;360.46
0;08;300;2;M;M01AC;10;48.68
0;08;300;2;M;M01AE;8;21.39
0;08;300;2;M;M01AX;2;10.83
0;08;300;2;M;M03AB;2;1.01
0;08;300;2;M;M03AC;53;585.76
0;08;300;2;M;M04AA;2;9.1
0;08;300;2;M;M05BA;2;111.16
0;08;300;2;N;N01AB;45;1875
0;08;300;2;N;N01AH;54;383.65
0;08;300;2;N;N01AX;49;1147.32
0;08;300;2;N;N02AB;3;5.16
0;08;300;2;N;N02AC;43;97.42
0;08;300;2;N;N02AD;1;0.5
0;08;300;2;N;N02AX;28;511.33
0;08;300;2;N;N02BE;58;1191.75
0;08;300;2;N;N04AA;1;4.34
0;08;300;2;N;N05AD;17;37.08
0;08;300;2;N;N05AX;2;5.53
0;08;300;2;N;N05CD;22;57.02
0;08;300;2;N;N06AA;3;7.25
0;08;300;2;N;N06AB;9;204.28
0;08;300;2;N;N06AX;6;21.02
0;08;300;2;R;R03AC;3;5.58
0;08;300;2;R;R03AK;7;38.86
0;08;300;2;R;R03BA;4;170.46
0;08;300;2;R;R03BB;4;8.62
0;08;300;2;R;R03BC;1;3
0;08;300;2;R;R05CB;3;12.06
0;08;300;2;R;R06AD;1;0.4
0;08;300;2;R;R06AE;6;14.3
0;08;300;2;S;S03AA;1;1.88
0;08;300;2;V;V03AB;2;5.44
0;08;300;2;V;V07AB;3;17.94
0;08;300;2;V;V08AA;3;27.78
0;08;300;2;V;V08AB;1;48.59
0;08;300;3;A;A01AB;1;3.6
0;08;300;3;A;A02BA;68;1515.16
0;08;300;3;A;A02BC;10;857.08
0;08;300;3;A;A03AA;1;0.25
0;08;300;3;A;A03BB;3;0.73
0;08;300;3;A;A03FA;62;164.85
0;08;300;3;A;A04AA;8;150.3
0;08;300;3;A;A06AD;4;26.43
0;08;300;3;A;A07AA;3;16.93
0;08;300;3;A;A07DA;10;6.58
0;08;300;3;A;A07EC;3;47.5
0;08;300;3;A;A10AB;10;215.75
0;08;300;3;A;A10AC;2;12.5
0;08;300;3;A;A10AD;4;76.5
0;08;300;3;A;A10BA;4;7.78
0;08;300;3;A;A10BB;5;39.56
0;08;300;3;A;A11CC;1;4.58
0;08;300;3;B;B01AA;9;7.94
0;08;300;3;B;B01AB;96;14041.1
0;08;300;3;B;B01AC;3;72.05
0;08;300;3;B;B02AA;30;65.53
0;08;300;3;B;B02AB;3;1224.69
0;08;300;3;B;B02BD;1;861.59
0;08;300;3;B;B03XA;1;6516.7
0;08;300;3;B;B05AA;86;7601.52
0;08;300;3;B;B05BA;86;6770.2
0;08;300;3;B;B05BB;97;10120.83
0;08;300;3;B;B05BC;1;5.01
0;08;300;3;B;B05CA;3;6.55
0;08;300;3;B;B05CB;38;467.89
0;08;300;3;B;B05CX;1;7.34
0;08;300;3;B;B05XA;3;16.99
0;08;300;3;C;C01AA;10;9.17
0;08;300;3;C;C01BA;1;27.54
0;08;300;3;C;C01BC;1;20.97
0;08;300;3;C;C01BD;7;62.55
0;08;300;3;C;C01CA;10;85.8
0;08;300;3;C;C01DA;17;390.66
0;08;300;3;C;C01DX;10;351.97
0;08;300;3;C;C02AC;18;42.65
0;08;300;3;C;C02CA;6;35.17
0;08;300;3;C;C03BA;2;6.03
0;08;300;3;C;C03CA;36;162.08
0;08;300;3;C;C03DA;11;87.21
0;08;300;3;C;C03EA;9;30.12
0;08;300;3;C;C07AA;6;11.91
0;08;300;3;C;C07AB;17;124.36
0;08;300;3;C;C07AG;7;68.31
0;08;300;3;C;C07BB;1;3.91
0;08;300;3;C;C08CA;19;654.65
0;08;300;3;C;C08DB;3;27.09
0;08;300;3;C;C09AA;16;395.12
0;08;300;3;C;C09BA;2;77.92
0;08;300;3;C;C09CA;4;118.51
0;08;300;3;C;C09DA;2;16.73
0;08;300;3;C;C10AA;3;70.77
0;08;300;3;C;C10AB;4;56.91
0;08;300;3;D;D01AA;1;3.07
0;08;300;3;D;D01AC;6;24.86
0;08;300;3;D;D03AX;35;728.43
0;08;300;3;D;D06BA;1;7.06
0;08;300;3;D;D07AB;1;3.17
0;08;300;3;D;D07AC;1;2.06
0;08;300;3;G;G01AF;5;25.18
0;08;300;3;G;G04BD;2;4.3
0;08;300;3;H;H01AA;1;3.15
0;08;300;3;H;H01BA;1;14.95
0;08;300;3;H;H01CB;1;2880.6
0;08;300;3;H;H02AB;22;488.07
0;08;300;3;H;H03AA;7;22
0;08;300;3;H;H05BA;1;31.5
0;08;300;3;J;J01AA;1;38.57
0;08;300;3;J;J01CA;5;3613.69
0;08;300;3;J;J01CF;7;3602.32
0;08;300;3;J;J01CR;12;3054.75
0;08;300;3;J;J01DA;93;10283.26
0;08;300;3;J;J01DH;3;3152.57
0;08;300;3;J;J01EE;4;20.67
0;08;300;3;J;J01FA;2;139.7
0;08;300;3;J;J01FF;1;556.94
0;08;300;3;J;J01GB;19;2953.71
