vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;001;1;B-107b;3;106;5;5;41;61;61
0;001;1;B-108b;2;134;67;67;67;67;67
0;001;1;B-110;4;39;7;7;9;12;14
0;001;1;B-112ap;1;4;4;4;4;4;4
0;001;1;B-127;1;1;1;1;1;1;1
0;001;1;B-132;2;20;10;10;10;10;10
0;001;1;B-134o;1;3;3;3;3;3;3
0;001;2;B-107a;5;64;10;11;12;14;17
0;001;2;B-107b;2;23;2;2;12;21;21
0;001;2;B-108b;4;480;22;67;117;173;223
0;001;2;B-110;5;22;4;4;4;4;7
0;001;2;B-111;8;87;0;5;10;17;25
0;001;2;B-112ap;6;230;20;33;35;48;59
0;001;2;B-116p;5;46;4;6;8;10;17
0;001;2;B-119b;1;3;3;3;3;3;3
0;001;2;B-125o;3;28;1;1;10;17;17
0;001;2;B-125p;1;31;31;31;31;31;31
0;001;2;B-127;1;2;2;2;2;2;2
0;001;2;B-131;7;6;0;0;1;1;2
0;001;2;B-132;3;84;10;10;19;56;56
0;001;2;B-134o;8;97;2;6;13;18;19
0;001;2;B-134p;3;109;9;9;18;82;82
0;001;3;B-105;1;1;1;1;1;1;1
0;001;3;B-106;3;95;5;5;12;78;78
0;001;3;B-107a;37;620;1;11;12;19;68
0;001;3;B-107b;13;237;2;2;8;42;60
0;001;3;B-108b;18;3179;11;112;179;246;469
0;001;3;B-109;1;147;147;147;147;147;147
0;001;3;B-110;17;122;2;2;4;11;32
0;001;3;B-111;31;713;3;7;20;29;70
0;001;3;B-112ap;37;2208;7;33;40;59;220
0;001;3;B-112b;4;607;68;102;140;201;259
0;001;3;B-114;12;3305;65;129;199;309;1152
0;001;3;B-115;1;17;17;17;17;17;17
0;001;3;B-116p;34;457;2;6;8;10;67
0;001;3;B-119b;1;5;5;5;5;5;5
0;001;3;B-121;7;226;9;9;28;47;75
0;001;3;B-124p;16;4235;9;101;140;318;1165
0;001;3;B-125o;17;182;1;5;8;12;32
0;001;3;B-125p;10;420;16;16;31;31;140
0;001;3;B-131;48;57;0;0;1;1;5
0;001;3;B-132;7;161;2;9;15;29;78
0;001;3;B-134o;57;1645;6;12;19;27;112
0;001;3;B-134p;27;11463;9;18;46;91;410
0;001;3;B-259;3;2896;658;658;922;1316;1316
0;001;4;B-106;8;1201;1;7;39;355;397
0;001;4;B-107a;55;1423;1;5;14;31;135
0;001;4;B-107b;20;495;2;9;15;40;68
0;001;4;B-108b;58;21207;11;67;240;435;1420
0;001;4;B-109;20;7308;44;147;272;498;1139
0;001;4;B-110;47;418;2;2;4;9;30
0;001;4;B-111;37;1014;3;7;12;27;144
0;001;4;B-112ap;54;3477;4;29;41;72;223
0;001;4;B-112b;30;7809;17;101;218;374;614
0;001;4;B-112c;2;912;407;407;456;505;505
0;001;4;B-114;53;28119;27;105;326;576;2183
0;001;4;B-115;1;361;361;361;361;361;361
0;001;4;B-116o;1;5;5;5;5;5;5
0;001;4;B-116p;49;3387;4;8;20;65;399
0;001;4;B-118;5;7066;3;3;400;3019;3641
0;001;4;B-119a;13;219;7;7;14;22;44
0;001;4;B-119b;6;418;15;23;90;93;107
0;001;4;B-120;6;156;1;12;17;27;82
0;001;4;B-121;19;4360;9;9;38;498;949
0;001;4;B-123;3;45;4;4;4;37;37
0;001;4;B-124p;67;30535;46;148;314;599;1266
0;001;4;B-125o;35;644;2;4;12;19;72
0;001;4;B-125p;21;2358;15;47;97;187;266
0;001;4;B-126b;10;14;0;0;1;1;5
0;001;4;B-127;1;3;3;3;3;3;3
0;001;4;B-131;57;299;0;1;2;4;28
0;001;4;B-132;41;992;0;6;10;24;98
0;001;4;B-134o;67;23874;6;19;43;124;285
0;001;4;B-134p;58;124912;9;55;200;2139;12264
0;001;4;B-259;16;51609;197;1679;2600;3983;9150
0;002;2;B-106;1;35;35;35;35;35;35
0;002;2;B-107b;1;19;19;19;19;19;19
0;002;2;B-108b;1;257;257;257;257;257;257
0;002;2;B-110;7;85;3;8;13;18;18
0;002;2;B-111;3;32;3;3;5;24;24
0;002;2;B-112b;1;9;9;9;9;9;9
0;002;2;B-112c;1;463;463;463;463;463;463
0;002;2;B-115;1;155;155;155;155;155;155
0;002;2;B-119b;1;5;5;5;5;5;5
0;002;2;B-124p;1;37;37;37;37;37;37
0;002;2;B-125o;2;22;6;6;11;16;16
0;002;2;B-131;5;13;1;2;2;4;4
0;002;2;B-134o;2;12;5;5;6;7;7
0;002;3;B-106;5;696;6;57;123;169;340
0;002;3;B-107b;19;323;1;2;4;23;82
0;002;3;B-108b;16;5725;45;156;234;452;1383
0;002;3;B-109;1;930;930;930;930;930;930
0;002;3;B-110;45;900;4;13;18;28;35
0;002;3;B-111;14;441;3;9;23;48;79
0;002;3;B-112ap;2;405;4;4;202;401;401
0;002;3;B-112b;8;370;9;9;11;41;241
0;002;3;B-112c;4;2357;14;70;309;1108;1726
0;002;3;B-114;12;2815;27;61;196;364;659
0;002;3;B-115;1;206;206;206;206;206;206
0;002;3;B-116p;29;992;8;19;31;50;59
0;002;3;B-119a;10;132;1;7;15;20;22
0;002;3;B-119b;10;142;5;5;5;10;59
0;002;3;B-120;1;57;57;57;57;57;57
0;002;3;B-121;29;724;9;19;19;28;47
0;002;3;B-124p;6;674;33;37;101;199;201
0;002;3;B-125o;3;65;7;7;13;45;45
0;002;3;B-125p;2;93;16;16;47;78;78
0;002;3;B-131;51;76;1;1;2;2;3
0;002;3;B-132;2;75;7;7;38;69;69
0;002;3;B-134o;48;3695;7;9;29;41;75
0;002;3;B-134p;5;23469;9;343;801;916;21400
0;002;3;B-259;1;658;658;658;658;658;658
0;002;4;B-106;11;1391;12;30;129;193;271
0;002;4;B-107a;8;207;2;9;20;40;66
0;002;4;B-107b;43;648;2;2;5;20;61
0;002;4;B-108b;63;26768;22;156;332;603;971
0;002;4;B-109;1;233;233;233;233;233;233
0;002;4;B-110;63;1228;4;11;19;28;35
0;002;4;B-111;30;977;9;12;24;47;76
0;002;4;B-112ap;3;198;30;30;74;95;95
0;002;4;B-112b;38;14421;9;84;321;615;923
0;002;4;B-112c;15;6356;112;253;348;603;800
0;002;4;B-114;52;36336;37;178;437;974;2361
0;002;4;B-115;3;3422;172;172;172;3078;3078
0;002;4;B-116p;68;7484;12;30;48;110;409
0;002;4;B-117;2;50;19;19;25;31;31
0;002;4;B-118;5;3790;3;4;666;1421;1697
0;002;4;B-119a;32;1177;3;15;26;37;107
0;002;4;B-119b;18;128;5;5;5;5;29
0;002;4;B-120;6;442;2;3;4;72;357
0;002;4;B-121;59;13476;19;19;38;160;1616
0;002;4;B-123;1;29;29;29;29;29;29
0;002;4;B-124p;45;13971;28;83;231;369;929
0;002;4;B-125bis;1;274;274;274;274;274;274
0;002;4;B-125o;18;457;1;4;8;16;252
0;002;4;B-125p;18;6205;16;90;189;302;2991
0;002;4;B-131;90;522;1;1;2;4;19
0;002;4;B-132;5;271;7;31;43;72;118
0;002;4;B-134o;79;81926;5;26;44;122;6793
0;002;4;B-134p;27;320234;9;916;5938;12653;50008
0;002;4;B-259;8;12968;922;1152;1382;2106;2765
0;003;1;B-105;48;937;2;11;15;25;54
0;003;1;B-106;1;9;9;9;9;9;9
0;003;1;B-107a;5;47;0;4;4;7;32
0;003;1;B-107b;6;174;2;4;12;34;111
0;003;1;B-108b;39;10830;11;145;257;422;770
0;003;1;B-110;21;119;3;4;6;7;7
0;003;1;B-112ap;5;385;49;59;69;69;138
0;003;1;B-112b;41;12108;43;94;230;377;854
0;003;1;B-112c;50;18179;56;196;281;484;888
0;003;1;B-114;53;17461;19;140;252;410;645
0;003;1;B-115;2;1686;740;740;843;946;946
0;003;1;B-116p;24;1305;13;26;46;71;132
0;003;1;B-118;2;2;1;1;1;1;1
0;003;1;B-119a;2;13;5;5;6;7;7
0;003;1;B-119b;5;529;2;5;10;249;264
0;003;1;B-120;5;26;2;2;6;8;8
0;003;1;B-121;6;73;1;6;13;15;25
0;003;1;B-124p;54;16640;18;129;233;336;959
0;003;1;B-125o;165;2848;1;6;12;23;60
0;003;1;B-125p;31;4720;16;64;140;233;370
0;003;1;B-126b;3;11;3;3;3;4;4
0;003;1;B-127;2;2;0;0;1;1;1
0;003;1;B-131;93;204;0;0;1;2;10
0;003;1;B-132;12;447;1;3;30;71;99
0;003;1;B-134o;234;29271;6;30;58;102;196
0;003;1;B-134p;129;63946;36;109;200;273;2712
0;003;2;B-105;57;1101;3;7;14;27;59
0;003;2;B-106;10;796;3;8;38;99;361
0;003;2;B-107a;14;568;2;28;47;52;70
0;003;2;B-107b;18;398;0;4;8;15;168
0;003;2;B-108b;66;24058;50;212;318;446;826
0;003;2;B-110;5;47;4;4;7;8;25
0;003;2;B-111;1;3;3;3;3;3;3
0;003;2;B-112ap;10;846;20;59;68;109;188
0;003;2;B-112b;57;15314;43;120;188;367;775
0;003;2;B-112c;122;40712;42;182;288;435;772
0;003;2;B-114;198;69964;93;178;272;439;829
0;003;2;B-115;5;2135;103;226;258;619;929
0;003;2;B-116p;73;4193;13;26;52;65;129
0;003;2;B-118;7;13;0;0;2;2;5
0;003;2;B-119a;14;991;1;7;31;147;226
0;003;2;B-119b;9;725;3;44;74;112;190
0;003;2;B-120;1;18;18;18;18;18;18
0;003;2;B-121;6;1076;4;17;53;338;611
0;003;2;B-123;6;29;4;4;4;4;8
0;003;2;B-124p;194;60888;49;150;244;394;731
0;003;2;B-125bis;2;303;138;138;151;165;165
0;003;2;B-125o;276;4222;1;8;12;20;37
0;003;2;B-125p;79;9602;15;60;106;155;241
0;003;2;B-126b;4;10;2;2;3;3;3
0;003;2;B-127;1;2;2;2;2;2;2
0;003;2;B-131;139;486;0;0;1;2;12
0;003;2;B-132;50;1870;1;2;16;68;137
0;003;2;B-134o;374;69534;7;36;60;101;257
0;003;2;B-134p;285;569000;46;109;237;669;10333
0;003;2;B-259;6;5134;132;263;987;1316;1448
0;003;3;B-105;7;56;3;3;8;10;14
0;003;3;B-106;3;945;69;69;253;623;623
0;003;3;B-107a;10;564;1;9;25;86;268
0;003;3;B-107b;3;173;38;38;56;79;79
0;003;3;B-108b;34;11697;45;134;267;462;982
0;003;3;B-109;2;804;299;299;402;505;505
0;003;3;B-110;2;9;4;4;4;5;5
0;003;3;B-112ap;6;645;10;20;30;148;408
0;003;3;B-112b;20;4332;12;62;242;333;466
0;003;3;B-112c;28;9817;42;126;253;554;786
0;003;3;B-114;49;29397;149;274;480;631;1454
0;003;3;B-115;2;550;155;155;275;396;396
0;003;3;B-116p;29;1956;13;33;52;91;129
0;003;3;B-118;1;1;1;1;1;1;1
0;003;3;B-119a;23;1587;7;10;58;108;186
0;003;3;B-119b;3;48;2;2;6;40;40
0;003;3;B-121;4;422;13;13;44;197;319
0;003;3;B-123;1;4;4;4;4;4;4
0;003;3;B-124p;53;23371;17;175;349;618;1093
0;003;3;B-125bis;2;201;91;91;101;110;110
0;003;3;B-125o;54;809;1;7;13;22;37
0;003;3;B-125p;19;2430;16;47;66;212;363
0;003;3;B-131;40;360;0;1;2;10;36
