vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;445;1;829;808;56344.44;3.56;22.6;41.04;65.99;236.92
0;445;2;462;456;70985.96;1.64;33.48;68.86;136.67;581.8
0;445;3;100;100;41808.61;19.26;99.48;207.58;550.65;1253.43
0;445;4;17;17;47803.11;187.72;382.28;770.31;2226.36;20166.34
0;446;1;9623;9611;1004845.04;21.64;42.71;70.14;124.37;284.64
0;446;2;3612;3605;521153.06;19.2;45.03;86.49;153.12;481.88
0;446;3;439;438;142676.69;25.26;65.1;168.95;348.3;1070.07
0;446;4;52;52;67864.03;229.41;527.57;1079.32;1990.9;3027.02
0;447;1;130;129;12975.71;12.4;30.32;54.08;119.44;332.23
0;447;2;181;179;43772.98;14.86;38.32;85.4;267.88;1014.07
0;447;3;172;172;122082.79;27.54;86.96;270.34;690.59;3263.55
0;447;4;63;63;200162.78;228.32;754.24;1585.72;4214.66;9155.65
0;461;1;518;513;67179.75;13.88;50.36;93.04;157.73;461.44
0;461;2;749;731;187844.51;5.44;45.72;98.3;210.67;558.25
0;461;3;494;491;247342.36;10.64;64.36;152.12;404.65;3283.97
0;461;4;69;69;73090.03;34.4;187.71;403.36;982.9;5766.29
0;462;1;258;218;16618.17;0.24;2.36;13.82;70.8;297
0;462;2;326;304;46213.46;0.96;6.74;30.98;108.74;514.24
0;462;3;189;184;80070.63;5.28;37.16;111.61;327.27;1979.46
0;462;4;18;18;19827.28;64.4;261.2;415.34;2147.78;4477.2
0;463;1;7605;7481;846753.75;7.24;29.16;66.28;145.4;367.52
0;463;2;8710;8652;1538215.32;9.92;41.45;94.8;210.38;606.84
0;463;3;4699;4687;1530461.14;23.88;85.32;177.05;385.44;979.4
0;463;4;743;743;607378.3;55.28;197.88;465.8;899.76;2501.29
0;465;1;6084;5922;228935.09;3.2;10.76;24.8;48.85;110.5
0;465;2;5394;5276;291295.31;3.44;13.12;31.69;59.27;153.23
0;465;3;219;218;58155.63;7.84;47.76;117.86;257.52;960.4
0;465;4;34;34;27037.59;45.72;278.01;487.04;1075.56;1940.34
0;466;1;488;456;26584.22;0.52;7.58;27.36;58.96;223.63
0;466;2;948;919;153829.78;1.72;17.98;55.92;140.6;579.2
0;466;3;816;795;389845.4;9.53;64.36;170.28;380.16;1364.93
0;466;4;124;124;138553.88;43.12;209.94;525.83;880.72;1978.03
0;468;1;5687;5282;387130.86;1.3;12.56;34.96;72.89;254.56
0;468;2;3306;3207;433421.14;3.04;19.84;48.11;107.05;397.93
0;468;3;1424;1418;439943.98;9.48;42.36;100.02;247.89;1098.08
0;468;4;177;177;201420.5;48.44;265.04;511.6;1119.92;3862.56
0;469;1;152;137;21980.41;4.04;14.84;39.04;84.36;259.2
0;469;2;1067;1053;158206.49;6.68;30.41;62.52;132.28;483.12
0;469;3;1241;1238;497142.58;15.08;68.4;138.74;316.68;1334.18
0;469;4;292;292;383425.3;32.2;188.86;513.29;1054.08;4983.22
0;470;1;203;185;18516.19;0.36;3.36;12.44;38.44;261.32
