vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;001;1;35;14;14;40;56;60
0;001;2;48;12;29;59;62;63
0;001;3;47;5;44;51;58;65
0;001;4;47;0;40;53;60;68
0;002;2;43;26;32;40;57;59
0;002;3;53;33;47;55;59;70
0;002;4;47;20;37;52;58;64
0;003;1;49;21;41;56;60;69
0;003;2;53;28;46;56;63;70
0;003;3;51;23;42;54;62;70
0;003;4;49;17;41;53;61;70
0;004;1;63;21;55;68;72;85
0;004;2;61;35;54;62;71;83
0;004;3;63;24;55;69;76;83
0;004;4;65;32;57;69;76;83
0;005;1;59;43;53;59;66;77
0;005;2;57;43;51;56;64;78
0;005;3;58;39;51;58;66;79
0;005;4;61;42;51;60;70;81
0;020;1;37;2;10;31;60;83
0;020;2;55;8;33;57;79;90
0;020;3;56;9;41;58;77;86
0;020;4;58;3;44;63;77;86
0;021;1;54;12;41;55;70;82
0;021;2;53;16;41;54;67;81
0;021;3;55;13;45;57;70;81
0;021;4;61;23;50;64;75;83
0;022;1;46;0;21;50;71;82
0;022;2;48;2;23;53;72;83
0;022;3;53;0;27;64;76;84
0;022;4;55;4;43;65;73;82
0;023;1;49;27;41;49;58;73
0;023;2;51;12;38;53;67;79
0;023;3;51;12;32;52;73;84
0;023;4;59;18;46;68;73;84
0;024;1;69;50;62;70;76;83
0;024;2;71;54;66;72;78;84
0;024;3;73;55;67;74;79;86
0;024;4;75;58;69;76;81;86
0;025;1;54;24;41;53;68;82
0;025;2;54;16;44;56;67;78
0;025;3;62;31;50;67;76;83
0;025;4;62;20;43;71;80;94
0;026;1;46;10;32;47;62;80
0;026;2;61;25;46;64;78;85
0;026;3;69;34;61;74;82;90
0;026;4;68;25;60;76;82;89
0;040;1;37;3;11;31;58;87
0;040;2;48;2;27;52;70;83
0;040;3;57;3;39;65;78;90
0;040;4;63;11;51;68;83;93
0;041;1;55;9;42;58;70;80
0;041;2;60;31;52;62;72;82
0;041;3;62;30;54;65;73;82
0;041;4;62;26;53;64;75;83
0;042;1;68;28;63;74;80;88
0;042;2;75;50;71;78;83;90
0;042;3;78;60;75;80;84;91
0;042;4;77;55;74;79;84;91
0;043;1;42;21;33;41;50;65
0;043;2;48;22;39;49;58;75
0;043;3;58;35;49;56;70;80
0;043;4;58;38;45;61;74;76
0;044;1;72;39;65;76;83;91
0;044;2;72;43;65;75;82;90
0;044;3;70;40;60;74;82;90
0;044;4;74;49;67;78;83;91
0;045;1;68;41;59;70;79;87
0;045;2;72;48;65;75;81;90
0;045;3;77;56;72;79;84;92
