vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;001;1;1;2;591;235.81;235.81;295.41;355.01;355.01
0;001;1;3;1;2;1.59;1.59;1.59;1.59;1.59
0;001;1;4;2;124;43.02;43.02;62.14;81.26;81.26
0;001;1;5;2;70;17.36;17.36;35.05;52.75;52.75
0;001;1;6;2;27;8.36;8.36;13.53;18.71;18.71
0;001;1;7;2;67;25.6;25.6;33.72;41.84;41.84
0;001;1;8;2;54;25.28;25.28;26.96;28.64;28.64
0;001;1;9;2;218;31.8;31.8;109.03;186.26;186.26
0;001;2;1;37;11497;209.71;241.96;282.66;359.95;603.51
0;001;2;2;7;34;3.15;3.98;5.17;5.57;5.57
0;001;2;3;2;3;1.59;1.59;1.59;1.59;1.59
0;001;2;4;37;1947;23.9;43.02;52.58;62.14;80.06
0;001;2;5;35;1623;3.9;23.72;35.66;68;112.73
0;001;2;6;27;578;1.99;15.92;23.09;28.66;45.39
0;001;2;7;37;1231;18.88;26.56;30.4;38.4;54.4
0;001;2;8;37;1038;14.32;20.79;23.44;31.04;52.92
0;001;2;9;32;4061;14.33;27.03;149.88;192.03;222.94
0;001;3;1;97;43602;238.24;309.24;396.91;527.66;749.48
0;001;3;2;22;183;1.99;3.58;5.17;6.76;21.88
0;001;3;3;3;6;1.59;1.59;1.59;3.18;3.18
0;001;3;4;97;8044;43.02;60.94;71.7;100.38;133.84
0;001;3;5;97;8403;18.8;54.62;73.74;111.78;182.93
0;001;3;6;81;1859;1.99;10.26;20.3;30.25;60.52
0;001;3;7;97;4890;26.56;35.84;47.04;59.52;88.35
0;001;3;8;97;3567;15.59;24.48;33.28;44.44;67.26
0;001;3;9;93;14948;5.97;43.78;175.13;208.54;359.85
0;001;4;1;107;164074;334.72;549.54;1194.74;1852.44;3866.38
0;001;4;2;55;852;1.99;5.17;11.15;20.09;43.81
0;001;4;3;9;301;1.59;6.3;28.66;40.61;95.54
0;001;4;4;106;21747;47.8;97.19;163.52;246.98;538.79
0;001;4;5;107;39877;68.02;136.98;292.58;459.02;1159.83
0;001;4;6;98;4290;1.99;16.54;27.46;49.16;157.26
0;001;4;7;107;16865;43.12;69.12;135.99;200.72;386.8
0;001;4;8;107;12133;27.43;50.88;91.79;136.03;288.11
0;001;4;9;107;22777;28.64;133.37;193.46;281.85;414.44
0;002;2;1;8;3619;248.19;334.58;471.96;531.85;693.6
0;002;2;2;4;26;1.99;4.57;7.56;8.36;8.76
0;002;2;4;8;699;52.58;57.76;71.7;119.54;148.18
0;002;2;5;8;787;8.76;35.5;51.83;172.85;258.24
0;002;2;6;6;136;9.95;13.14;15.52;38.62;42.99
0;002;2;7;8;370;30.8;39.48;41.4;56.56;64
0;002;2;8;8;230;7.04;14.02;29.83;37.58;60.2
0;002;2;9;8;1371;13.52;89.56;170.36;261.93;313.68
0;002;3;1;68;36200;303.51;426.07;484.79;650.91;793.86
0;002;3;2;42;326;1.99;1.99;5.97;11.14;20.3
