vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;001;1;4;477;115.33;116.61;119.99;122.09;122.09
0;001;2;26;3013;106.79;115.33;117.88;117.88;119.54
0;001;3;45;5045;102.58;107.39;112.05;117.88;117.88
0;001;4;79;8723;96.88;107.39;112.05;116.26;120.73
0;002;1;2;248;121.67;121.67;123.78;125.88;125.88
0;002;2;7;795;107.39;111.6;115.33;115.33;117.88
0;002;3;35;3967;102.58;107.39;112.05;116.26;125.88
0;002;4;61;6944;102.58;109.23;112.05;117.45;127.69
0;003;1;74;7401;76.08;91.72;98.77;112.05;119.54
0;003;2;100;10380;87.34;94.57;102.58;115.33;123.48
0;003;3;187;19432;57.89;96.88;109.23;113.57;123.48
0;003;4;184;18815;57.89;88.78;107.39;115.33;127.69
0;004;1;31;2906;59.6;70.97;94.28;112.05;160.56
0;004;2;88;8112;64.78;77.79;89.78;102.63;160.79
0;004;3;328;31228;63.57;79.18;90.07;108.1;146.9
0;004;4;1322;126158;65.4;82.31;90.93;107.39;127.69
0;005;1;110;11745;73.23;90.26;107.39;117.88;123.48
0;005;2;118;11993;67.71;89.47;102.68;115.33;123.48
0;005;3;79;7982;57.89;90.93;107.39;112.05;122.09
0;005;4;126;12048;59.25;80.42;91.7;111.6;123.73
0;020;1;152;14982;65.75;82.93;91.7;112.48;157.13
0;020;2;134;13454;65.75;84.49;92.15;112.05;150.15
0;020;3;147;14283;67.87;82.72;96.36;106.79;139.66
0;020;4;176;16832;66.02;82.55;90.28;104.1;147.55
0;021;1;1492;145174;68.99;84.17;92.15;109.23;125.88
0;021;2;1050;105194;69.61;87.26;99.66;112.05;123.73
0;021;3;680;67932;65.75;85.88;96.88;107.39;154.29
0;021;4;527;50889;69.61;85.88;91.55;106.37;126.32
0;022;1;230;22619;73.6;85.88;93.6;107.39;126.67
0;022;2;263;26153;64.78;85.88;97.03;112.05;125.88
0;022;3;103;10525;63.66;85.88;100.77;112.05;182.72
0;022;4;72;6954;69.61;84.65;91.73;107.91;130.05
0;023;1;607;54289;64.78;78.12;86.25;98.1;118.8
0;023;2;290;26929;63.66;77.99;90.09;107.39;122.09
0;023;3;188;17184;64.48;68.25;85.89;102.58;161.85
0;023;4;42;3938;59.72;72.44;90.3;109.23;123.48
0;024;1;1410;122234;61.26;74.35;85.55;95.46;121.67
0;024;2;1648;145783;63.56;77.69;86.52;96.98;119.54
0;024;3;515;45953;62.84;77.27;86.52;96.93;123.48
0;024;4;67;5720;63.46;76.23;84.02;92.15;115.33
0;025;1;3509;291163;60.71;73.83;83.1;91.78;112.05
0;025;2;172;15994;63.66;75.66;91.92;104.64;123.48
0;025;3;44;3994;63.66;80.34;86.78;98.11;108.53
0;025;4;4;359;66.02;69.97;90.66;109.45;111.51
0;026;1;671;62130;63.29;75.44;92.15;107.39;121.67
0;026;2;391;35924;63.41;74.89;89.84;106.79;123.48
0;026;3;196;17590;64.48;77.91;86.52;100.53;121.67
0;026;4;65;5595;57.24;72.27;84.44;98.1;117.88
0;040;1;268;24038;63.27;74.11;87.77;98.35;123.48
0;040;2;237;21353;63.12;73.92;85.68;100.08;127.69
0;040;3;116;11024;59.6;76;90.19;105.94;171.64
0;040;4;25;2293;66.32;82.31;92.15;102.31;116.26
0;041;1;595;55671;61.48;77.79;88.08;104.64;153.96
0;041;2;976;87972;59.26;77.72;86.68;102.58;122.09
0;041;3;613;56157;57.89;78.29;88.23;104.64;123.48
0;041;4;104;9086;57.79;72.27;85.68;101.73;118.8
0;042;1;2384;207883;61.26;75.21;85.55;95.94;117.88
0;042;2;3163;272399;61.93;74.03;84.88;94.28;117.88
0;042;3;1393;120738;62.4;73.03;84.41;95.99;117.88
0;042;4;197;17014;58.91;72.02;83.98;96.6;115.72
0;043;1;1310;113222;58.63;74.08;85.75;96.93;117.88
0;043;2;508;44844;59.25;73.92;86.16;102.58;121.67
0;043;3;112;10111;55.39;73.24;87.54;104.26;134.26
0;043;4;10;866;50.82;54.83;91.13;102.58;127.69
0;044;1;654;54958;59.6;71.57;82.31;91.47;117.88
0;044;2;946;84404;60.12;74.35;85.88;97.03;123.48
0;044;3;942;86759;61.19;78.44;87.72;101.14;132.05
0;044;4;300;26851;59.54;74.06;87.26;97.67;125.88
0;045;1;768;62472;59.25;68.56;79.53;89.47;114.97
0;045;2;2577;222956;59.7;72.16;84.02;93.44;123.48
0;045;3;1236;107779;62.5;72.74;84.02;95.14;121.67
0;045;4;489;42010;64.48;73.23;84.41;93.68;117.88
0;046;1;2399;197845;61.26;70.97;81.27;90.09;115.33
0;046;2;5484;465272;61.26;73.48;82.78;91.25;117.11
0;046;3;2304;196531;60.12;73.03;83.08;92.11;121.67
0;046;4;786;66619;63.22;72.16;83.22;91.57;116.26
0;047;1;2186;179838;59.4;70.23;80.97;90.09;115.72
0;047;2;4638;390691;59.72;73.38;82.86;91.75;116.26
0;047;3;1295;111075;62.67;74.13;84.02;94.72;116.52
0;047;4;136;12554;63.22;79.37;89.66;102.58;121.67
0;048;1;2118;191600;61.48;78.12;87.54;101.24;122.09
0;048;2;2043;180012;63.91;76.48;85.9;96.56;117.88
0;048;3;1366;122568;63.46;78.04;87.54;99.93;119.54
0;048;4;50;4625;68.12;78.51;89.05;100.82;118.8
0;049;1;313;25860;55.51;69.71;80.42;91.25;115.33
0;049;2;390;34834;59.6;74.13;86.05;107.39;121.67
0;049;3;127;11353;62.5;75.27;85.88;101.24;117.88
0;049;4;92;8510;63.29;73.05;85.69;107.39;163.66
0;050;1;418;35521;55.81;74.08;82.93;92.15;117.88
0;050;2;380;34098;61.26;77.79;86.63;102.58;117.88
0;050;3;118;10930;59.6;75.64;87.55;106.79;174.88
0;050;4;31;2799;55.39;69.24;82.31;107.39;180.15
0;051;1;2741;225832;59.6;72.27;82.31;90.93;112.05
0;051;2;439;36277;63.66;72.09;81.4;91.25;112.05
0;051;3;101;7795;64.93;72.27;73.48;86.05;96.56
0;051;4;18;1428;62.4;69.02;74.36;87.66;106.79
0;052;1;647;55230;61.26;70.92;84.21;95.87;117.88
0;052;2;578;48054;60.12;69.71;79.46;92.15;117.88
0;052;3;537;46061;59.72;72.34;85.75;95.14;117.88
0;052;4;235;21113;61.26;78.12;88.62;98.1;117.88
0;053;1;6741;576723;59.6;73.83;84.88;93.88;117.06
0;053;2;3449;301269;61.26;75.21;85.88;96.56;119.54
0;053;3;1825;166820;55.51;74.89;89.47;112.05;122.09
0;053;4;231;20350;65.05;75.91;85.9;96.61;122.09
0;054;1;3396;287983;59.7;73.83;84.02;93.44;115.33
0;054;2;1151;98972;59.25;73.83;85.63;96.56;117.88
0;054;3;127;10449;55.65;67.87;82.5;92.12;113.44
0;054;4;7;660;63.66;73.11;95.99;112.05;122.09
0;055;1;661;56354;62.23;73.18;82.78;92.15;115.33
