vrai_hop;rdrg;N;NAB
0;001;243;241
0;002;195;194
0;003;914;891
0;004;1151;1129
0;005;779;776
0;006;11;11
0;020;798;741
0;021;3725;3513
0;022;956;871
0;023;1720;1474
0;024;4646;3597
0;026;3411;1809
0;040;429;131
0;041;2822;953
0;042;11638;3570
0;043;2815;293
0;044;3147;1081
0;045;15128;4871
0;046;1091;194
0;047;6986;971
0;048;3897;603
0;049;697;452
0;050;710;326
0;051;1295;658
0;052;2702;740
0;053;14678;2191
0;054;5616;334
0;055;2669;961
0;056;794;232
0;057;8811;705
0;058;15311;1439
0;070;559;384
0;073;11642;5885
0;080;672;428
0;082;2749;691
0;089;1638;1598
0;090;252;233
0;091;573;517
0;092;3233;3035
0;093;6753;4806
0;095;812;556
0;097;7819;1947
0;098;14296;9249
0;110;1828;910
0;111;4866;359
0;113;15354;9265
0;114;4192;2541
0;115;43026;1897
0;120;2316;2228
0;121;4214;2760
0;130;1680;1652
0;131;787;720
0;132;98;36
0;133;1383;673
0;134;5089;1909
0;135;2570;862
0;136;8038;3283
0;137;7053;6671
0;138;11437;4608
0;139;33476;32338
0;140;27915;19993
0;141;5580;2162
0;142;1727;873
0;143;5996;2036
0;144;26303;12002
0;160;116;115
0;161;1625;1449
0;162;888;872
0;163;3780;3726
0;165;1966;1937
0;166;3389;3347
0;167;760;503
0;169;2636;2496
0;170;403;368
0;171;7306;6584
0;173;20874;13138
0;174;7421;1089
0;175;21675;1888
0;176;2707;2306
0;177;884;731
0;180;4445;861
0;190;8154;1962
0;191;12292;1344
0;192;20971;476
0;193;188;184
0;194;21114;8876
0;196;982;290
0;197;6332;1902
0;198;5998;632
0;199;2653;285
0;200;1300;341
0;201;19990;3138
0;203;5409;307
0;204;9330;1183
0;205;267;55
0;206;956;425
0;207;5130;1162
0;220;3353;3072
0;221;15500;15243
0;222;2235;1462
0;223;2830;2466
0;224;1560;1152
0;225;13191;12100
0;226;8088;2439
0;227;6277;5377
0;228;17953;14654
0;229;2314;1611
0;240;6551;2132
0;241;8762;2027
0;242;921;426
0;243;8303;1288
0;244;9206;6356
0;245;2894;1416
0;246;1697;977
0;247;8321;2296
0;248;4774;3559
0;249;27337;6767
0;251;6438;1071
0;252;1668;655
0;253;2445;636
0;254;21700;4236
0;260;2137;1901
0;261;600;532
0;262;992;907
0;263;18572;13518
0;264;972;685
0;279;1593;927
0;280;3662;1640
0;281;4519;1853
0;282;6399;2210
0;283;3109;815
0;284;10430;7450
0;301;26169;25754
0;302;21037;20758
0;303;290;289
0;304;9052;8838
0;305;968;911
0;308;10318;9914
0;309;2607;2108
0;310;18481;16577
0;312;316;267
0;313;22110;17543
0;314;15399;12564
0;315;34769;25275
0;316;5869;4037
0;317;6882;3982
0;320;8139;4744
0;321;6985;6631
0;340;1384;447
0;341;3579;1267
0;342;8418;1687
0;343;2084;778
0;344;1210;1062
0;346;3454;975
0;347;20892;3629
0;349;2004;623
0;351;12221;3665
0;361;3371;1891
0;362;6101;3288
0;363;13204;7884
0;364;8821;5561
0;380;2296;1647
0;381;1281;485
0;382;1100;397
0;383;10542;9886
0;384;8056;2693
0;385;4715;1696
0;401;565;509
0;403;11327;10556
0;404;7227;2000
0;405;629;379
0;420;11799;2182
0;421;5734;1097
0;422;4219;1789
0;423;485;68
0;424;3159;556
0;425;4360;1617
0;440;478;476
0;441;1072;1045
0;442;1897;1724
0;443;2921;2601
0;444;1783;752
0;445;1872;1516
0;446;16691;11569
0;447;1290;654
0;460;4488;2136
0;461;1273;664
0;462;829;219
0;463;18402;17517
0;465;11566;3846
0;466;2767;1658
0;468;10619;5016
0;480;4253;4051
0;481;1223;876
0;482;7814;6358
0;483;2873;968
0;484;1624;1120
0;500;915;489
0;501;4070;2957
0;510;1988;1846
0;511;501;399
0;512;839;736
0;513;14982;9519
0;514;8361;7202
0;517;694;159
0;518;2616;1293
0;519;5096;4259
0;530;1102;464
0;531;1102;834
0;532;2451;529
0;540;24357;18614
0;541;425;280
0;542;352;198
0;544;2108;773
0;545;1347;461
0;546;516;243
0;560;94566;29382
0;561;1673;752
0;563;6189;1293
0;564;1119;285
0;565;872;73
0;566;11543;2630
0;580;184;114
0;581;15;7
0;583;10;10
0;588;60;60
0;589;14;12
0;591;72;70
0;593;162;148
0;602;171;143
0;603;49;35
0;607;247;197
0;608;124;76
0;609;80;79
0;611;148;88
0;612;239;195
0;613;43;35
0;614;403;189
0;621;96;57
0;622;181;143
0;623;39;33
0;625;129;64
0;626;263;82
0;630;91;85
0;631;128;122
0;633;291;181
0;634;273;231
0;636;136;106
0;639;367;163
0;640;868;155
0;650;282;241
0;651;690;336
0;660;3841;3233
0;661;1047;219
0;662;603;373
0;663;9831;2806
0;680;831;733
0;681;2729;1417
0;690;1087;857
0;691;2833;1424
0;692;990;211
0;693;28081;6211
0;694;2300;839
0;710;1229;1146
0;711;1497;1415
0;720;8692;8378
0;721;3935;3614
0;722;3416;2087
0;723;7512;2511
0;724;2875;2191
0;740;301;212
0;750;411;33
0;751;3558;650
0;752;450;41
0;753;695;82
0;754;3999;451
0;755;1509;141
0;756;2607;232
0;757;4499;1680
0;758;657;59
0;759;323;52
0;760;3997;191
0;770;711;71
0;772;1418;121
0;773;393;55
0;774;182;15
0;775;8440;954
0;776;1189;261
0;791;4267;2977
0;811;1102;154
0;812;9862;1339
0;813;5260;2526
0;815;2638;732
0;816;2268;272
0;841;20;19
0;842;159;96
0;843;124;53
0;844;725;157
0;850;4129;2554
0;860;3088;1316
0;861;39164;4530
0;862;11454;1890
0;863;902;62
0;890;137;126
0;892;252;188
0;893;43;39
0;894;371;191
0;910;167;148
0;911;160;147
0;912;855;808
0;930;880;410
0;950;2922;2543
0;951;4292;3217
0;952;4254;3133
0;955;41;6
0;956;243;65
