vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;510;14058868;2579.77;3704.71;5191.15;7712.72;15599.64
0;511;4286772;1793.48;3296.99;6104.42;10552.94;21283.6
0;512;4225180;2028.86;3301.03;4182.03;5710.1;12008.13
0;513;60391994;1362.96;2033.11;2788.2;3464.6;5012.1
0;514;20950673;1431.72;1788.74;2014.27;2664.01;4126.99
0;515;4102755;773.57;1074.91;1478.6;2376.69;7521.61
0;516;2305877;876.07;1156.97;1511.94;2086.62;4943.86
0;517;2387109;759.87;939.54;1260.9;1771.27;5824.43
0;518;4212241;1175.5;1879.08;3208.14;5025.86;12951.12
0;530;6758219;1038.11;2070.06;3983.32;8360.91;23358.67
0;531;2384328;715.35;1392.08;2036.22;2990.55;6352.1
0;532;3454344;595.08;790.41;1237.4;2093.81;5308.01
0;540;108494922;2812.62;3430.24;3919.75;4605.58;7200.98
0;541;1482285;1614.9;2877.07;3435.83;4097.21;8826.22
0;542;2036361;2039.78;2765.24;3199.68;3729.15;7801.91
0;543;1053618;758.96;944.59;1518.56;2670.54;8179.91
0;544;2350600;732.09;860.6;1090.61;1434.81;2713.01
0;560;282620077;1880.24;2473.08;2829.69;3253.69;4434.24
0;561;3762293;643.1;1248.31;2099.46;2860.35;4850.72
0;562;2968815;762.46;1505.88;1862.74;2325.03;3480.54
0;563;18310727;619.53;1010.13;1955.87;3096.68;8562.93
0;564;1879749;603.78;777.2;1105.05;1704.68;3434.73
0;565;706166;557.57;621.86;681.4;779.14;1399.6
0;566;24227058;614.35;879.87;1403.52;2314.33;5468.37
0;580;401098;737.33;1355.45;2209.47;3447.77;5365.39
0;581;74314;1522.25;2153.02;2587.1;3256.68;4626.56
0;583;455602;33207.08;37598.64;50741.66;71806.51;102101.65
0;590;1485104;17371.21;75075.45;90960;113302.24;177745.85
0;591;3973643;2448.75;8522.76;51504.9;73276.52;106378.15
0;592;1945194;18297.69;53072.57;74168.51;101716.4;129902.99
0;593;7132803;3087.33;25283.62;42681.46;59332.34;89164.94
0;600;2018809;16542.08;51176.26;58737.9;85366.98;92360.21
0;601;4405632;3018.15;18019.55;25521.71;38441.02;68932.58
