vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;001;10839748;25888.31;34053.93;40592.46;59470.1;119473.09
0;002;8377874;31545.96;39498.84;50416.44;67198.38;135276.37
0;003;25072076;3444.35;17769.5;26332.04;41981.13;79920.01
0;004;110537361;10888.89;26234.24;39532.19;57830.65;106393.78
0;005;8956717;4487.99;10214.71;14625.68;24721.64;52861.42
0;020;11423570;3354.98;6169.17;10085.95;17643.62;38862.41
0;021;60900635;3537.23;7524.86;10212.53;16086.13;36845.87
0;022;6469104;2504.04;4967.84;6832.13;11002.03;25918.1
0;023;10919074;1165.55;2572.47;4648.04;9472.95;22993.22
0;024;23211888;2350.8;3068.19;3592.88;5066.72;15323.46
0;025;6167690;756.81;1025.44;1292.14;1856.95;9336.12
0;026;15238596;1360.39;3918.8;7031.83;11562.58;26804.06
0;040;2903264;770.33;1439.37;2812.84;5605.98;16830.85
0;041;21714644;1090.11;2829.39;5126.04;9319.29;20957.53
0;042;91555304;999.44;3095.01;5648.5;9659.69;20933.96
0;043;7483915;826.57;1463.33;2433.97;3669.53;9850.27
0;044;23661420;703.93;1751.02;4478.41;9590.32;25627.26
0;045;121147106;1572.76;3270.84;5203.53;9580.78;25494.37
0;046;7759603;901.7;1918.35;3316.76;5440.79;13989.21
0;047;29300763;974.08;2000.22;3038.22;4554.53;9942.34
0;048;21437109;691.02;1588.07;3001.89;5337.35;11612.84
0;049;6982101;1391.96;4169.7;7274.5;11690.39;27302.87
0;050;4761853;979.11;2283.83;4143.36;7641.77;20931.39
0;051;2336916;889.83;1474.15;2025.16;3009.22;6132.39
0;052;10385464;681.24;1242.73;2560.38;5157.58;14324.73
0;053;42794957;652.53;985.07;1607.15;3229.77;9262.79
0;054;9323646;594.79;884.62;1366.66;2284.74;4564.31
0;055;13108191;807.5;1880.07;3641.03;7241.6;18173.91
0;056;5261810;656.46;1175.53;2051.12;3987.71;10723.94
0;057;10622397;551.34;659.67;806.59;1119.81;2651.29
0;058;48822490;522.15;721.77;833.75;1115.26;6024.47
0;070;1750718;1121.99;1673.17;2315.31;4119;9247.07
0;071;16656747;1494.55;2305;2765.66;3292.96;4502.67
0;072;4810471;842.63;1347.36;1844.95;2923.37;4570.19
0;073;10288634;1426.3;1604.61;1820.97;2028.29;3419.26
0;080;1159031;977.65;1647.5;2393.55;3448.51;6481.88
0;081;2249197;803.56;1433.58;2320.53;3386.8;5955.16
0;082;7665253;644.3;1289.13;2291.99;4005.3;10141.91
0;090;4047290;1163.92;2012.33;9857.85;16120.44;39978.8
0;091;7692065;1822.59;3576.38;7915.53;23481.43;24867.25
0;092;10935455;1257.68;1911.51;2582.57;3522.84;5054.05
0;093;15388597;1187.2;1649.45;2075.47;2492.26;3684.13
0;094;4059926;800.79;1177.93;1580.15;2287.03;6508.97
0;095;1423098;982.8;1322.23;1676.18;2412.54;4320.6
0;096;2248723;1112.52;1614.2;2010.54;2598;4146.67
0;097;10582909;752.36;878.28;1118.88;1334.9;2269.6
0;098;24852793;922.45;1223.54;1567.73;2144.23;3337.04
0;110;9722582;850.28;1586.06;2754.5;5156.1;17111.04
0;111;13074917;698.23;1292.47;2111.41;3377.27;7001.74
0;112;2155177;541.65;862.5;1338.87;2091.84;5355.68
0;113;24142774;611.37;1024.79;1467.15;2079.65;3972.68
0;114;10223906;636.81;1048.59;1458.59;2221.91;7292.99
0;115;9557806;529.01;723.42;857.66;1462.08;4079.85
0;120;19827071;4702.97;7263.48;9008.35;11945.85;24414.69
0;121;31279674;1240.71;2872.79;5766.94;9556.65;21995.9
0;122;5913955;1189.02;2309.96;5667.69;10944.08;28166.64
0;130;28984750;4772.48;8902.71;13677.08;20954.64;39276.53
0;131;5153723;1178.51;2512.16;5887.92;9231.09;15891.26
0;132;346181;680.83;1353.19;3212.21;4953.6;10376.18
0;133;11092175;581.92;1328.51;3523.28;6587.34;16092.95
0;134;25964470;1482.13;3151.97;4492.34;6552.06;13522.73
0;135;8152719;681.68;1490.79;3077.04;5984.22;14161.93
