vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;001;1;2;1277;0;0;638.46;1276.92;1276.92
0;001;2;37;20074;0;0;0;762.58;2540.56
0;001;3;86;93356;0;18.22;555.32;1590.48;3916.88
0;001;4;90;369374;248.24;1075.12;2384.82;5861.77;13485.94
0;002;2;7;2048;0;124.12;127.54;259.9;1236.32
0;002;3;48;45726;0;124.12;245.87;987.61;3847.34
0;002;4;84;317016;0;248.24;924.9;3098.35;15564.78
0;003;1;217;599409;271.56;957.64;1631.62;3121.36;7612.72
0;003;2;450;1684641;372.36;1270.82;2331.87;4503.56;12128.48
0;003;3;142;996322;632.36;1909.28;3830.69;8831.68;20586.38
0;003;4;118;2102071;2299.32;6455.34;11077.84;24364.5;52335.63
0;004;1;8;4362;0;0;0;124.12;4113.82
0;004;2;72;39682;0;0;124.12;779.1;2691.06
0;004;3;312;326826;0;0;248.24;1117.08;4747.04
0;004;4;1458;3224157;0;243.5;868.84;2500.26;9213.78
0;005;1;3;0;0;0;0;0;0
0;005;2;20;4041;0;0;0;406.74;806.78
0;005;3;118;22900;0;0;0;248.24;868.84
0;005;4;443;310548;0;0;248.24;744.72;2314.52
0;006;2;2;248;0;0;124.12;248.24;248.24
0;006;3;2;209;72.88;72.88;104.33;135.78;135.78
0;006;4;2;621;124.12;124.12;310.3;496.48;496.48
0;020;1;157;4482;0;0;0;0;124.12
0;020;2;96;9612;0;0;0;0;868.84
0;020;3;199;44433;0;0;0;248.24;1259.16
0;020;4;138;47705;0;0;124.12;432.7;1365.32
0;021;1;860;23715;0;0;0;0;0
0;021;2;1521;48712;0;0;0;0;219.66
0;021;3;1240;84456;0;0;0;0;425.64
0;021;4;646;152924;0;0;0;219.66;1203.7
0;022;1;177;372;0;0;0;0;0
0;022;2;165;1045;0;0;0;0;0
0;022;3;80;2702;0;0;0;0;129.95
0;022;4;26;7325;0;0;0;219.66;1276.92
0;023;1;543;7004;0;0;0;0;0
0;023;2;335;7076;0;0;0;0;124.12
0;023;3;164;19922;0;0;0;124.12;580.02
0;023;4;57;26657;0;0;36.44;786.15;2145.66
0;024;1;1563;3041;0;0;0;0;0
0;024;2;1442;11860;0;0;0;0;0
0;024;3;1386;32761;0;0;0;0;124.12
0;024;4;339;37386;0;0;0;0;744.72
0;026;1;1334;3274;0;0;0;0;0
0;026;2;597;10801;0;0;0;0;72.88
0;026;3;260;19414;0;0;0;0;496.48
0;026;4;72;14236;0;0;0;265.21;967.37
0;040;1;90;36;0;0;0;0;0
0;040;2;137;2848;0;0;0;0;36.44
0;040;3;95;2113;0;0;0;0;219.66
0;040;4;14;513;0;0;0;0;316.38
0;041;1;275;3614;0;0;0;0;135.78
0;041;2;910;19509;0;0;0;0;219.66
0;041;3;1083;58817;0;0;0;0;219.66
0;041;4;200;32932;0;0;0;0;620.65
0;042;1;1519;35575;0;0;0;0;72.88
0;042;2;4750;128973;0;0;0;0;160.03
0;042;3;2644;74682;0;0;0;0;218.63
0;042;4;298;30238;0;0;0;36.44;496.48
0;043;1;1589;3622;0;0;0;0;0
0;043;2;894;3852;0;0;0;0;0
0;043;3;145;1208;0;0;0;0;59.63
0;043;4;15;311;0;0;0;0;150.73
0;044;1;417;6328;0;0;0;0;0
0;044;2;768;23175;0;0;0;0;0
0;044;3;1322;46477;0;0;0;0;72.88
0;044;4;517;68038;0;0;0;0;219.66
0;045;1;1514;2603;0;0;0;0;0
0;045;2;7499;33791;0;0;0;0;0
0;045;3;4125;101506;0;0;0;0;124.12
0;045;4;875;70285;0;0;0;0;375.42
0;046;1;96;364;0;0;0;0;72.88
0;046;2;291;2033;0;0;0;0;36.44
0;046;3;129;3481;0;0;0;0;124.12
0;046;4;13;146;0;0;0;0;72.88
0;047;1;2234;2482;0;0;0;0;0
0;047;2;3289;12948;0;0;0;0;0
0;047;3;785;14181;0;0;0;0;124.12
0;047;4;48;2942;0;0;0;72.88;343.78
0;048;1;1051;2951;0;0;0;0;0
0;048;2;991;7131;0;0;0;0;36.44
0;048;3;885;13091;0;0;0;0;72.88
0;048;4;51;4493;0;0;0;124.12;372.36
0;049;1;38;73;0;0;0;0;0
0;049;2;282;1937;0;0;0;0;36.44
0;049;3;118;5089;0;0;0;0;219.66
0;049;4;61;39624;0;0;0;219.66;2908.44
0;050;1;151;723;0;0;0;0;36.44
0;050;2;344;8198;0;0;0;0;219.66
0;050;3;193;11496;0;0;0;0;248.24
0;050;4;67;11686;0;0;0;219.66;1064.1
0;051;1;206;220;0;0;0;0;0
0;051;2;159;1647;0;0;0;0;36.44
0;051;3;33;469;0;0;0;0;135.78
0;051;4;5;1007;0;0;219.66;219.66;567.52
0;052;1;921;549;0;0;0;0;0
0;052;2;516;2538;0;0;0;0;0
0;052;3;571;19118;0;0;0;0;219.66
0;052;4;137;35514;0;0;0;0;1088.5
0;053;1;6077;5224;0;0;0;0;0
0;053;2;4851;14751;0;0;0;0;0
0;053;3;2737;37215;0;0;0;0;36.44
0;053;4;469;30089;0;0;0;0;372.36
0;054;1;3049;1480;0;0;0;0;0
0;054;2;1371;6520;0;0;0;0;0
0;054;3;180;5353;0;0;0;0;124.12
0;054;4;14;2614;0;0;45.55;372.36;748.74
0;055;1;873;3081;0;0;0;0;0
0;055;2;1376;27219;0;0;0;0;18.22
0;055;3;790;57477;0;0;0;0;248.24
0;055;4;188;27365;0;0;0;95.27;709.4
0;056;1;102;0;0;0;0;0;0
0;056;2;98;471;0;0;0;0;36.44
0;056;3;45;285;0;0;0;0;0
0;056;4;5;1484;0;0;0;703.3;780.34
0;057;1;5285;704;0;0;0;0;0
0;057;2;1356;6780;0;0;0;0;0
0;057;3;242;9220;0;0;0;0;284.68
0;057;4;40;5183;0;0;0;98.5;613.49
0;058;1;8448;24304;0;0;0;0;0
0;058;2;4320;37104;0;0;0;0;36.44
0;058;3;1832;57865;0;0;0;0;219.66
0;058;4;297;32428;0;0;0;36.44;548.64
0;070;1;264;133762;0;0;0;101.83;2260.17
0;070;2;125;29328;0;0;0;0;2260.17
0;070;3;33;850;0;0;0;0;372.36
0;070;4;2;0;0;0;0;0;0
0;073;1;5524;664575;0;0;0;0;1450.16
0;073;2;1810;126449;0;0;0;0;101.83
0;073;3;109;20847;0;0;0;0;1450.16
0;073;4;18;8058;0;0;116.72;298.94;2601.62
0;080;1;120;0;0;0;0;0;0
0;080;2;260;842;0;0;0;0;0
0;080;3;57;432;0;0;0;0;59.63
0;080;4;5;496;0;0;0;0;496.48
0;082;1;906;3541;0;0;0;0;0
0;082;2;1113;11767;0;0;0;0;36.44
0;082;3;293;22296;0;0;0;0;248.24
0;082;4;23;2323;0;0;0;36.44;620.6
0;089;1;791;49720;0;0;0;0;344.68
0;089;2;397;26474;0;0;0;0;344.68
0;089;3;208;26209;0;0;0;233.95;408.8
0;089;4;56;25142;0;124.12;248.24;586.99;1898.24
0;090;1;41;0;0;0;0;0;0
0;090;2;134;4401;0;0;0;0;248.24
0;090;3;70;7056;0;0;0;124.12;496.48
0;090;4;24;15852;0;0;219.66;467.38;3134.46
