vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3902;86002341;26471480;42347057;5092005;16476831
0;01;116222;455220832;31475964;111051448;6401450;67536338
0;02;16018;19980507;1307154;15699482;180696;7866237
0;03;96245;101541087;6660465;50700634;1102193;32055850
0;04;139217;522776539;43683660;105476093;10387719;63006672
0;05;200936;560881665;48101128;292753399;14405086;279860266
0;06;178208;456244182;48525943;138114890;8350190;91051386
0;07;51321;157762801;18120881;50679084;3726667;32602480
0;08;243066;785216867;41140666;264102802;6914227;269377830
0;09;54467;146896783;8775523;45146096;1562800;22194007
0;10;55784;164297087;10728000;47321647;3015027;35834495
0;11;75913;197639610;17389554;57552819;3690759;35179417
0;12;23563;53938472;4685237;23325400;594866;16279904
0;13;40820;70916609;5022675;33370084;642429;19566563
0;14;144903;286426264;10134882;104955329;3189294;45186903
0;15;9640;59939072;1896545;19834740;999514;5867636
0;16;16538;50742047;10884939;9394468;1290115;11660863
0;17;39330;105330537;54564592;19374171;2586497;25207693
0;18;25943;103439438;13688157;20041913;2888972;14433706
0;19;23532;109442267;2045217;13549119;903608;11121569
0;20;12888;40842776;973338;5711585;559287;4934398
0;21;28067;71533544;5321385;14888750;1365753;12886179
0;22;998;9907780;415971;910439;137731;716884
0;23;53161;142605930;6968154;26907375;1464295;27967399
0;24;961;6434252;1765938;994515;174252;744788
0;25;1901;17894212;1872147;5472395;481040;3319087
0;FF;13507;100112440;9534753;25203058;1798827;18148411
