vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;001;1;A;2;65.44;16.2;16.2;32.72;49.24;49.24
0;-p;001;1;B;2;1807.2;706.12;706.12;903.6;1101.08;1101.08
0;-p;001;1;C;2;63.32;4.68;4.68;31.66;58.64;58.64
0;-p;001;1;D;1;1.68;1.68;1.68;1.68;1.68;1.68
0;-p;001;1;H;2;97.72;12;12;48.86;85.72;85.72
0;-p;001;1;J;2;60.6;14.6;14.6;30.3;46;46
0;-p;001;1;L;2;362.59;156.96;156.96;181.29;205.63;205.63
0;-p;001;1;M;2;27.36;10.04;10.04;13.68;17.32;17.32
0;-p;001;1;N;2;155.08;43.84;43.84;77.54;111.24;111.24
0;-p;001;1;R;1;6.2;6.2;6.2;6.2;6.2;6.2
0;-p;001;1;V;1;831.5;831.5;831.5;831.5;831.5;831.5
0;-p;001;2;A;34;899.28;8.12;13.72;19.32;33.2;70.88
0;-p;001;2;B;34;22710.07;130.96;282.52;408.9;815.76;1793.41
0;-p;001;2;C;33;496.44;0.64;1.96;4.4;14.92;64.16
0;-p;001;2;D;8;21.64;1.68;1.68;1.7;3.26;6.68
0;-p;001;2;H;32;3428.62;12;43.72;54.12;91.6;132.76
0;-p;001;2;J;34;57037.19;10.96;63;156.19;586.56;13367.88
0;-p;001;2;L;33;7414.38;61.41;108.66;145.33;274.12;528.93
0;-p;001;2;M;34;487.12;3.64;8.36;11.22;16.72;33.32
0;-p;001;2;N;34;3113.2;12.32;64.44;82.44;123.44;210.36
0;-p;001;2;P;3;29.52;9.84;9.84;9.84;9.84;9.84
0;-p;001;2;R;17;117.68;0.12;0.64;7.72;11.44;16.24
0;-p;001;2;V;15;5666.41;1.16;27.28;82.68;833.26;1663
0;-p;001;3;A;91;4462.88;11.2;22.32;34.88;50.64;108.84
0;-p;001;3;B;91;139172.8;201.83;566.63;1338.44;1986.63;4106.37
0;-p;001;3;C;90;1772.32;0.4;3.08;7.02;13.48;90.64
0;-p;001;3;D;32;122.24;1.68;1.68;1.72;3.36;5.12
0;-p;001;3;G;4;354.96;0.84;3.28;5.98;174.2;342.16
0;-p;001;3;H;87;13157.65;14.04;19;34.4;74.2;580.71
0;-p;001;3;J;91;241939.88;46.96;115.98;323.28;1424.47;18417.69
