vrai_hop;rmdc;rdrg;SI;ATC1;ATC4;Nfarm;Sum
0;-p;001;1;A;A02BC;3;26.48
0;-p;001;1;A;A03FA;3;2.52
0;-p;001;1;A;A04AA;1;2.6
0;-p;001;1;A;A05AA;2;2.56
0;-p;001;1;A;A06AD;1;4.12
0;-p;001;1;A;A07AA;1;26.84
0;-p;001;1;A;A10AB;2;14.04
0;-p;001;1;B;B01AB;3;131.32
0;-p;001;1;B;B01AC;1;0.76
0;-p;001;1;B;B02AA;1;4.16
0;-p;001;1;B;B02BC;1;1663
0;-p;001;1;B;B02BD;1;1186.76
0;-p;001;1;B;B05AA;2;1260.8
0;-p;001;1;B;B05BA;3;67.84
0;-p;001;1;B;B05BB;3;249.28
0;-p;001;1;B;B05BC;3;18.4
0;-p;001;1;B;B05XA;2;17.44
0;-p;001;1;C;C01CA;1;3.4
0;-p;001;1;C;C03CA;2;6.08
0;-p;001;1;C;C03DA;1;9.6
0;-p;001;1;C;C07AB;2;1.84
0;-p;001;1;C;C08CA;2;69.84
0;-p;001;1;D;D01AC;1;3.36
0;-p;001;1;H;H01BA;1;51.55
0;-p;001;1;H;H02AB;3;108.72
0;-p;001;1;J;J01CA;1;12.12
0;-p;001;1;J;J01CF;1;8.96
0;-p;001;1;J;J01DB;2;22.4
0;-p;001;1;J;J01DD;1;32
0;-p;001;1;J;J01EE;1;0.33
0;-p;001;1;J;J01GB;1;12.4
0;-p;001;1;J;J01MA;1;3.72
0;-p;001;1;J;J01XB;1;75.16
0;-p;001;1;J;J01XD;1;5.4
0;-p;001;1;J;J05AB;1;454.6
0;-p;001;1;J;J06BB;1;22607.2
0;-p;001;1;L;L04AA;3;162.33
0;-p;001;1;L;L04AC;3;5734.56
0;-p;001;1;L;L04AD;3;172.54
0;-p;001;1;M;M03AC;3;47.24
0;-p;001;1;M;M04AA;1;0.2
0;-p;001;1;N;N01AB;3;168.96
0;-p;001;1;N;N01AH;3;21.24
0;-p;001;1;N;N01AX;3;53
0;-p;001;1;N;N02AA;1;0.24
0;-p;001;1;N;N02AC;1;0.72
0;-p;001;1;N;N02AX;3;8.32
