vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;001;1;3;3;34578.67;2538.93;2538.93;7061.54;24978.2;24978.2
0;001;2;52;52;179962.47;584.27;1405.67;2553.39;3982.86;8907.55
0;001;3;93;93;370753.19;865.53;2029.87;3566.56;5061.14;8904.28
0;001;4;129;129;1231971.37;2004.58;4405.28;7141.24;11313.4;26050.48
0;002;1;1;1;3505.67;3505.67;3505.67;3505.67;3505.67;3505.67
0;002;2;3;3;14562.45;4776.14;4776.14;4835.89;4950.42;4950.42
0;002;3;69;69;372590.27;1007.01;4005.83;4611.87;5861.07;11352.43
0;002;4;106;106;1025875.8;3665.24;5340.16;7600.03;10469.69;21555.78
0;003;1;271;271;1803075.44;1468.61;2789.91;4068.49;10074.92;16449.93
0;003;2;392;392;2917710.72;1841.83;2991.29;5084.52;11297.51;17395.83
0;003;3;149;149;1494952.36;2497.37;3605.93;8241.07;13450.48;22213.6
0;003;4;95;95;1984069.82;4308.04;8621.48;16586.62;27079.8;49854.49
0;004;1;11;10;6549.1;5.8;5.8;325.64;755.88;2881.4
0;004;2;35;33;60265.47;81.74;400.48;627.21;2033.05;7699.44
0;004;3;224;224;667717.89;244.44;1139.44;2182.3;3726.78;7256.75
0;004;4;1145;1142;7149394.75;609.6;2222.89;4130.92;7622.18;18042.12
0;005;1;2;2;1481.4;692.64;692.64;740.7;788.76;788.76
0;005;2;10;10;43108.71;716.22;1044.12;1670.87;3239.4;17526.01
0;005;3;61;60;186797.44;539.45;1040.24;2478.06;3841.51;9657.01
0;005;4;264;263;1338287.72;1001.6;2103.77;3465.96;5911.88;14590.14
0;006;2;3;3;16751.24;5320.37;5320.37;5443.24;5987.63;5987.63
0;006;3;12;12;91105.85;3397.35;5269.26;6475.3;8594.35;19164.79
0;006;4;1;1;17817.38;17817.38;17817.38;17817.38;17817.38;17817.38
0;020;1;198;198;53379.5;31.48;69.68;120.62;237.2;775.51
0;020;2;105;105;50635.85;43.04;111.48;255.17;560.43;1613.29
0;020;3;258;258;177723.36;72.84;202.01;389.15;886.88;2206.04
0;020;4;179;178;372008.18;214.13;803.87;1679.03;2790.16;5064.37
0;021;1;1056;1049;323217.5;41.36;104.84;224.08;377.96;757.13
0;021;2;1706;1703;872364.04;62.96;189.12;344.59;521.3;1583.86
0;021;3;1205;1204;1188590.09;131.92;346.94;545.02;1013.66;2588.16
0;021;4;694;690;1443192.94;240.39;662.56;1336.97;2455.82;5666.18
0;022;1;267;264;19320.9;26.28;37.02;49.54;78.9;225.52
0;022;2;222;221;26321.34;25.52;44;67.92;132.76;309.72
0;022;3;84;84;74602.64;44.48;75.22;146.47;523.73;1931.2
0;022;4;34;34;46317.03;81.08;340.98;705.32;1934.23;4733.99
0;023;1;673;654;129125.09;8;32.32;45.35;82.08;365.52
0;023;2;375;372;100479.44;21.8;53.08;125.09;263.99;820.81
0;023;3;166;166;180288.08;48.64;157.36;350.34;1021.6;4091.58
0;023;4;49;49;228393.67;155.84;889.77;2221.24;5806.61;17778.79
0;024;1;2008;2003;247505.88;29.2;52.24;77.4;147.4;365.32
0;024;2;1561;1560;256725.29;33.16;62.72;95.48;175.72;467.5
0;024;3;1373;1371;576349.02;56.36;119.6;222.84;499.32;1189.32
0;024;4;261;260;240514.32;102.32;281.14;643.72;1224.43;2602.87
0;026;1;1950;1908;97246.48;2.44;17.6;31.62;51.18;180.44
0;026;2;719;711;92209.4;4.32;23.64;44.24;108.48;386.08
0;026;3;276;274;161713.12;23.19;71.32;172.11;439.96;1877.79
0;026;4;75;75;152825.52;87.04;451.61;1014.6;3910.53;6404.12
0;040;1;118;106;9201.65;0.52;23.35;47.04;104.32;314.56
0;040;2;158;145;37265.53;1.52;26.08;68.2;256.39;1016.52
0;040;3;89;85;69302.21;3.68;19.38;112.96;475.1;3248.89
0;040;4;26;25;35388.61;149.52;321.96;686.56;1515.68;4886.98
0;041;1;279;272;35969.79;4.56;36.52;74.82;139.51;529.4
0;041;2;1054;1038;378766.51;6.24;45.76;91.08;174.28;1026.64
0;041;3;1258;1257;798848.09;20.64;76.64;149.68;357.36;3394.61
0;041;4;201;200;348224.14;44.19;169.01;378.51;1247.73;5468.81
0;042;1;2168;1799;889116.08;0.32;3.96;15.16;42.52;271.5
0;042;2;5917;5699;784921.29;1.8;11.37;32.46;71.73;233.92
0;042;3;2995;2959;524976.92;6.24;28.76;68.84;150.11;603.03
0;042;4;347;340;254047.27;21.69;113.36;320.34;730.57;3109.36
0;043;1;2462;2336;11251506.5;8.7;131.57;1545.11;4446.89;26119.93
0;043;2;969;943;3467166.91;7.16;117.15;1724.69;4886.7;9662.78
0;043;3;177;177;349427.08;6.16;75.45;334.95;3562.88;7107.92
0;043;4;19;19;39717.13;209.52;455.89;761;3034.92;8215.79
0;044;1;479;454;46845.88;1.56;11.84;41.48;88.96;468.88
0;044;2;791;774;133393.63;3.14;22.04;65.7;148.96;692.12
0;044;3;1415;1362;422010.95;5.16;39.68;103.22;269.92;1010.6
0;044;4;444;416;250652;4.96;52.26;202.64;581.91;2384.83
0;045;1;1771;1747;145949.05;1.04;9.4;33.78;61.72;596.52
0;045;2;8282;8248;1265634.54;3.44;23.58;55.2;123.6;780.65
0;045;3;4021;3999;1274007.34;15.64;58.72;134;355.48;1061.4
0;045;4;926;921;747668.56;28.44;181.72;490.58;1032.08;2593.05
0;046;1;135;131;7682.02;0.8;15.56;38.64;64.48;142.68
0;046;2;311;309;25827.29;2.12;23.16;46.09;84;192.12
0;046;3;144;142;28891.84;4.39;50.16;84.8;145.8;912.04
0;046;4;12;12;4039.11;38.56;94.53;210.54;430.87;1262.54
0;047;1;2608;2553;98219.01;0.32;3.52;14.08;37.92;93.64
0;047;2;3692;3653;231188.02;1.4;9.94;28.66;58.68;155.56
0;047;3;793;790;118920.76;5.24;28.04;64.84;132.24;474.22
0;047;4;77;77;36442.01;25.8;96.28;171.26;567.4;1668.28
0;048;1;1546;1413;294452.47;0.44;7;26.34;56.76;339.76
0;048;2;1330;1297;1523280.87;1.92;21.94;63.45;2256.62;5765.42
0;048;3;1006;968;676675.03;2.4;20.77;61.47;204.59;4283.8
0;048;4;70;69;73675.85;29.6;143.48;386.99;1410.18;3814.03
0;049;1;90;88;22867.59;9.72;107.78;210.22;385.37;623.39
0;049;2;381;364;1446199.15;10.68;191.07;3562.64;6691.09;10114.22
0;049;3;141;141;425252.25;100.59;323.98;749.52;4931.51;12256.54
0;049;4;55;55;193297.66;61;389.08;1236.91;4806.94;14607.24
0;050;1;215;205;33288.17;3.52;24.64;80.4;242.29;538.28
0;050;2;454;425;224846.76;4;49.68;170.04;377.48;1490.16
0;050;3;232;232;180772.14;31.28;146;397.89;856.42;2892.59
0;050;4;46;46;112517.21;173.12;515.83;1155.14;2277.64;10086.47
0;051;1;802;760;45565.28;3.76;15.04;34.62;63.37;207.09
0;051;2;310;301;67215.04;5.48;27.04;63.28;258.02;783.47
0;051;3;33;33;13396.04;15.48;54.92;208.26;621.48;1575.2
0;051;4;8;8;6881.81;4.12;227.89;698.9;1458.02;2108.06
0;052;1;1062;776;13908.97;0.12;1.6;5.62;26.18;58.04
0;052;2;647;545;65236.57;1.52;9.88;34.72;69.8;315.94
0;052;3;696;680;164863.84;5.48;33.68;77.97;217.08;815.31
0;052;4;114;114;120390.34;32.44;113.44;297.65;661.27;2385.92
0;053;1;7747;4720;152218.43;0.4;2.88;8.81;27.02;87.12
0;053;2;5428;4443;371475.46;1.44;7.88;25.88;63.6;242.71
0;053;3;2829;2446;461049.77;1.96;15.04;52.34;148.61;687.74
0;053;4;492;489;398703.61;32.59;132;372.36;948.75;2687.71
0;054;1;4494;3928;133030;0.44;5.72;16.88;43.42;106.8
0;054;2;1602;1484;98202.07;0.56;7;27.25;56.04;156.52
0;054;3;205;195;33752.93;0.84;15;48.04;107.56;461.58
0;054;4;20;20;11382.63;6.14;79.58;120.01;496.23;3723.14
0;055;1;1048;964;45434.81;0.48;6.8;21.3;50.38;147.96
0;055;2;1411;1378;172010.71;2.32;13.92;41.43;99.58;446.48
0;055;3;832;811;237766.47;5.2;37.27;104.12;271.76;1197
0;055;4;165;163;139705.98;50.44;229;506.16;959.16;3223.19
0;056;1;124;104;2960.93;0.48;6.16;13.48;30.12;94.48
0;056;2;114;111;4660.14;1.68;6.84;19;53.28;129.64
0;056;3;33;33;6482.67;4.84;50.12;118.5;281.68;691.48
0;056;4;3;3;1891.52;15.24;15.24;763.48;1112.8;1112.8
0;057;1;6319;2714;33325.93;0.16;2.12;4.96;10.88;45.79
0;057;2;1626;1368;54394.3;0.4;4.04;13.1;38.58;137.36
0;057;3;296;280;54502.85;4.82;29.27;64.64;146.72;701.58
0;057;4;43;42;21690.49;23.74;96.68;168.74;407.98;3307.76
0;058;1;11222;3534;261852.76;0.36;5.44;26.88;59.17;176.13
0;058;2;5124;3297;453219.59;1.09;11.68;41.8;92.49;384.32
0;058;3;1695;1627;386131.76;4.32;33.12;75.96;172.46;697.73
0;058;4;262;259;199985.33;21.16;125.95;314.64;808.14;2496.44
0;070;1;281;279;16906.85;15.11;29.4;42.4;63.32;157.16
0;070;2;179;178;18457.81;18;37.92;61.3;99.88;314.88
0;070;3;38;38;12311.33;20.72;79.8;184.85;331.84;1892.66
0;070;4;4;4;4951.13;197.35;354.77;1054.51;2120.79;2644.75
0;073;1;7551;7501;269859.3;6.62;16.12;24.92;35.8;98.16
0;073;2;2273;2254;98569.2;6.8;14.81;26.48;37.2;89.36
0;073;3;150;150;34086.91;6.96;16.64;30.86;56.64;370.28
0;073;4;5;5;3747.9;9.08;516.31;789.59;867.62;1565.3
0;080;1;217;213;12682.04;3.47;12.8;31;69.39;225.4
0;080;2;331;331;64793.06;8.47;42.87;113.5;205.19;524.86
0;080;3;58;58;33581.03;41.32;113.18;271.65;502.42;1855.05
0;080;4;7;7;7251.52;216.6;682.27;1014.28;1723.88;1861.62
0;082;1;1254;984;74035.5;0.36;4.54;21.14;53.01;288.37
0;082;2;1273;1137;102797.82;0.84;9.68;32.36;84.16;294.24
0;082;3;309;297;69847.29;2.01;25.19;63.24;160.72;692.03
0;082;4;21;20;39389.98;22.12;134.02;435.15;1228.39;14350.56
0;089;1;1089;1085;116658.7;20.16;41.84;71.1;156.86;273.69
0;089;2;504;504;113855.31;23.6;53.52;87.66;171.29;458.31
0;089;3;255;254;142044.16;58.04;157.57;359.37;609.72;1619.47
0;089;4;37;37;81261.92;153.71;689.1;1258.3;2905.46;8675.19
