vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3844;81302394;26814987;40830618;5689496;15969421
0;01;116854;427989059;30472519;111842267;6882193;59119608
0;02;15840;19713615;1088372;15372903;193270;6952332
0;03;92576;94052099;6790002;49216265;1138721;27457547
0;04;135429;488646715;44448004;104264305;11162594;55869698
0;05;202569;533289832;49776072;288405709;15609712;269253743
0;06;179303;428430005;47959212;136352616;9067554;80229422
0;07;50052;145624506;17856049;48438506;3890817;28485648
0;08;245049;746837765;41230810;260700591;7391196;239381078
0;09;53423;137664106;8762415;43010761;1677251;18817719
0;10;54971;155355059;10641120;44111767;3227592;30956628
0;11;74469;185306939;17627866;56218567;3907187;30575990
0;12;23808;51695642;4757109;22656940;643826;14594061
0;13;40967;68143100;5134763;33028634;708200;17281314
0;14;146637;276844606;10324959;104934724;3340869;39271302
0;15;9756;56214137;1759557;18773234;1143546;5251901
0;16;16449;49261700;10683543;9421749;1362068;10739992
0;17;40110;98586871;53593743;18689005;2661597;23695006
0;18;25220;95578975;14318560;20009163;3096664;12898037
0;19;23989;102870502;2159015;13822775;987493;9809383
0;20;12656;37386063;923354;5630320;593929;4166015
0;21;27951;66862238;5919543;14674497;1464108;11112777
0;22;1027;10252889;502856;892796;170780;586209
0;23;49978;132944813;6958874;26152444;1598830;23925524
0;24;1022;5820694;1348787;904108;170262;625646
0;25;1830;16357587;1919523;5610521;553769;2981910
0;FF;12786;91434030;9359719;24213627;1937872;16218498
