vrai_hop;rdrg;N;NAB
0;001;277;277
0;002;179;179
0;003;907;899
0;004;1415;1368
0;005;337;333
0;006;16;16
0;020;740;690
0;021;4661;4311
0;022;607;557
0;023;1263;1076
0;024;5203;3638
0;026;3020;1717
0;040;391;111
0;041;2792;900
0;042;11427;3543
0;043;3627;314
0;044;3129;1025
0;045;15000;3954
0;046;602;101
0;047;7170;938
0;048;3952;639
0;049;667;387
0;050;947;422
0;051;1153;686
0;052;2519;583
0;053;16496;2158
0;054;6321;363
0;055;3456;1207
0;056;274;69
0;057;8284;655
0;058;18303;2209
0;070;502;391
0;073;9979;3983
0;080;613;400
0;082;2857;653
0;089;1885;1636
0;090;351;268
0;091;624;548
0;092;5206;4866
0;093;4663;3209
0;095;160;136
0;097;7435;2011
0;098;13020;8075
0;110;1460;685
0;111;5679;423
0;113;22876;12049
0;114;4224;2556
0;115;61983;1568
0;120;3519;3204
0;121;3861;2932
0;130;963;942
0;131;847;745
0;132;112;45
0;133;1061;553
0;134;5336;1793
0;135;3652;1168
0;136;7363;3056
0;137;8456;7986
0;138;12756;4251
0;139;32567;31129
0;140;31179;22883
0;141;5136;1763
0;142;1936;855
0;143;5795;1894
0;144;23220;9221
0;160;90;88
0;161;1712;1532
0;162;496;489
0;163;3422;3349
0;165;962;936
0;166;4199;4102
0;167;3276;1959
0;169;2211;2070
0;170;378;353
0;171;6793;6011
0;174;8885;1223
0;175;28378;3085
0;176;2244;1927
0;177;766;659
0;180;2785;833
0;181;18503;11836
0;182;4563;2564
0;190;6866;1457
0;191;12071;298
0;192;14100;1423
0;193;209;195
0;194;23642;9517
0;196;944;285
0;197;5131;1626
0;198;4015;368
0;199;2635;333
0;200;1301;321
0;201;18879;2834
0;203;4364;272
0;204;10953;1606
0;205;392;107
0;206;1277;509
0;207;5376;1283
0;220;3683;3156
0;221;15491;14976
0;222;4749;2795
0;223;4155;3302
0;224;1692;1205
0;225;12697;11594
0;226;6234;2158
0;227;8021;6777
0;228;14168;11917
0;229;3042;1998
0;240;6484;2283
0;241;7577;1607
0;242;707;313
0;243;6631;1136
0;244;9811;6884
0;245;3427;1486
0;246;1351;726
0;247;8235;2140
0;248;5160;3760
0;249;30643;6879
0;251;5721;777
0;252;2590;935
0;253;2810;685
0;254;20605;3973
0;260;2632;2233
0;261;1470;1197
0;262;493;427
0;263;19671;14290
0;264;2750;1725
0;279;1369;680
0;280;3605;1576
0;281;4393;1700
0;282;6793;2183
0;283;2537;679
0;284;10446;7325
0;301;30153;29580
0;302;26168;25807
0;303;395;393
0;304;7637;7472
0;305;1191;1102
0;308;10834;10320
0;309;3825;2880
0;310;16943;15623
0;312;683;543
0;313;16834;14186
0;314;16179;14120
0;315;34693;27357
0;316;4930;3595
0;317;9728;7342
0;320;10758;9020
0;321;6777;6503
0;322;1351;1316
0;340;1680;526
0;341;3538;1314
0;342;8339;1891
0;343;2296;912
0;344;1664;1432
0;346;3307;967
0;347;17994;3449
0;349;2398;857
0;351;13183;4682
0;361;4849;2915
0;362;4726;3085
0;363;14622;9045
0;364;6979;5206
0;380;1909;1339
0;381;765;368
0;382;972;408
0;383;12856;11548
0;384;7287;2131
0;385;5112;2199
0;401;605;527
0;403;14445;13366
0;404;6671;1633
0;405;347;246
0;420;10763;2028
0;421;6174;1333
0;422;5372;2104
0;423;478;95
0;424;3279;640
0;425;4182;1296
0;440;484;467
0;441;1581;1464
0;442;2140;1914
0;443;9365;7740
0;444;861;384
0;445;1387;1114
0;446;13687;9801
0;447;515;361
0;461;1792;1046
0;462;901;243
0;463;24018;22707
0;465;11289;4487
0;466;2631;1735
0;468;10543;5025
0;469;2680;1493
0;470;2582;796
0;480;3968;3791
0;481;1130;846
0;482;7969;6470
0;483;2116;805
0;484;2039;1841
0;500;1183;690
0;501;5348;3949
0;510;892;832
0;511;635;496
0;512;1126;1021
0;513;13236;8695
0;514;4440;3721
0;517;640;170
0;518;1857;977
0;519;4437;3740
0;530;1168;565
0;531;833;668
0;532;1768;433
0;540;23806;20682
0;541;2591;2064
0;542;1629;786
0;544;1462;606
0;545;1221;383
0;546;470;249
0;560;84830;24569
0;561;1788;806
0;563;3451;754
0;564;823;163
0;565;1121;140
0;566;12176;2534
0;580;154;62
0;581;15;6
0;583;20;20
0;588;83;77
0;589;16;12
0;591;82;74
0;593;194;168
0;602;160;131
0;603;56;30
0;607;266;196
0;608;92;50
0;609;91;80
0;611;144;90
0;612;295;198
0;613;46;43
0;614;341;144
0;621;134;71
0;622;227;144
0;623;36;31
0;625;168;58
0;626;282;47
0;630;105;97
0;631;114;98
0;633;360;193
0;634;415;301
0;636;156;137
0;639;514;178
0;640;1559;150
0;650;181;153
0;651;786;382
0;660;3956;3198
0;661;1132;277
0;662;825;451
0;663;10050;2696
0;680;907;815
0;681;3633;1842
0;690;1060;813
0;691;3059;1603
0;692;430;91
0;694;2629;1059
0;695;1163;728
0;696;20848;4277
0;710;2996;2753
0;711;2217;2066
0;720;13160;12644
0;721;3941;3647
0;722;3553;1981
0;723;10260;2975
0;724;3307;2411
