vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3896;82343071;28535789;40874697;5987352;15987116
0;01;116050;417267708;29418840;111527270;6923440;60992042
0;02;16351;18886983;1189960;15900565;182050;7545867
0;03;91875;96432723;8018943;48677442;1265585;28806371
0;04;137057;488587228;47843856;103843121;11492087;60023491
0;05;202788;525190510;52877282;284439186;16150387;277616102
0;06;178918;417923524;49150644;135118878;9071659;84661970
0;07;49098;139656551;19166813;47094110;3896923;28671177
0;08;240012;720979836;43148432;252019673;7241955;236857961
0;09;54208;136827881;9603017;41690153;1706301;20812596
0;10;53960;149517210;10898347;42276259;3194337;30599308
0;11;73399;175690472;17822110;55248426;3887614;32614135
0;12;23872;49905320;4791086;22660169;629158;14356254
0;13;42105;68842133;5349911;33072102;687717;18610184
0;14;144409;265965192;10214934;102408808;3199271;43515215
0;15;9228;53595376;1771347;18487909;1157360;5639932
0;16;16480;45547559;9541429;9104422;1298484;10765186
0;17;38611;92230353;48112480;17682024;2529156;23496708
0;18;25336;90795369;14286199;18987593;2950992;13275871
0;19;25148;105898050;2319993;14501658;1050902;11337720
0;20;13068;36444429;1004827;5766348;605502;4753778
0;21;27793;63512884;5452298;14571636;1444777;12014080
0;22;946;7754371;481517;767213;123230;532685
0;23;47527;125369492;6521203;24962264;1499455;23241222
0;24;1010;6313535;1469799;1031430;201556;805700
0;25;1864;16650837;2039829;5633762;549171;3052414
0;FF;17426;113430926;10172076;25942246;1957948;18072123
