vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;001;46;3;38;51;59;67
0;002;49;23;42;51;59;65
0;003;46;9;36;51;60;69
0;004;63;29;53;68;75;82
0;005;59;40;50;59;68;78
0;020;51;5;29;55;75;88
0;021;55;15;43;58;71;81
0;022;50;0;22;58;74;82
0;023;50;16;39;49;63;78
0;024;71;53;65;72;77;83
0;025;54;25;41;53;69;82
0;026;55;10;40;58;75;87
0;040;49;4;26;52;72;84
0;041;61;30;52;64;73;82
0;042;73;45;69;77;82;90
0;043;46;22;35;45;55;73
0;044;71;42;64;75;82;90
0;045;74;51;68;76;82;91
0;046;75;51;69;77;82;91
0;047;74;49;68;76;82;90
0;048;59;27;47;61;73;83
0;049;38;0;10;39;61;79
0;050;45;2;19;47;72;85
0;051;17;0;5;11;28;49
0;052;59;7;47;66;77;89
0;053;37;1;11;37;57;80
0;054;37;10;21;36;49;74
0;055;54;4;32;58;78;89
0;056;33;0;5;27;56;81
0;057;24;1;6;17;37;76
0;058;51;0;41;54;68;83
0;070;55;18;37;57;76;86
0;071;62;27;53;67;75;83
0;072;47;3;20;53;71;84
0;073;75;53;70;77;82;89
0;080;33;0;3;22;68;87
0;081;54;18;38;56;70;82
0;082;56;5;40;62;75;86
0;090;58;35;52;58;68;80
0;091;47;2;34;53;65;78
0;092;33;14;18;29;44;65
0;093;41;14;29;40;53;71
0;094;43;9;28;43;58;77
0;095;21;0;0;11;40;56
0;096;52;20;40;53;65;79
0;097;18;3;5;17;27;41
0;098;36;8;21;34;48;69
0;110;60;43;52;59;69;80
0;111;62;27;50;66;76;86
0;112;66;23;58;71;79;89
0;113;16;0;2;5;25;71
0;114;27;2;15;20;37;72
0;115;38;0;9;41;58;81
0;120;62;37;55;64;71;78
0;121;59;22;49;63;73;81
0;122;61;24;52;62;73;85
0;130;68;37;62;72;80;88
0;131;20;2;13;20;26;38
0;132;2;0;0;1;5;7
0;133;71;37;66;75;82;91
0;134;69;36;60;73;80;90
0;135;63;24;49;66;79;89
0;136;67;48;60;69;76;83
0;137;65;4;55;74;82;92
0;138;3;0;0;0;2;9
0;139;51;1;8;65;80;91
0;140;69;44;63;72;78;87
0;141;18;0;0;2;32;76
