vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;861;4;179941;2.36;105.08;309.16;777.12;2758.44
0;862;1;198813;0;0;0.32;20.92;94.28
0;862;2;1777359;0;0;16.44;72.28;3004.61
0;862;3;388643;0;8.68;50.15;165.48;929.24
0;862;4;195593;0.64;137.4;457.16;961.81;2679.13
0;863;1;31182;0;0;0;1.62;505.49
0;863;2;36431;0;0;0;42.4;552.01
0;863;3;14175;0;0.04;8.24;180.42;556.57
0;863;4;2183;0;25.88;77.64;323.8;515.41
0;890;2;5642;0.72;30.87;197.78;365.72;2144.89
0;890;3;127934;82.71;589.28;1264.26;2697.72;9074.62
0;890;4;261972;674.05;1237.19;2694.68;5591.36;16883.14
0;892;1;3153;0;2.08;118.52;1184.56;1456.81
0;892;2;123831;2.64;91.65;523.71;1664.23;5032.69
0;892;3;236345;37.08;159.62;921.96;1839.49;7134.36
0;892;4;64726;31.39;413.24;1176.22;2022.12;9571.04
0;893;1;2156;33.16;33.16;928.27;1194.28;1194.28
0;893;2;25157;0.24;117.52;280.83;960.64;2059.02
0;893;3;38721;90.76;372.28;959.81;2880.74;5289.21
0;893;4;3874;3874.04;3874.04;3874.04;3874.04;3874.04
0;894;1;24485;0;5.68;50.88;324.92;1181.04
0;894;2;113147;3.32;54.13;218.83;993.41;2338.8
0;894;3;33434;5.72;81.21;461.68;1149.62;3411.13
0;894;4;4731;501.34;501.34;2365.73;4230.13;4230.13
0;910;2;4497;106.72;163.5;299.64;353;1503.28
0;910;3;60733;124.44;334.72;554.98;1354.24;3913.04
0;910;4;289729;243.56;819.8;1810.52;3409.36;7053.13
0;911;2;5124;0;127.92;308.02;621.89;1237.04
0;911;3;49983;44.88;254.1;563.88;919.48;1442.52
0;911;4;811410;193.92;741.88;1721.86;3478.84;12495.97
0;912;1;434;434.36;434.36;434.36;434.36;434.36
0;912;2;58264;45.96;87.96;137.77;266.28;639.6
0;912;3;302770;76.64;168.56;299.28;538.28;1437.49
