vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;002;4;B;126;268071.82;367.73;767.46;1388.61;2543.97;6730.66
0;-p;002;4;C;126;51670.38;6.44;29.96;86.78;323.84;1347.88
0;-p;002;4;D;88;903.76;2.55;4.96;6.92;9.96;28.44
0;-p;002;4;G;9;82.8;0.4;1.8;5.92;10.68;30.4
0;-p;002;4;H;125;30130.95;90.84;126.48;171.96;312.32;617.8
0;-p;002;4;J;126;594974.03;56;1013.96;2304.58;5003.64;15967.41
0;-p;002;4;L;126;387449.31;1029.25;1781.96;2652.34;3741.58;6761.81
0;-p;002;4;M;123;12798;18.68;37.36;59.44;95.08;360.76
0;-p;002;4;N;126;64703.67;90.56;194.52;290.14;498.88;1918.72
0;-p;002;4;P;4;219.58;10.56;14.84;41.21;94.95;126.6
0;-p;002;4;R;99;3272.8;0.8;3.76;9.92;36.52;177.35
0;-p;002;4;S;31;406.16;2.16;3.4;4.32;12.84;68.36
0;-p;002;4;V;109;48514.35;8.88;165.72;444.2;570.56;1177.64
0;-p;003;1;A;27;7509.76;0.36;4.2;182.24;417.36;1119.72
0;-p;003;1;B;40;9338.68;4.16;14.4;73.8;352.78;856.72
0;-p;003;1;C;19;951.04;0.08;0.64;2.08;3.92;911.04
0;-p;003;1;D;6;20.4;2.12;2.32;3.54;4.2;4.68
0;-p;003;1;G;4;11.96;0.16;0.42;2.94;5.56;5.92
0;-p;003;1;H;22;392.8;2.12;3.44;6.88;13.72;47.56
0;-p;003;1;J;34;30298.07;3.48;9.16;539.05;1422.5;3148.05
0;-p;003;1;L;21;48862.03;32.26;1022.82;1340.34;3531.02;5523.57
0;-p;003;1;M;27;408.56;0.48;0.8;2.16;9.16;15.16
0;-p;003;1;N;33;870.1;0.6;6.2;18.96;42.16;68.56
0;-p;003;1;P;3;57.36;19.12;19.12;19.12;19.12;19.12
0;-p;003;1;R;17;34.76;0.12;0.2;0.64;1.76;13.88
0;-p;003;1;S;5;11.84;1.84;1.84;1.84;1.84;4.48
0;-p;003;1;V;6;4426.04;5.12;17.66;81.63;1696;2544
0;-p;003;2;A;85;21116.04;0.48;11.92;209.92;317.8;727.4
0;-p;003;2;B;97;40164.39;6.36;21.87;323.2;584.64;1313.1
0;-p;003;2;C;67;1572.36;0.32;1.08;2.88;7.84;32.2
0;-p;003;2;D;5;44.36;2.12;7.28;9.04;11.64;14.28
0;-p;003;2;G;5;21.88;0.08;0.84;5.92;6.36;8.68
0;-p;003;2;H;60;2165.92;3.22;6.88;10.18;24.16;218.39
0;-p;003;2;J;83;156842.81;4.32;32.04;1482.36;2397.7;6449.26
0;-p;003;2;L;70;128499.97;19.85;772.52;1330.1;1753;3914.53
0;-p;003;2;M;64;2191.32;0.24;0.48;0.94;9.36;285.52
0;-p;003;2;N;77;2423.44;0.68;6.04;10.8;42.28;129.92
0;-p;003;2;P;24;749.28;19.12;19.12;19.12;38.24;57.36
0;-p;003;2;R;54;473.34;0.2;0.64;2.8;9.72;44
0;-p;003;2;S;13;56.2;1.6;1.84;3.56;5.48;16.24
0;-p;003;2;V;36;5148.62;2.67;13.35;40.97;77.92;954.12
0;-p;003;3;A;176;75822.95;62.88;221.06;361.56;570.12;997.16
0;-p;003;3;B;176;125121.76;133.64;337.3;619.76;911.24;1735.12
0;-p;003;3;C;160;18292.92;0.32;1.96;4.6;14.16;1114.44
0;-p;003;3;D;17;108.34;2.12;2.12;3.64;7.28;21
0;-p;003;3;G;22;124.6;0.52;1.36;2.66;5.44;18.36
0;-p;003;3;H;160;9289.25;2.12;6.88;12.26;26.98;306.5
0;-p;003;3;J;174;546797.1;511.88;1387.51;2030.97;3531.92;9737.33
0;-p;003;3;L;173;332081.73;212.6;891.62;1330.1;1844.42;6324.18
0;-p;003;3;M;139;6259.2;0.16;0.4;0.76;1.56;285.64
0;-p;003;3;N;165;4439.5;1.16;4.68;14.88;35.52;78.36
0;-p;003;3;P;33;895.24;18.56;19.12;19.12;38.24;59.92
0;-p;003;3;R;128;1428.87;0.12;0.4;1.51;5.78;63.8
0;-p;003;3;S;25;137.76;1.84;3.2;4.64;6.2;12.48
0;-p;003;3;V;87;75033.31;6.16;16.02;52.97;156.12;5088
0;-p;003;4;A;424;222118.19;120.92;231.9;389.28;671.54;1274.32
0;-p;003;4;B;425;555946.57;197.72;490.24;826.72;1364.28;3708.75
0;-p;003;4;C;379;100947.35;0.4;2.36;9.84;51.32;1652.68
0;-p;003;4;D;67;1193.55;2.12;2.55;4.68;25.5;64.98
0;-p;003;4;G;51;279.16;0.24;1.64;3.24;5.92;27.64
0;-p;003;4;H;378;70636.82;2.12;6.88;28.68;102.48;1045.28
0;-p;003;4;J;423;2529745.46;679.42;1437.01;2694.9;6586.95;20571.46
0;-p;003;4;L;422;964530.51;98.08;765.28;1330.1;2649.4;8452.17
0;-p;003;4;M;256;12751.36;0.16;0.48;0.88;3.32;286.12
0;-p;003;4;N;403;59335.87;2.96;11.4;29.24;70.28;478.68
0;-p;003;4;P;51;1838.24;19.12;19.12;19.12;38.24;76.48
0;-p;003;4;R;263;3584.8;0.2;0.4;2.32;9.11;50.48
0;-p;003;4;S;62;384.76;1.84;2.84;3.6;6.2;20.48
0;-p;003;4;V;263;164171.45;4.16;19.48;69.67;199.88;5088
0;-p;004;1;A;9;537.44;0.48;7.2;12.36;98.68;182.56
0;-p;004;1;B;12;4047.22;2.28;26.48;113.98;414.77;1710.48
0;-p;004;1;C;5;3649.16;0.84;8.2;61.52;1294.48;2284.12
0;-p;004;1;D;2;27.42;1.92;1.92;13.71;25.5;25.5
0;-p;004;1;H;7;768.04;2.12;2.16;9.6;116.96;624.76
0;-p;004;1;J;9;11264.76;18.8;32;383.52;1588.68;4290.48
0;-p;004;1;M;11;217.12;0.84;6.52;8.4;13.6;100.2
