vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;001;1;911;910.57;910.57;910.57;910.57;910.57
0;001;2;8511;1595.02;1626.55;1719.46;2629.12;3477.42
0;001;3;133953;1270.11;1957.29;2593.88;3797.38;13072.27
0;001;4;1480851;1582.78;2949.85;5287.68;12213.54;32858.71
0;002;1;1784;1784.46;1784.46;1784.46;1784.46;1784.46
0;002;2;22232;2284.61;2697.64;4045.13;6403.02;6801.57
0;002;3;142818;1552.04;3680.39;5310.28;6482.65;9981.4
0;002;4;907862;3223.28;5133.7;8162.2;14838.73;29171.25
0;003;1;157436;12.55;74.66;1968.12;6969.24;11877.63
0;003;2;394732;81.44;1527.39;3747.94;6103.32;12509.33
0;003;3;1130027;1468.6;3507.58;5255.09;7847.48;15780.22
0;003;4;4012457;2157.53;4729.3;7444.78;14148.88;33260.25
0;004;1;14299;0;47.06;184.12;703.62;4353.96
0;004;2;86862;37.43;322.13;568.01;1653.16;7024.09
0;004;3;649336;243.32;1251.77;2521.98;4323.19;7835.21
0;004;4;17436065;1505.03;3725.63;6276.55;10498.11;23256.3
0;005;1;15507;50.18;322.22;402.9;529.76;806.3
0;005;2;102336;113.8;393.81;535.54;928.26;2356.55
0;005;3;180105;183.38;495.5;868.55;1394.35;3747.64
0;005;4;611579;471.14;1132.74;2391.31;4251.36;10668.15
0;020;1;23158;35.2;96.43;164.23;234.83;511.98
0;020;2;50991;54.81;118.01;229.26;417.04;1096.73
0;020;3;144531;106.74;262.26;425.15;1012.23;1935.61
0;020;4;678197;285.36;843.16;1587.03;2905.92;5914.21
0;021;1;386643;28.63;119.93;278.15;477.47;907.16
0;021;2;793704;73.42;254.56;440.84;664.65;1346.37
0;021;3;832592;181.42;464.16;707.47;1191.29;2598.95
0;021;4;2282605;328.11;953.65;1890.94;3512.6;8878.36
0;022;1;14546;33.79;58.26;88.25;110.63;196.51
0;022;2;74954;43.79;71.2;115.04;199.7;972.52
0;022;3;92479;44.64;108.08;240.77;681.38;3072.3
0;022;4;195202;169.87;559.9;1288.75;2693.05;6413.17
0;023;1;74851;5.18;43.78;80.52;141.21;398.83
0;023;2;130436;29.79;78.29;168.56;387.16;1175.89
0;023;3;179804;68.29;246.41;527.45;1278.07;3050.11
0;023;4;164089;273.19;902.81;2217.51;3369.63;6168.96
0;024;1;152500;55.21;85.16;118.35;167.02;287.85
0;024;2;423013;66.06;101.36;142.07;215.86;398.83
0;024;3;290776;79.42;142.22;260.84;441.48;1222.16
0;024;4;168410;169.25;463.56;927.66;2018.87;5723.79
0;025;1;120375;2.51;16.55;38.23;60.44;129.94
0;025;2;29153;7.18;27.35;61.93;116.76;381.56
0;025;3;22453;3.5;36.9;111.06;228.26;717.48
0;025;4;25301;38.17;480.67;2018.28;3180.49;6854.83
0;026;1;76656;1.55;45.74;73.53;132.9;322.45
0;026;2;121317;6.3;43.32;111.75;219.69;880.11
0;026;3;138104;35.13;124.27;245.08;549.93;1482.26
0;026;4;193396;134.33;521.21;1116.6;2885.95;5501.12
0;040;1;13305;0;4.26;22.51;69.1;695.07
0;040;2;27494;0;7.7;36.46;129.97;826.38
0;040;3;54445;0.07;50.21;184.48;446.17;1509.14
0;040;4;28716;13.1;146.06;451.17;1163.53;1784.05
0;041;1;79961;1.7;53.75;113.21;219.5;685.71
0;041;2;372185;11.82;89.17;172.13;316.59;910.56
0;041;3;726742;40.15;165.12;380.38;759.85;2464.44
0;041;4;367819;112.8;355.34;834.4;1929.9;4994.82
0;042;1;140874;0;1.14;24.2;75.31;219.6
0;042;2;607035;0;18.54;60.63;135.7;384.31
0;042;3;805917;8.72;57.56;139.01;305.78;1009.34
0;042;4;481214;54.24;268.29;612.73;1337.72;3689.87
0;043;1;236777;0;5.1;191.7;329.68;515.86
0;043;2;185805;0;38.54;197.74;369.29;659.32
0;043;3;62831;10.79;68.52;200.3;412.48;1027.01
0;043;4;30140;45.01;195.36;490.99;1623.27;4519.33
0;044;1;37148;0.21;12.14;48;124.25;522.31
0;044;2;161357;2.52;24.77;85.86;205.22;653.51
0;044;3;502427;5.31;46.88;141.99;371.65;1232.33
0;044;4;590847;35.58;260.85;655.08;1554.19;3762.07
0;045;1;88334;2.03;20.9;61.3;112.62;277.64
0;045;2;993445;7.59;42.71;94.39;172.63;520.06
0;045;3;1281777;18.86;84.31;181.53;408.86;1200.31
0;045;4;2015124;62.59;259.1;639.27;1309.34;3236.55
0;046;1;41806;0;20.04;69.16;110.34;206.7
0;046;2;241606;4.91;34.33;79.82;137.76;321.12
0;046;3;222383;11.44;67.47;143.59;287.79;969.18
0;046;4;279260;37.1;236.98;588.19;1223.03;3555.42
0;047;1;62696;0;7.88;25.96;67.91;152.56
0;047;2;371208;2.48;19.35;52.63;101.36;231.28
0;047;3;292662;9.88;44.37;101.19;201.3;652.87
0;047;4;110321;31.8;182.18;383.64;882.61;3051.71
0;048;1;181778;0;6.67;21.79;72.3;282.83
0;048;2;253412;0;16.8;44.72;98.45;311.97
0;048;3;2244492;0;26.94;103.08;1183.41;5907.41
0;048;4;131692;36.03;245.58;638.69;1555.1;4663.74
0;049;1;44521;24.99;143.04;290.74;585.47;960.5
0;049;2;828076;0;111.3;693.8;5011.87;8193.67
0;049;3;335142;51.34;250.38;948.43;2201.84;8050.99
0;049;4;386350;106.16;410.03;1152.25;4301.65;12840.71
0;050;1;53740;2.06;37.23;146.15;365.07;810.94
0;050;2;112882;0;54.27;210.96;504.63;1445.34
0;050;3;140766;28.36;229.12;643.03;1417.05;3057.94
0;050;4;250333;310.02;1488.38;2496.32;4297.62;8315.8
0;051;1;79230;0;16.09;51.53;115.65;363.45
0;051;2;55490;3.75;26.43;113.45;322.14;913.79
0;051;3;8405;9.47;37.77;140.1;227.87;1345.04
0;051;4;16311;0;238.07;1079.71;2199.77;4659.77
0;052;1;16789;0;0;6.1;24.36;105.64
0;052;2;58915;0;10.12;44.53;110.03;307.72
0;052;3;162548;1.95;38.82;113.08;287.27;879.28
0;052;4;305678;23.21;170.9;498.73;1457.13;4753.7
0;053;1;170667;0;0;7.52;34.43;120.01
0;053;2;388102;0;7.29;33.64;97.75;295.35
0;053;3;476487;0;9.35;64.55;191.83;763.94
0;053;4;659882;54.97;279.31;682.65;1603.69;4237.95
