vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3721;101746387;26623136;64418353;6987580;20703293
0;01;102802;467552013;32831589;118029612;8534047;76163490
0;03;94662;115254899;5154997;51622034;1670504;35873903
0;04;139488;684117458;42576719;136922159;19040721;73723667
0;05;170495;540446725;30249468;192795983;13989579;374450758
0;06;145487;429378814;32777173;118409946;9546503;98844274
0;07;51429;175007578;15059840;46998363;4860742;43559131
0;08;201985;761733696;30808646;211829672;9108263;311077357
0;09;47317;143193676;6922773;47308968;2140864;20218070
0;10;39785;119779507;7090576;20915647;2626158;44240964
0;11;76300;232781514;15968736;54134854;5411189;43097972
0;12;19830;45431007;3940130;10548805;551223;26005289
0;13;24035;41157255;3074554;18595787;509022;19342022
0;14;126361;239221943;6885842;61743091;3513101;79856335
0;15;6292;68039382;3049606;24478743;1026938;5511051
0;16;15181;59957365;10478554;10914167;1708831;12443466
0;17;30124;101149707;64916462;21888840;3035657;25381559
0;18;32352;175800631;15721138;34672894;5334291;20580503
0;19;17278;89636434;1139378;10912109;1050711;7900157
0;20;9083;29365011;445133;3869037;528367;3261163
0;22;697;9694460;375826;857684;160660;721073
0;23;44989;141369520;5179845;27273506;1941333;25826618
0;24;643;4748796;714305;829601;145462;445714
0;25;2642;30508174;1490184;8588343;732994;4644637
0;FF;20087;176149061;14260571;46266642;4855533;24504611
0;02;10662;15622603;662826;13009897;229056;6250799
0;21;20133;58860456;2771587;11757487;1456646;9056605
