vrai_hop;rdrg;SI;N;moy_gemid
0;001;1;6;139.43
0;001;2;12;145.81
0;001;3;31;425.28
0;001;4;98;694.55
0;002;1;1;2938.22
0;002;2;6;1399.18
0;002;3;24;1512.45
0;002;4;76;2051.74
0;003;1;40;24.46
0;003;2;80;20.47
0;003;3;200;8.99
0;003;4;207;28.35
0;004;1;33;302.84
0;004;2;73;181.15
0;004;3;259;328.85
0;004;4;1569;640.8
0;005;1;67;97.08
0;005;2;143;121.42
0;005;3;128;180.41
0;005;4;129;210.76
0;020;1;124;130.77
0;020;2;132;154.78
0;020;3;171;149.57
0;020;4;197;240.92
0;021;1;1235;635.51
0;021;2;1194;942.69
0;021;3;750;420.48
0;021;4;676;449.25
0;022;1;223;662.72
0;022;2;282;366.25
0;022;3;127;446.87
0;022;4;96;243.25
0;023;1;575;1086.15
0;023;2;327;404.27
0;023;3;200;1305.97
0;023;4;41;1119.31
0;024;1;1234;182.27
0;024;2;2011;176.82
0;024;3;682;251.76
0;024;4;118;551.97
0;025;1;3195;17.77
0;025;2;208;79.91
0;025;3;45;173.98
0;025;4;6;45.07
0;026;1;631;310.57
0;026;2;456;2187.61
0;026;3;244;2513.46
0;026;4;100;1318.3
0;040;1;213;85.52
0;040;2;267;39.65
0;040;3;108;16.49
0;040;4;24;13.77
0;041;1;493;3.1
0;041;2;1151;3.89
0;041;3;862;10.36
0;041;4;184;10.53
0;042;1;2262;0.5
0;042;2;3914;0.54
0;042;3;1968;2.02
0;042;4;313;5.48
0;043;1;1402;0.49
0;043;2;653;0.59
0;043;3;167;54.92
0;043;4;21;2.71
0;044;1;478;0.53
0;044;2;931;13.66
0;044;3;1171;31.17
0;044;4;467;14.2
0;045;1;688;0.08
0;045;2;3829;1.1
0;045;3;2099;4.32
0;045;4;1032;12.82
0;046;1;1419;5.13
0;046;2;4727;3.53
0;046;3;2417;2.22
0;046;4;951;6.34
0;047;1;1730;3
0;047;2;4727;1.95
0;047;3;1621;0.68
0;047;4;136;13.06
0;048;1;1691;3.57
0;048;2;2054;4.12
0;048;3;1630;2.52
0;048;4;74;9.57
0;049;1;144;0
0;049;2;386;0.99
0;049;3;148;0.82
0;049;4;107;15.77
0;050;1;236;6.88
0;050;2;305;29.34
0;050;3;112;0
0;050;4;56;13.42
0;051;1;776;0
0;051;2;217;0
0;051;3;36;0
0;051;4;6;0
0;052;1;649;0.01
0;052;2;507;1.14
0;052;3;571;0.52
0;052;4;266;32.95
0;053;1;6651;4.54
0;053;2;4233;0.41
0;053;3;2254;9.25
0;053;4;357;13.03
0;054;1;2905;0
0;054;2;1274;0.93
0;054;3;179;0.57
0;054;4;12;25.17
0;055;1;505;0
0;055;2;488;0.54
0;055;3;294;1.13
0;055;4;120;9.23
0;056;1;866;0.05
0;056;2;350;0.53
0;056;3;94;5.11
0;056;4;29;25.38
0;057;1;10157;0
0;057;2;1146;0.53
0;057;3;168;2.34
0;057;4;22;26.32
0;058;1;10469;4.37
0;058;2;5707;15.83
0;058;3;1774;3.14
0;058;4;263;12.3
0;070;1;351;36.49
0;070;2;163;135.52
0;070;3;28;82.88
0;070;4;1;51.64
0;071;1;3407;26.72
0;071;2;1955;32
0;071;3;79;32.46
0;071;4;4;88.05
0;072;1;2541;19.06
0;072;2;374;29.58
0;072;3;46;122.29
0;072;4;6;60.94
0;073;1;8707;151.77
0;073;2;2563;163.63
0;073;3;202;201.47
0;073;4;9;148.61
0;080;1;220;4.46
0;080;2;82;0
0;080;3;18;0
0;081;1;250;0
0;081;2;291;1.06
0;081;3;54;0
0;081;4;5;0
0;082;1;848;0.12
0;082;2;1163;1.13
0;082;3;398;4.59
0;082;4;26;0
0;090;1;81;2.86
0;090;2;138;147.97
0;090;3;51;213.04
0;090;4;80;368.22
0;091;1;283;9330.97
0;091;2;143;2309.71
0;091;3;38;650.7
0;091;4;61;62.41
0;092;1;2504;172.76
0;092;2;346;183.12
0;092;3;40;245.52
0;092;4;12;339.57
0;093;1;6782;0.87
0;093;2;795;1.78
0;093;3;55;26.82
0;093;4;5;0
0;094;1;1696;1.44
0;094;2;380;2
0;094;3;65;14.94
0;094;4;15;39.31
0;095;1;356;0.95
0;095;2;86;0
0;095;3;6;0
