vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;001;1;14.5;12;12;14.5;17;17
0;001;2;13.9;9;11;12;15;22
0;001;3;17.4;10;12.5;16;19;29
0;001;4;42.5;8;18;33;51.5;109
0;002;1;24;24;24;24;24;24
0;002;2;20.2;17;18;19.5;22;25
0;002;3;23.2;14;18;22;28;37
0;002;4;53.1;19;26;34;61;160
0;003;1;7.6;1;2;3;10;24
0;003;2;19;2;15;19;23;34
0;003;3;24.5;15;19;22;28;40
0;003;4;39.6;17;25.5;33;47;86
0;004;1;16.6;2;9;15;19;49
0;004;2;27;6;11.5;16;34;100
0;004;3;38.2;7;18;34;49;89
0;004;4;66.6;16;35;55.5;83;161
0;005;1;13.2;2;6;11.5;16.5;23
0;005;2;17.7;4;11;15.5;23;36
0;005;3;28.1;4;14;22;36;69
0;005;4;44.6;7;21;34;57;118
0;020;1;8;1;4;7;10;17
0;020;2;16.1;3;7;11;18;50
0;020;3;20.3;1;6.5;15.5;25;62
0;020;4;33.4;3;13;24;44;92
0;021;1;9.2;3;5;7;10;22
0;021;2;10.4;3;4;7;12;27
0;021;3;21.8;2;8;15;25;64
0;021;4;40.2;4;15;28;49;115
0;022;1;6.6;2;4;5;7;14
0;022;2;10.2;2;4;7;12;26
0;022;3;17.9;1;5;12.5;25;55.5
0;022;4;32.5;1;7;18;39;111
0;023;1;4.6;1;2;3;5;12
0;023;2;10.4;2;4;7;11;31
0;023;3;30.6;5;9;16;39;119
0;023;4;39.8;3;10;24;48;129
0;024;1;3.8;2;3;3;4;7
0;024;2;5.4;2;3;4;6;12
0;024;3;20;3;6;11;20;77
0;024;4;44.9;4;14;29;59;143
0;025;1;2.4;1;1;2;2;5
0;025;2;3.9;1;2;2;4;14
0;025;3;10.9;1;2;2;8;48
0;025;4;23.8;2;2;12;20;95
0;026;1;4.4;1;2;2;4;11
0;026;2;10.6;2;2;5;12;40
0;026;3;33.5;3;10;18.5;37;128
0;026;4;49.6;3;17;34;67;146
0;040;1;6.2;1;1;2;6;26
0;040;2;9.7;1;3;5;9;32
0;040;3;20.5;2;5;10;25;83
0;040;4;28.6;2;10;19;36;64
0;041;1;5.2;1;2;3;6;13
0;041;2;10.3;1;3;7;12;33
0;041;3;17.8;2;7;13;22;50
0;041;4;22.8;2;8;19;29;67
0;042;1;11.1;1;2;5;12;39
0;042;2;17.7;2;7;12;22;52
0;042;3;24.7;4;11;18;29;66
0;042;4;34.3;6;16;27;46;81
0;043;1;3.9;1;2;3;5;8
0;043;2;8.4;1;3;5;8;26
0;043;3;15.1;1;5;9.5;18;55
0;043;4;29.9;3;11;15;32;95
0;044;1;6.9;1;1;4;8.5;20
0;044;2;12.5;1;3;8;15;40
0;044;3;15.8;1;2;7;18;62
0;044;4;34.4;1;10;23;43;121
0;045;1;6.6;1;3;5;7;17
0;045;2;13.1;2;5;8;13;43
0;045;3;23.7;2;8;14;27;81
0;045;4;34.4;3;13;23;41;108
0;046;1;4.1;1;2;3;5;10
0;046;2;6.8;1;3;5;9;18
0;046;3;14.3;2;5;10;19;35
0;046;4;23.8;2;10.5;21.5;31;55
0;047;1;4;1;2;3;5;9
0;047;2;6.7;1;3;5;8;16
0;047;3;13.1;2;6;10;16;34
0;047;4;30.1;3;13;21.5;35.5;80
0;048;1;4.3;1;1;2;5;12
0;048;2;7.9;1;3;5;9;20
0;048;3;8.2;1;2;4;9;29
0;048;4;26.8;4;11;18;35;69
0;049;1;8.8;1;7;9;11;16
0;049;2;11.8;1;5;9;15;33
0;049;3;20.6;1;8.5;14.5;26.5;63
0;049;4;28.9;1;11;21;35;92
0;050;1;7.8;1;4;6;9;20
0;050;2;10;1;3;7;11;26
0;050;3;16.3;2;9;13;20;43
0;050;4;31.9;3;10;25;43;84
0;051;1;3.5;1;2;3;4;7
0;051;2;6.6;1;3;5;8;16
