vrai_hop;rdrg;N;NAB
0;001;215;214
0;002;139;139
0;003;927;924
0;004;1850;1804
0;005;584;578
0;006;6;6
0;020;590;553
0;021;4267;4045
0;022;448;433
0;023;1099;944
0;024;4730;3248
0;026;2263;1420
0;040;336;107
0;041;2468;876
0;042;9211;2913
0;043;2643;265
0;044;3024;994
0;045;14013;3608
0;046;529;82
0;047;6356;745
0;048;2978;460
0;049;499;283
0;050;755;359
0;051;403;237
0;052;2145;517
0;053;14134;1919
0;054;4614;275
0;055;3227;1164
0;056;250;67
0;057;6923;535
0;058;14897;2100
0;070;424;242
0;073;7461;3201
0;080;442;289
0;082;2335;488
0;089;1452;1276
0;090;269;207
0;091;714;665
0;092;4601;4383
0;093;3018;2118
0;095;134;118
0;097;4090;1116
0;098;9284;5994
0;110;1194;583
0;111;4581;337
0;113;14575;7154
0;114;2983;1896
0;115;47767;1216
0;120;3062;2850
0;121;3934;3097
0;130;2234;2198
0;131;637;596
0;132;93;33
0;133;4036;2511
0;134;5380;1928
0;135;3099;1045
0;136;6213;2649
0;137;7471;6688
0;138;4098;1397
0;139;50553;40002
0;140;21316;15074
0;141;3106;874
0;142;1717;809
0;143;4748;1645
0;144;17791;6493
0;160;66;65
0;161;1651;1513
0;162;498;497
0;163;2670;2649
0;165;950;944
0;166;3578;3540
0;167;2803;1906
0;169;1706;1602
0;170;406;383
0;171;6565;6002
0;174;8858;1054
0;175;26351;2873
0;176;1995;1747
0;177;701;618
0;180;1945;731
0;181;15444;9952
0;182;3972;2482
0;190;5867;1137
0;191;8978;197
0;192;10460;1123
0;193;216;202
0;194;21080;8532
0;196;952;304
0;197;3921;1264
0;198;3209;311
0;199;1987;257
0;200;936;228
0;201;14943;1868
0;203;3306;201
0;204;8859;1422
0;205;295;68
0;206;1049;470
0;207;4278;1097
0;220;2838;2459
0;221;14438;14037
0;222;3926;2295
0;223;3856;3008
0;224;1533;1074
0;225;12501;11603
0;226;4680;1680
0;227;5907;5055
0;228;10474;8631
0;229;2818;1931
0;240;5526;2044
0;241;5728;1349
0;242;604;283
0;243;4930;816
0;244;8103;5634
0;245;2864;1228
0;246;1197;637
0;247;6783;1831
0;248;4006;3065
0;249;17828;4836
0;251;4176;621
0;252;2211;803
0;253;2591;668
0;254;15969;3403
0;260;2638;2235
0;261;1738;1432
0;262;367;342
0;263;17026;12407
0;264;2574;1709
0;279;1378;754
0;280;3456;1522
0;281;4086;1639
0;282;6316;2093
0;283;2320;766
0;284;9530;6838
0;301;26066;25653
0;302;20369;20115
0;303;271;268
0;304;5999;5879
0;305;1098;1026
0;308;10696;10216
0;309;2889;2278
0;310;13921;12883
0;312;505;395
0;313;14681;12812
0;314;10804;9444
0;315;27605;22396
0;316;3644;2729
0;317;5720;4395
0;320;8960;7700
0;321;5497;5263
0;322;1069;1042
0;340;1465;528
0;341;3090;1250
0;342;6781;1666
0;343;1880;799
0;344;1349;1177
0;346;2749;975
0;347;13164;2983
0;349;1968;683
0;351;9745;3713
0;361;3789;2301
0;362;4714;3269
0;363;12134;7307
0;364;5432;4061
0;380;1435;1051
0;381;567;267
0;382;766;327
0;383;9435;8542
0;384;5519;1762
0;385;3526;1564
0;401;563;513
0;403;9667;8992
0;404;5249;1292
0;405;345;231
0;420;8400;1620
0;421;5019;1137
0;422;3699;1546
0;423;396;76
0;424;2655;548
0;425;3792;1237
0;440;335;335
0;441;1458;1385
0;442;2172;1924
0;443;9021;7546
0;444;665;362
0;445;1036;841
0;446;12447;9097
0;447;464;342
0;461;1657;951
0;462;683;190
0;463;21432;20541
0;465;9034;4020
